scenario,seed,year,policy,mix,exposure_weeks,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,relevance_rate,timing_bps_all_planned_volume,incremental_volume_rub
base,4101,2023,frequency_gate,active_bank_assumption,49.71428571428571,9.184999999999999,2.1533333333333333,0.6833333333333333,13.100333333333332,13.100333333333332,530606.7215267613,530606.7215267613,212.61903781530134,203.4340378153013,0.0,34765.01738611121,2.2826666666666666,0.15733333333333333,4.966333333333333,737.6613011161755,0.2344402104881147,4.007092808841809,0.0
base,4101,2023,market_only,active_bank_assumption,49.71428571428571,42.6,5.101666666666667,1.4613333333333332,13.100333333333332,13.100333333333332,530606.7215267613,530606.7215267613,639.9495320270215,597.3495320270215,0.0,82084.79109132095,5.0489999999999995,0.35133333333333333,22.6,3437.3651438120087,0.11975743348982786,12.060712879505909,0.0
base,4101,2023,matched_calendar,active_bank_assumption,49.71428571428571,6.5569999999999995,0.7903333333333333,0.26966666666666667,13.100333333333332,13.100333333333332,530606.7215267613,530606.7215267613,-74.71489064307438,-81.27189064307439,0.0,12930.9902304136,0.7736666666666666,0.13333333333333333,1.7306666666666666,-119.40888134367867,0.12053276396726147,-1.408102981207827,0.0
base,4101,2023,matched_random_market,active_bank_assumption,49.71428571428571,6.5569999999999995,0.9036666666666666,0.32666666666666666,13.100333333333332,13.100333333333332,530606.7215267613,530606.7215267613,204.31086314157506,197.75386314157504,0.0,15457.325833182062,1.0416666666666667,0.06933333333333333,3.5636666666666668,564.4315703027055,0.13781709114940777,3.850514040864267,0.0
base,4101,2023,user_aware,active_bank_assumption,49.71428571428571,6.5569999999999995,3.803,1.2053333333333334,13.100333333333332,13.100333333333332,530606.7215267613,530606.7215267613,464.61393743217513,458.0569374321751,0.0,66023.08262365282,4.117666666666667,0.29700000000000004,3.533333333333333,534.2854620497852,0.5799908494738448,8.756276891768364,0.0
base,4101,2023,weekly_fixed,active_bank_assumption,49.71428571428571,50.0,5.995,1.736,13.100333333333332,13.100333333333332,530606.7215267613,530606.7215267613,30.468372525168988,-19.531627474831012,0.0,92706.77597330167,5.978666666666666,0.7313333333333334,17.0,840.4019984270906,0.1199,0.5742176133295045,0.0
base,4101,2024,frequency_gate,active_bank_assumption,50.0,10.766666666666666,2.4690000000000003,0.7706666666666666,13.197,13.197,535602.7889127762,535602.7889127762,152.8253985843853,142.05873191771863,0.0,40166.33147023825,2.7016666666666667,0.20700000000000002,4.691666666666666,446.62462719803875,0.22931888544891646,2.8533346305870935,0.0
base,4101,2024,market_only,active_bank_assumption,50.0,49.599999999999994,5.9303333333333335,1.583,13.197,13.197,535602.7889127762,535602.7889127762,445.9435240474662,396.34352404746625,0.0,86454.85843095183,5.732333333333333,0.39299999999999996,22.0,2123.887883688681,0.11956317204301077,8.326011986470236,0.0
base,4101,2024,matched_calendar,active_bank_assumption,50.0,7.546666666666667,0.9823333333333333,0.3586666666666667,13.197,13.197,535602.7889127762,535602.7889127762,-21.122923378879822,-28.669590045546485,0.0,17336.642172184653,1.2429999999999999,0.16766666666666666,1.8646666666666667,-321.2761178961176,0.1301678445229682,-0.3943766503112762,0.0
base,4101,2024,matched_random_market,active_bank_assumption,50.0,7.546666666666667,1.0763333333333334,0.29266666666666663,13.197,13.197,535602.7889127762,535602.7889127762,68.72823924165588,61.18157257498922,0.0,14514.899995524342,0.8763333333333334,0.08933333333333332,3.393,332.97875723042284,0.14262367491166078,1.2831942003358088,0.0
base,4101,2024,user_aware,active_bank_assumption,50.0,7.546666666666667,4.3453333333333335,1.3816666666666666,13.197,13.197,535602.7889127762,535602.7889127762,341.52305491516415,333.9763882484974,0.0,75815.63599494658,5.077,0.3683333333333333,3.2796666666666665,315.4715679185643,0.5757950530035336,6.3764241334221605,0.0
base,4101,2024,weekly_fixed,active_bank_assumption,50.0,51.0,6.120666666666667,1.684,13.197,13.197,535602.7889127762,535602.7889127762,119.39915062223986,68.39915062223987,0.0,90323.9189809847,5.888333333333334,0.7889999999999999,14.4,264.4872523555319,0.12001307189542483,2.229248112479194,0.0
base,4101,2025,frequency_gate,active_bank_assumption,49.857142857142854,8.758,2.182,0.8206666666666667,13.090666666666667,13.090666666666667,534808.5890746136,534808.5890746136,124.241383354496,115.48338335449598,0.0,41456.41257303548,2.708,0.24866666666666667,3.3096666666666668,358.53634836988647,0.24914364010047957,2.32310000049686,0.0
base,4101,2025,market_only,active_bank_assumption,49.857142857142854,40.4,4.9673333333333325,1.551,13.090666666666667,13.090666666666667,534808.5890746136,534808.5890746136,392.23119528020914,351.83119528020916,0.0,82773.74102772046,5.379666666666667,0.49033333333333334,15.399999999999999,1663.907526605528,0.12295379537953793,7.334048167754597,0.0
base,4101,2025,matched_calendar,active_bank_assumption,49.857142857142854,5.999,0.6986666666666667,0.2793333333333333,13.090666666666667,13.090666666666667,534808.5890746136,534808.5890746136,37.61540791228202,31.616407912282025,0.0,14527.591575210652,1.0,0.12566666666666668,1.3359999999999999,28.68443562966575,0.11646385508695895,0.7033433770644645,0.0
base,4101,2025,matched_random_market,active_bank_assumption,49.857142857142854,5.999,0.8226666666666667,0.29866666666666664,13.090666666666667,13.090666666666667,534808.5890746136,534808.5890746136,81.97978493170586,75.98078493170587,0.0,14001.46649596634,0.8896666666666667,0.087,2.3176666666666668,256.93770425025536,0.13713396677223982,1.5328808588051395,0.0
base,4101,2025,user_aware,active_bank_assumption,49.857142857142854,5.999,3.6483333333333334,1.288,13.090666666666667,13.090666666666667,534808.5890746136,534808.5890746136,243.1236508480775,237.1246508480775,0.0,67733.77797970168,4.476,0.3943333333333333,2.2143333333333333,252.3688250515361,0.6081569150413958,4.545993759538483,0.0
base,4101,2025,weekly_fixed,active_bank_assumption,49.857142857142854,51.0,6.153333333333333,1.8423333333333334,13.090666666666667,13.090666666666667,534808.5890746136,534808.5890746136,-311.75766087625584,-362.75766087625584,0.0,97727.35256455964,6.354333333333333,1.0903333333333334,10.0,-1716.1423804482838,0.12065359477124182,-5.829331600969503,0.0
base,4101,2026,frequency_gate,active_bank_assumption,32.142857142857146,7.250333333333333,1.8856666666666668,0.6186666666666667,8.457333333333333,8.457333333333333,343620.34535828186,343620.34535828186,201.54033535131035,194.290002017977,0.0,32498.950678527064,2.1453333333333333,0.19233333333333333,3.5553333333333335,453.4371708885629,0.26007999632200823,5.865203794646407,0.0
base,4101,2026,market_only,active_bank_assumption,32.142857142857146,33.6,4.057,1.1113333333333335,8.457333333333333,8.457333333333333,343620.34535828186,343620.34535828186,403.16993704479273,369.56993704479277,0.0,59901.99236260892,4.006333333333333,0.33199999999999996,15.8,2051.9660266719184,0.12074404761904763,11.733005408175712,0.0
base,4101,2026,matched_calendar,active_bank_assumption,32.142857142857146,5.089333333333333,0.627,0.22966666666666666,8.457333333333333,8.457333333333333,343620.34535828186,343620.34535828186,-10.623383292089954,-15.712716625423287,0.0,9318.286181552787,0.7556666666666667,0.08166666666666667,2.1333333333333333,259.7312245454972,0.12319884726224783,-0.3091604858557864,0.0
base,4101,2026,matched_random_market,active_bank_assumption,32.142857142857146,5.089333333333333,0.7336666666666667,0.22499999999999998,8.457333333333333,8.457333333333333,343620.34535828186,343620.34535828186,27.642996089384294,22.55366275605096,0.0,10072.531063196668,0.7006666666666667,0.06,2.288,276.6987842825886,0.1441577154833639,0.8044633114072983,0.0
base,4101,2026,user_aware,active_bank_assumption,32.142857142857146,5.089333333333333,3.008333333333333,0.9656666666666666,8.457333333333333,8.457333333333333,343620.34535828186,343620.34535828186,347.0575172585607,341.96818392522744,0.0,52978.17981344368,3.4953333333333334,0.2906666666666667,2.4266666666666667,316.82739251719147,0.5911055802986638,10.100028183625012,0.0
base,4101,2026,weekly_fixed,active_bank_assumption,32.142857142857146,33.0,3.931333333333333,1.1560000000000001,8.457333333333333,8.457333333333333,343620.34535828186,343620.34535828186,87.85270528730469,54.85270528730469,0.0,62998.36284512813,4.259333333333333,0.5486666666666666,10.0,872.3993211885314,0.11913131313131312,2.5566793839201662,0.0
base,4102,2023,frequency_gate,active_bank_assumption,49.71428571428571,9.137,2.24,0.7576666666666667,12.802333333333333,12.802333333333333,512598.9786836106,512598.9786836106,381.4848170498462,372.3478170498462,0.0,38635.000893681005,2.643,0.13666666666666666,4.738666666666667,727.9969706845737,0.24515705373755062,7.442168886670929,0.0
base,4102,2023,market_only,active_bank_assumption,49.71428571428571,42.6,5.149,1.5236666666666667,12.802333333333333,12.802333333333333,512598.9786836106,512598.9786836106,671.5973271226921,628.9973271226921,0.0,78176.88723579017,5.607666666666667,0.356,22.6,3437.3651438120087,0.12086854460093896,13.101807749352139,0.0
base,4102,2023,matched_calendar,active_bank_assumption,49.71428571428571,6.468999999999999,0.7923333333333333,0.30766666666666664,12.802333333333333,12.802333333333333,512598.9786836106,512598.9786836106,6.262093058194334,-0.2069069418056655,0.0,16539.416803268523,1.063,0.12166666666666666,1.7309999999999999,-111.2842921525181,0.12248157881176897,0.12216358827471367,0.0
