scenario,year,seed,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2023,4101,frequency_gate,4515,1043,337,8278,8278,256678134.08325148,256678134.08325148,86210.9183805886,81695.9183805886,0.0,14221120.589584379,976,75,2420.0,361699.6363793027,450,22371.428571428572,10.033333333333333,0.2018199233716475,0.2310077519379845,0.07464008859357697,0.04071031650157043,191.57981862353023,181.5464852901969,3.358716888312223,60.62174765871117,0.5359911406423035,80.1106614350615,0.0
base,2023,4101,market_only,19170,2509,733,8278,8278,256678134.08325148,256678134.08325148,263917.93183823564,244747.9318382356,0.0,34394415.130408764,2177,174,10170.0,1546814.314715404,450,22371.428571428572,42.6,0.8568965517241379,0.13088158581116327,0.03823682837767345,0.08854795844406861,586.484292973857,543.8842929738569,10.282057440570142,76.73278665666297,0.5305164319248826,80.68932262469505,0.0
base,2023,4101,matched_calendar,3092,422,144,8278,8278,256678134.08325148,256678134.08325148,-27416.3587401091,-30508.3587401091,0.0,5335609.250186712,348,64,838.0,-49126.16304513175,450,22371.428571428572,6.871111111111111,0.13821200510855683,0.13648124191461836,0.04657179818887452,0.01739550616090843,-60.925241644686885,-67.796352755798,-1.0681220992208407,-51.38374542541642,0.27102199223803364,-15.888151049525144,0.0
base,2023,4101,matched_random_market,3092,502,180,8278,8278,256678134.08325148,256678134.08325148,83294.34441273974,80202.34441273974,0.0,6812056.463774921,477,36,1657.0,256832.64098925484,450,22371.428571428572,6.871111111111111,0.13821200510855683,0.16235446313065977,0.05821474773609314,0.02174438270113554,185.09854313942165,178.22743202831052,3.245089213003391,122.27488843593926,0.5358990944372575,83.06359669768915,0.0
base,2023,4101,user_aware,3092,1872,603,8278,8278,256678134.08325148,256678134.08325148,190702.50978666137,187610.50978666137,0.0,27463894.894722696,1770,147,1635.0,244650.89748112028,450,22371.428571428572,6.871111111111111,0.13821200510855683,0.6054333764553687,0.19501940491591202,0.07284368204880406,423.7833550814697,416.9122439703586,7.429635970659213,69.43753262881357,0.5287839586028461,79.12383489040113,0.0
base,2023,4101,weekly_fixed,22500,2934,853,8278,8278,256678134.08325148,256678134.08325148,752.6766301856707,-21747.32336981433,0.0,38421859.54961611,2537,370,7650.0,378180.8992921908,450,22371.428571428572,50.0,1.0057471264367817,0.1304,0.03791111111111111,0.10304421357815897,1.6726147337459347,-48.32738526625407,0.029323753379847547,0.1958980223780426,0.34,16.808039968541813,0.0
base,2023,4102,frequency_gate,4455,1056,356,7973,7973,245380996.00151533,245380996.00151533,144714.7651381737,140259.7651381737,0.0,15295507.571933402,1075,71,2342.0,357053.36884583015,450,22371.428571428572,9.9,0.19913793103448274,0.23703703703703705,0.07991021324354658,0.04465069609933526,321.58836697371936,311.6883669737193,5.8975539058159185,94.61259422584908,0.5257014590347924,80.14665967358701,0.0
base,2023,4102,market_only,19170,2521,749,7973,7973,245380996.00151533,245380996.00151533,274452.01918899297,255282.01918899297,0.0,32291774.191323742,2366,172,10170.0,1546814.314715404,450,22371.428571428572,42.6,0.8568965517241379,0.1315075639019301,0.03907146583202921,0.09394205443371378,609.8933759755399,567.2933759755399,11.184730018265071,84.9913100354621,0.5305164319248826,80.68932262469505,0.0
base,2023,4102,matched_calendar,3025,419,154,7973,7973,245380996.00151533,245380996.00151533,1488.8124203768994,-1536.1875796231002,0.0,6895921.917313989,463,61,834.0,-44798.22057416276,450,22371.428571428572,6.722222222222222,0.13521711366538952,0.1385123966942149,0.05090909090909091,0.019315188762071993,3.3084720452819987,-3.4137501769402228,0.06067350139730076,2.158975171454381,0.27570247933884295,-14.809329115425706,0.0
base,2023,4102,matched_random_market,3025,516,176,7973,7973,245380996.00151533,245380996.00151533,49677.93329066342,46652.93329066342,0.0,6819104.099749917,486,44,1609.0,245438.0587129713,450,22371.428571428572,6.722222222222222,0.13521711366538952,0.17057851239669422,0.05818181818181818,0.022074501442367993,110.39540731258538,103.67318509036316,2.024522440619511,72.85111440443518,0.531900826446281,81.13654833486655,0.0
base,2023,4102,user_aware,3025,1863,635,7973,7973,245380996.00151533,245380996.00151533,264426.5984145837,261401.59841458368,0.0,27962611.763195276,1981,142,1586.0,243626.87362676373,450,22371.428571428572,6.722222222222222,0.13521711366538952,0.6158677685950413,0.20991735537190082,0.07964379781763452,587.6146631435194,580.8924409212971,10.776164524694927,94.56434207716791,0.524297520661157,80.53780946339297,0.0
base,2023,4102,weekly_fixed,22500,2936,867,7973,7973,245380996.00151533,245380996.00151533,51390.11861549477,28890.118615494768,0.0,37915102.61021644,2562,354,7650.0,378180.8992921908,450,22371.428571428572,50.0,1.0057471264367817,0.13048888888888888,0.038533333333333336,0.10874200426439233,114.20026358998838,64.20026358998837,2.0942990473140557,13.5539969768267,0.34,16.808039968541813,0.0
base,2023,4103,frequency_gate,4476,956,351,8035,8035,247664255.9775431,247664255.9775431,79249.85786967775,74773.85786967775,0.0,14787348.301862286,1068,78,2379.0,368404.6130428536,450,22371.428571428572,9.946666666666667,0.2000766283524904,0.21358355674709562,0.07841823056300268,0.04368388301182327,176.11079526595057,166.1641285992839,3.199890818191533,53.59301495569507,0.5315013404825737,82.30666064406917,0.0
base,2023,4103,market_only,19170,2469,753,8035,8035,247664255.9775431,247664255.9775431,213170.13501545702,194000.13501545702,0.0,33430802.328706637,2372,196,10170.0,1546814.314715404,450,22371.428571428572,42.6,0.8568965517241379,0.12879499217527388,0.03928012519561815,0.09371499688861232,473.71141114546003,431.11141114546007,8.607222474396394,63.7645883935039,0.5305164319248826,80.68932262469505,0.0
base,2023,4103,matched_calendar,2980,364,138,8035,8035,247664255.9775431,247664255.9775431,-8680.760039525014,-11660.760039525014,0.0,5342334.350350819,397,56,833.0,-46238.887230842774,450,22371.428571428572,6.622222222222222,0.13320561941251596,0.1221476510067114,0.046308724832214765,0.01717485998755445,-19.29057786561114,-25.912800087833364,-0.3505051629376885,-16.24900178506231,0.2795302013422819,-15.516405111021065,0.0
base,2023,4103,matched_random_market,2980,495,168,8035,8035,247664255.9775431,247664255.9775431,30919.103204044197,27939.103204044197,0.0,6325618.923248951,473,32,1553.0,239471.84418257215,450,22371.428571428572,6.622222222222222,0.13320561941251596,0.16610738255033558,0.056375838926174496,0.020908525202240198,68.70911823120933,62.086896008987104,1.2484281626351355,48.87917463760778,0.5211409395973154,80.3596792558967,0.0
base,2023,4103,user_aware,2980,1796,611,8035,8035,247664255.9775431,247664255.9775431,152889.49523572123,149909.49523572123,0.0,26768874.149476476,1895,149,1573.0,242309.67828109057,450,22371.428571428572,6.622222222222222,0.13320561941251596,0.6026845637583893,0.20503355704697987,0.07604231487243311,339.7544338571583,333.1322116349361,6.1732563963361935,57.1146527799382,0.5278523489932886,81.31197257754717,0.0
base,2023,4103,weekly_fixed,22500,2874,822,8035,8035,247664255.9775431,247664255.9775431,66095.30812904677,43595.308129046774,0.0,36037191.07055952,2606,353,7650.0,378180.8992921908,450,22371.428571428572,50.0,1.0057471264367817,0.12773333333333334,0.036533333333333334,0.10230242688238955,146.8784625089928,96.87846250899283,2.668746358579897,18.34086014074586,0.34,16.808039968541813,0.0
base,2024,4101,frequency_gate,5282,1203,364,8335,8335,259474712.15755534,259474712.15755534,58894.212090428955,53612.212090428955,0.0,16122816.37605906,1110,102,2298.0,219492.46385675506,450,22500.0,11.737777777777778,0.23475555555555555,0.22775463839454752,0.06891329042029534,0.04367126574685063,130.8760268676199,119.13824908984212,2.269747660599306,36.52848901627485,0.43506247633472167,41.554801941831705,0.0
base,2024,4101,market_only,22320,2930,777,8335,8335,259474712.15755534,259474712.15755534,176810.5855869947,154490.5855869947,0.0,35968108.480815776,2434,190,9900.0,955749.5476599063,450,22500.0,49.6,0.992,0.13127240143369176,0.03481182795698925,0.09322135572885423,392.9124124155438,343.3124124155438,6.814174071792929,49.1575990662116,0.4435483870967742,42.82032023565888,0.0
base,2024,4101,matched_calendar,3576,517,179,8335,8335,259474712.15755534,259474712.15755534,-7849.995632074515,-11425.995632074517,0.0,7174746.143248045,537,79,902.0,-146781.54630645938,450,22500.0,7.946666666666666,0.15893333333333334,0.14457494407158836,0.05005592841163311,0.021475704859028194,-17.444434737943368,-25.391101404610037,-0.30253413008154445,-10.941147568631301,0.25223713646532436,-41.04629370986,0.0
base,2024,4101,matched_random_market,3576,583,159,8335,8335,259474712.15755534,259474712.15755534,26429.047738753634,22853.047738753634,0.0,6412840.01508171,407,48,1592.0,155545.68092292134,450,22500.0,7.946666666666666,0.15893333333333334,0.16303131991051453,0.044463087248322146,0.019076184763047392,58.7312171972303,50.78455053056363,1.0185596707669025,41.21270400726952,0.4451901565995526,43.497114352047355,0.0
base,2024,4101,user_aware,3576,2141,673,8335,8335,259474712.15755534,259474712.15755534,137435.34459143417,133859.34459143417,0.0,31330881.301582973,2141,176,1552.0,146394.5718609485,450,22500.0,7.946666666666666,0.15893333333333334,0.5987136465324385,0.18819910514541388,0.08074385122975405,305.4118768698537,297.46521020318704,5.296675866740425,43.8657767933551,0.43400447427293065,40.93807937945987,0.0
base,2024,4101,weekly_fixed,22950,2995,836,8335,8335,259474712.15755534,259474712.15755534,44352.01852797674,21402.018527976743,0.0,37748935.69631968,2501,401,6480.0,119019.26355998935,450,22500.0,51.0,1.02,0.13050108932461874,0.03642701525054466,0.1002999400119976,98.56004117328165,47.560041173281654,1.709300230422678,11.749210331326196,0.2823529411764706,5.186024555990821,0.0
base,2024,4102,frequency_gate,5082,1180,396,8009,8009,248325959.53102002,248325959.53102002,44864.88777915011,39782.88777915011,0.0,17376521.040504757,1211,115,2244.0,226185.70899403322,450,22500.0,11.293333333333333,0.22586666666666666,0.23219205037386856,0.07792207792207792,0.04944437507803721,99.69975062033357,88.40641728700024,1.8066934227851332,25.819257879393597,0.44155844155844154,44.50722333609469,0.0
base,2024,4102,market_only,22320,2912,864,8009,8009,248325959.53102002,248325959.53102002,108232.55812515566,85912.55812515566,0.0,39818766.97722604,2765,251,9900.0,955749.5476599063,450,22500.0,49.6,0.992,0.13046594982078852,0.03870967741935484,0.10787863653389937,240.51679583367923,190.91679583367923,4.358487462589896,27.18129322966184,0.4435483870967742,42.82032023565888,0.0
base,2024,4102,matched_calendar,3429,425,131,8009,8009,248325959.53102002,248325959.53102002,-27148.53658702509,-30577.53658702509,0.0,5715936.206410094,357,56,862.0,-150124.1446674731,450,22500.0,7.62,0.1524,0.12394284047827354,0.03820355788859726,0.01635659882632039,-60.3300813045002,-67.9500813045002,-1.0932621236336666,-47.49622040319408,0.25138524351122776,-43.780736269312655,0.0
base,2024,4102,matched_random_market,3429,527,166,8009,8009,248325959.53102002,248325959.53102002,14766.481472047057,11337.481472047057,0.0,6664903.99394682,468,54,1544.0,148347.42025205246,450,22500.0,7.62,0.1524,0.1536891221930592,0.0484106153397492,0.020726682482207517,32.81440327121568,25.19440327121568,0.5946410717564339,22.155580163582595,0.45027704870224555,43.262589749796575,0.0
