scenario,period,market_net,aware_net,delta_net,aware_gross,random_gross,contact_reduction_pct,relevance_pct
base,2023-2025 OOT,360.7150283038771,326.5656853644291,-34.14934293944799,333.4619816607254,85.6942529120529,84.39751969163734,61.0562119584676
base,2026 diagnostic,329.0225749374499,320.6447316732162,-8.377843264233718,325.8669538954384,43.315476376006686,84.45767195767195,60.97872340425532
execution_drag_25bps,2023-2025 OOT,165.15973151163718,164.15228620026926,-1.007445311367917,333.4619816607254,85.6942529120529,84.39751969163734,61.0562119584676
execution_drag_25bps,2026 diagnostic,190.62237195454276,200.60527470279368,9.982902748250922,325.8669538954384,43.315476376006686,84.45767195767195,60.97872340425532
execution_drag_50bps,2023-2025 OOT,-30.395565280602707,1.7388870361094277,32.134452316712135,333.4619816607254,85.6942529120529,84.39751969163734,61.0562119584676
execution_drag_50bps,2026 diagnostic,52.222168971635625,80.56581773237114,28.34364876073552,325.8669538954384,43.315476376006686,84.45767195767195,60.97872340425532
high_contact_cost,2023-2025 OOT,-37.084971696122935,264.49901869776244,301.58399039388536,333.4619816607254,85.6942529120529,84.39751969163734,61.0562119584676
high_contact_cost,2026 diagnostic,26.622574937449933,273.6447316732162,247.02215673576626,325.8669538954384,43.315476376006686,84.45767195767195,60.97872340425532
high_response,2023-2025 OOT,720.8848751215141,645.2629367079622,-75.6219384135519,652.1849120166042,156.74227927173453,84.33942237863806,59.59905828636656
high_response,2026 diagnostic,564.2675160199655,599.8800992899622,35.612583269996776,605.1319511418142,108.71272241702435,84.3694885361552,59.09732016925246
low_response,2023-2025 OOT,72.42753022451235,94.89710293549089,22.46957271097854,101.77265849104644,24.987349377358345,84.44444444444444,62.22796811032105
low_response,2026 diagnostic,64.82088972401577,83.9364574940231,19.11556777000733,89.1401611977268,4.265897519320108,84.51278659611992,62.419928825622776
narrow_flexibility,2023-2025 OOT,40.23404169560742,60.3885936267173,20.154551931109886,64.78143313289014,12.646777564775393,90.06144908105692,25.585970434489347
narrow_flexibility,2026 diagnostic,28.41650064391823,46.68708642776919,18.270585783850958,50.00930864999141,7.458622493997842,90.11243386243386,24.994425863991083
no_behavioral_response,2023-2025 OOT,-44.2,-6.867407407407407,37.3325925925926,0.0,0.0,84.46287916876152,62.67932261891921
no_behavioral_response,2026 diagnostic,-33.6,-5.191851851851852,28.40814814814815,0.0,0.0,84.54805996472663,63.14738193750892
no_fatigue,2023-2025 OOT,429.64987975423554,333.9469296671411,-95.70295008709445,340.8437197905979,89.02756926636354,84.39640243561813,61.03035944436489
no_fatigue,2026 diagnostic,392.5190695993741,328.64715376333237,-63.87191583604175,333.86937598555454,46.175193593557225,84.45767195767195,60.95035460992908
urgent_majority,2023-2025 OOT,80.41005049070641,94.94025436023124,14.530203869524826,99.51482226146581,18.887326953772305,89.65029886598515,29.038700275273925
urgent_majority,2026 diagnostic,80.1864282118901,110.30167314622409,30.115244934333987,113.81130277585372,9.755141852487796,89.55467372134038,29.316167159138878
weak_intent,2023-2025 OOT,360.7150283038771,175.73602767203857,-184.97900063183852,182.07429927697683,76.77239772859546,85.66001899335232,35.691468640436305
weak_intent,2026 diagnostic,329.0225749374499,162.52388979619576,-166.49868514125416,167.1935194258254,51.07789458490947,86.10229276895943,36.215101522842644
wide_flexibility,2023-2025 OOT,816.907441116968,691.3346496953166,-125.57279142165146,701.3109459916128,283.3364306768452,77.42919389978213,74.25749925749926
wide_flexibility,2026 diagnostic,894.5658309575191,805.8447942538514,-88.72103670366766,813.4122016612589,231.6197404520894,77.47795414462081,73.36530931871575
