scenario,period,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2023-2025 OOT,frequency_gate,41784,9488,3206,73095,73095,2262173825.825216,2262173825.825216,647026.211727052,605242.211727052,0.0,138979613.3011199,9619,860,18814.0,2286089.7606172524,4050,201921.42857142858,10.317037037037037,0.2069319749548976,0.2270725636607314,0.07672793413746888,0.04386072918804296,159.75955845112395,149.4425214140869,2.860196702572244,46.55547647302587,0.4502680451847597,54.7120850233882,0.0
base,2023-2025 OOT,market_only,179010,23328,6891,73095,73095,2262173825.825216,2262173825.825216,1639905.8646307022,1460895.8646307022,0.0,316799580.8034286,21690,1865,81000.0,9753966.748043394,4050,201921.42857142858,44.2,0.8865329512893982,0.13031674208144797,0.038495056142114965,0.09427457418428073,404.9150283038771,360.7150283038771,7.249247807172743,51.76477381920053,0.45248868778280543,54.48839030246016,0.0
base,2023-2025 OOT,matched_calendar,27930,3677,1290,73095,73095,2262173825.825216,2262173825.825216,-56633.35598174309,-84563.3559817431,0.0,53380718.46471181,3650,572,6882.0,-608233.5135501261,4050,201921.42857142858,6.896296296296296,0.1383211291520747,0.13165055495882563,0.04618689581095596,0.017648265955263698,-13.983544686850145,-20.879840983146444,-0.2503492673074487,-10.609328163910249,0.24640171858216972,-21.777068154318872,0.0
base,2023-2025 OOT,matched_random_market,27930,4453,1459,73095,73095,2262173825.825216,2262173825.825216,347061.7242938143,319131.7242938143,0.0,59215241.422039144,4037,393,12633.0,1522657.1755628667,4050,201921.42857142858,6.896296296296296,0.1383211291520747,0.1594343000358038,0.052237737200143214,0.01996032560366646,85.6942529120529,78.7979566157566,1.5341956499174418,58.61020169118865,0.4523093447905478,54.51690567715241,0.0
base,2023-2025 OOT,user_aware,27930,17053,5756,73095,73095,2262173825.825216,2262173825.825216,1350521.025725938,1322591.025725938,0.0,263109706.64593893,18048,1549,12540.0,1539715.1591138574,4050,201921.42857142858,6.896296296296296,0.1383211291520747,0.610562119584676,0.20608664518438954,0.07874683630891306,333.4619816607254,326.5656853644291,5.970014374263582,51.3291981106309,0.4489795918367347,55.127646226776136,0.0
base,2023-2025 OOT,weekly_fixed,205200,26370,7615,73095,73095,2262173825.825216,2262173825.825216,-191462.3721241944,-396662.3721241944,0.0,345508739.6456457,23739,3757,55890.0,-825191.7250486424,4050,201921.42857142858,50.666666666666664,1.0162368672397326,0.12850877192982457,0.03711013645224172,0.10417949244134346,-47.2746597837517,-97.94132645041837,-0.8463645451929454,-5.541462491529405,0.2723684210526316,-4.021402168853033,0.0
base,2026 diagnostic,frequency_gate,10633,2449,784,15699,15699,486022478.64184874,486022478.64184874,220030.4640269255,209397.4640269255,0.0,35260971.85881047,2466,225,5078.0,660628.1657789508,1350,43392.857142857145,7.876296296296296,0.24504032921810698,0.2303206997084548,0.07373271889400922,0.049939486591502644,162.98552890883371,155.1092326125374,4.527166410940152,62.40056709382719,0.47756982977522805,62.12998831740344,0.0
base,2026 diagnostic,market_only,45360,5874,1643,15699,15699,486022478.64184874,486022478.64184874,489540.4761655574,444180.4761655574,0.0,74736109.61076987,5239,464,21330.0,2770154.1360070896,1350,43392.857142857145,33.6,1.0453333333333332,0.1294973544973545,0.036221340388007055,0.10465634753805975,362.62257493744994,329.0225749374499,10.07238343241941,65.50253668743443,0.47023809523809523,61.070417460473756,0.0
base,2026 diagnostic,matched_calendar,7050,934,319,15699,15699,486022478.64184874,486022478.64184874,27881.746418317984,20831.746418317984,0.0,12348490.977287224,897,122,2944.0,351430.6718235235,1350,43392.857142857145,5.222222222222222,0.16246913580246913,0.1324822695035461,0.04524822695035461,0.02031976559016498,20.653145495050357,15.430923272828135,0.5736719522979948,22.579071782618076,0.4175886524822695,49.84832224447141,0.0
base,2026 diagnostic,matched_random_market,7050,1139,372,15699,15699,486022478.64184874,486022478.64184874,58475.89310760903,51425.89310760903,0.0,14060803.510457031,1044,105,3275.0,423465.08565257554,1350,43392.857142857145,5.222222222222222,0.16246913580246913,0.16156028368794326,0.05276595744680851,0.023695776801070132,43.315476376006686,38.093254153784464,1.2031520285031934,41.587874451215015,0.4645390070921986,60.06596959611001,0.0
base,2026 diagnostic,user_aware,7050,4299,1392,15699,15699,486022478.64184874,486022478.64184874,439920.38775884185,432870.38775884185,0.0,64821306.76402816,4531,388,3285.0,427991.05785247,1350,43392.857142857145,5.222222222222222,0.16246913580246913,0.6097872340425532,0.1974468085106383,0.08866806802981081,325.8669538954384,320.6447316732162,9.051441180008062,67.86663363025113,0.46595744680851064,60.70795146843547,0.0
base,2026 diagnostic,weekly_fixed,44550,5656,1605,15699,15699,486022478.64184874,486022478.64184874,273564.5420367725,229014.54203677244,0.0,75572709.77005127,5268,726,13500.0,1177739.0836045174,1350,43392.857142857145,33.0,1.0266666666666666,0.1269584736251403,0.036026936026936025,0.1022358111981655,202.64040150872034,169.64040150872032,5.628639704098191,36.19885311366504,0.30303030303030304,26.436343066319132,0.0
execution_drag_25bps,2023-2025 OOT,frequency_gate,41784,9488,3206,73095,73095,2262173825.825216,2262173825.825216,647026.211727052,257793.17847425217,347449.03325279977,138979613.3011199,9619,860,18814.0,2286089.7606172524,4050,201921.42857142858,10.317037037037037,0.2069319749548976,0.2270725636607314,0.07672793413746888,0.04386072918804296,159.75955845112395,63.65263666030918,2.860196702572244,46.55547647302587,0.4502680451847597,54.7120850233882,0.0
execution_drag_25bps,2023-2025 OOT,market_only,179010,23328,6891,73095,73095,2262173825.825216,2262173825.825216,1639905.8646307022,668896.9126221306,791998.9520085716,316799580.8034286,21690,1865,81000.0,9753966.748043394,4050,201921.42857142858,44.2,0.8865329512893982,0.13031674208144797,0.038495056142114965,0.09427457418428073,404.9150283038771,165.15973151163718,7.249247807172743,51.76477381920053,0.45248868778280543,54.48839030246016,0.0
