year,corridor,eligible_rows,candidate_signals,raw_market_brier,raw_candidate_hit_rate,raw_candidate_forward_bps
2023,AMD,242,46,0.22261312906132938,0.45652173913043476,65.11137045215386
2023,KGS,242,44,0.2090348684046282,0.5227272727272727,81.88414675191318
2023,KZT,242,35,0.2110677978238446,0.6571428571428571,117.37060321010405
2023,TJS,242,44,0.2129024430823048,0.4772727272727273,67.63180388526366
2023,UZS,242,44,0.2177460196985189,0.5681818181818182,79.65976676980782
2024,AMD,243,56,0.19611313229933547,0.4642857142857143,37.81290755438285
2024,KGS,243,46,0.19864651588488683,0.5,65.04698877141193
2024,KZT,243,52,0.200918231618609,0.34615384615384615,12.345781254428328
2024,TJS,243,44,0.19738143386254417,0.5227272727272727,65.80748410042365
2024,UZS,243,50,0.18729526404000602,0.4,39.44490372528204
2025,AMD,242,37,0.1559206209312253,0.3783783783783784,42.29545086626883
2025,KGS,242,38,0.1502984181708024,0.3157894736842105,34.267061956093464
2025,KZT,242,46,0.15581220930445144,0.34782608695652173,17.572460062170553
2025,TJS,242,36,0.19407171507628798,0.5277777777777778,71.93566886355912
2025,UZS,242,45,0.1493142546011832,0.35555555555555557,45.654230104359286
2026,AMD,156,34,0.20320073845824846,0.4411764705882353,62.13370346292396
2026,KGS,156,34,0.1858728826587169,0.47058823529411764,55.40130034519442
2026,KZT,156,33,0.23698814647799885,0.36363636363636365,68.67351050974021
2026,TJS,156,34,0.1939015673341829,0.5,48.983029139419436
2026,UZS,156,33,0.2131709951946777,0.5757575757575758,70.66639897945089
