date,moex_session_index,cbr_rate,nbk_rate,moex_open,moex_high,moex_low,moex_close,cbr_age_days,nbk_age_days,cbr_is_fresh,nbk_is_fresh,moex_is_fresh,return_1,return_3,return_5,return_10,decreasing_run,falling_2,falling_3,falling_4,falling_5,percentile_20,distance_min_20_bps,percentile_60,distance_min_60_bps,percentile_120,distance_min_120_bps,rebound_5_bps,rebound_10_bps,rebound_20_bps,volatility_20_bps,volatility_regime,speed_3_bps,candle_body_bps,candle_range_bps,candle_close_position,gap_bps,cbr_nbk_basis_bps,cbr_moex_basis_bps,nbk_moex_basis_bps,usd_cross_rate,cny_cross_rate,usd_cross_basis_bps,cny_cross_basis_bps,weekday,week_of_month,month,is_month_end,is_ru_weekend,is_kz_weekend,is_ru_holiday,is_kz_holiday,days_since_ru_holiday,days_to_ru_holiday,days_since_kz_holiday,days_to_kz_holiday
2021-05-11,104,0.173784,0.17482517482517484,0.17352499999999998,0.17352499999999998,0.17352499999999998,0.17352499999999998,3,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.05,0.0,0.016666666666666666,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,72.06223409618326,1.1913204838509015,0.0,0.0,0.0,0.0,-135.0198976691308,-59.55520000000103,14.925803198386767,74.92723383805577,0.17362771961872642,0.1740145542753184,-8.992794576806462,13.266714733140006,1,2,5,0,0,0,0,0,1,30,1,30
2021-05-13,105,0.17373999999999998,0.17421602787456444,0.174,0.174,0.174,0.174,0,0,1,1,1,0.0012390145512173323,-0.006268731840124553,-0.009814090800287278,-0.00043724398214217697,0,0,0,0,0,0.1,12.390145512173323,0.03333333333333333,12.390145512173323,0.016666666666666666,12.390145512173323,12.390145512173323,12.390145512173323,12.390145512173323,71.1275097460314,1.1759005842968597,-20.895772800415177,0.0,0.0,0.0,27.373577294338425,-27.324000000000794,-14.942528735633065,12.415395089910852,0.17374571736987846,0.1736935166994106,0.32907619883060235,-2.675451858488165,3,2,5,0,0,0,0,0,3,30,3,30
2021-05-14,106,0.173708,0.17391304347826086,0.17300000000000001,0.17300000000000001,0.17300000000000001,0.17300000000000001,0,0,1,1,1,-0.0001841832623459272,-0.00043732449477507096,-0.009765079437467739,-0.00465846517038071,1,0,0,0,0,0.1,10.54603083129324,0.03333333333333333,10.54603083129324,0.016666666666666666,10.54603083129324,10.54603083129324,10.54603083129324,10.54603083129324,71.04847986085964,1.1748107017568283,-1.4577483159169031,0.0,0.0,0.0,-57.471264367814356,-11.789999999999301,40.92485549132885,52.77707966825807,0.17391322652321364,0.1739100241545894,11.814454326435353,11.630100777706431,4,2,5,0,0,0,0,0,4,29,4,30
2021-05-17,107,0.172626,0.17271157167530224,0.1736,0.1736,0.1736,0.1736,2,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.05,0.0,0.016666666666666666,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,66.2678675067691,1.0890185404309043,0.0,0.0,0.0,0.0,34.682080924854915,-4.954600000000031,-56.1059907834105,-51.176746814387556,0.172603391570059,0.1726302357003453,-1.3096769861442592,0.24536862032853435,0,3,5,0,0,0,0,0,7,26,7,30
2021-05-20,108,0.172162,0.1724137931034483,0.17125,0.17125,0.17125,0.17125,0,0,1,1,1,-0.004849682949809586,-0.002687891742842896,-0.009082537124438628,-0.018807491080689687,1,0,0,0,0,0.05,0.0,0.016666666666666666,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,45.3035689406008,0.7475252633826066,-8.959639142809655,0.0,0.0,0.0,-135.36866359446952,-14.604000000000283,53.25547445255374,67.95872136924119,0.17232960658651822,0.1723629518072289,9.735399595625083,11.67225097459923,3,3,5,0,0,0,0,0,10,23,10,30
2021-05-21,109,0.171581,0.17152658662092624,0.1709,0.1709,0.1709,0.1709,0,0,1,1,1,-0.00337472845343334,-0.005984450855666235,-0.01224468648536614,-0.021890195586617422,2,1,0,0,0,0.05,0.0,0.016666666666666666,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,45.487121562019055,0.7492172530649236,-19.94816951888745,0.0,0.0,0.0,-20.437956204381045,3.172300000000572,39.84786424809927,36.663933348521915,0.17147946226788752,0.17152542372881358,-5.9177724871928294,-3.2390690802852617,4,3,5,0,0,0,0,0,11,22,11,30
2021-05-24,110,0.17153400000000002,0.17123287671232876,0.173075,0.173075,0.173075,0.173075,2,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.05,0.0,0.016666666666666666,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,43.062994417277054,0.7097051872622755,0.0,0.0,0.0,0.0,127.26740784084312,17.585600000000756,-89.03654485049705,-106.43497256514478,0.17157184162663805,0.17147698305593043,2.2060714865879127,-3.3239441783894375,0,4,5,0,0,0,0,0,14,19,14,30
2021-05-25,111,0.17180900000000002,0.17211703958691912,0.172875,0.172875,0.1725,0.1725,0,0,1,1,1,0.0016031807105296725,-0.002050394395975874,-0.004663584645509422,-0.011364682594484976,0,0,0,0,0,0.15,16.031807105296725,0.05,16.031807105296725,0.025,16.031807105296725,16.031807105296725,16.031807105296725,16.031807105296725,42.93313631509056,0.7073952541366191,-6.834647986586248,-21.69197396963196,21.739130434783593,0.0,-11.55568395204476,-17.897100000000556,-40.057971014491045,-22.200603656861162,0.171959867159362,0.17193354382799578,8.781097577077457,7.248969960582663,1,4,5,0,0,0,0,0,15,18,15,30
2021-05-26,112,0.171967,0.17211703958691912,0.17397500000000002,0.17397500000000002,0.17397500000000002,0.17397500000000002,0,0,1,1,1,0.0009196258636043897,0.0022496663383475557,-0.005976844064485176,-0.008978533352542728,0,0,0,0,0,0.2,25.242809005794342,0.06666666666666667,25.242809005794342,0.03333333333333333,25.242809005794342,25.242809005794342,25.242809005794342,25.242809005794342,33.2851573310234,0.5485999670590657,7.498887794491853,0.0,0.0,0.0,85.5072463768125,-8.717300000000705,-115.41888202327932,-106.7946781480611,0.1720978709435378,0.17199279171046702,7.6102358904783785,1.4998058038462325,2,4,5,0,0,0,0,0,16,17,16,30
2021-05-31,113,0.17167000000000002,0.1718213058419244,0.17149999999999999,0.17149999999999999,0.17149999999999999,0.17149999999999999,2,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.2,22.243109598396593,0.06666666666666667,22.243109598396593,0.03333333333333333,22.243109598396593,0.0,0.0,0.0,32.06659179049848,0.5387254821722312,0.0,0.0,0.0,0.0,-142.26181922690208,-8.805999999998981,9.91253644315071,18.73503451454317,0.17197242346342606,0.17198928730843627,17.616558712998387,18.598899541926173,0,5,5,1,0,0,0,0,21,12,21,30
