effective_date,available_at,source,symbol,field,raw_nominal,raw_value,normalized_value,normalized_unit,is_observation
2020-09-03,2020-09-03T00:00:00+00:00,CBR,CNY,close,1.0,10.8205,10.8205,RUB_per_CNY,1
2020-09-03,2020-09-03T00:00:00+00:00,CBR,KZT,close,100.0,17.632,0.17632,RUB_per_KZT,1
2020-09-03,2020-09-03T00:00:00+00:00,CBR,USD,close,1.0,73.8588,73.8588,RUB_per_USD,1
2020-09-03,2020-09-03T20:00:00+00:00,MOEX,KZTRUB_TOM,close,100.0,17.86,0.17859999999999998,RUB_per_KZT,1
2020-09-03,2020-09-03T20:00:00+00:00,MOEX,KZTRUB_TOM,high,100.0,17.9775,0.179775,RUB_per_KZT,1
2020-09-03,2020-09-03T20:00:00+00:00,MOEX,KZTRUB_TOM,low,100.0,17.86,0.17859999999999998,RUB_per_KZT,1
2020-09-03,2020-09-03T20:00:00+00:00,MOEX,KZTRUB_TOM,open,100.0,17.9775,0.179775,RUB_per_KZT,1
2020-09-04,2020-09-04T00:00:00+00:00,CBR,CNY,close,1.0,11.0401,11.0401,RUB_per_CNY,1
2020-09-04,2020-09-04T00:00:00+00:00,CBR,KZT,close,100.0,17.9284,0.179284,RUB_per_KZT,1
2020-09-04,2020-09-04T00:00:00+00:00,CBR,USD,close,1.0,75.468,75.468,RUB_per_USD,1
2020-09-04,2020-09-04T20:00:00+00:00,MOEX,KZTRUB_TOM,close,100.0,17.92,0.17920000000000003,RUB_per_KZT,1
2020-09-04,2020-09-04T20:00:00+00:00,MOEX,KZTRUB_TOM,high,100.0,17.92,0.17920000000000003,RUB_per_KZT,1
2020-09-04,2020-09-04T20:00:00+00:00,MOEX,KZTRUB_TOM,low,100.0,17.92,0.17920000000000003,RUB_per_KZT,1
2020-09-04,2020-09-04T20:00:00+00:00,MOEX,KZTRUB_TOM,open,100.0,17.92,0.17920000000000003,RUB_per_KZT,1
2020-09-05,2020-09-05T00:00:00+00:00,CBR,CNY,close,1.0,10.9922,10.9922,RUB_per_CNY,1
2020-09-05,2020-09-05T00:00:00+00:00,CBR,KZT,close,100.0,17.8606,0.17860600000000001,RUB_per_KZT,1
2020-09-05,2020-09-05T00:00:00+00:00,CBR,USD,close,1.0,75.1823,75.1823,RUB_per_USD,1
2020-09-08,2020-09-08T00:00:00+00:00,CBR,CNY,close,1.0,11.0664,11.0664,RUB_per_CNY,1
2020-09-08,2020-09-08T00:00:00+00:00,CBR,KZT,close,100.0,17.8538,0.178538,RUB_per_KZT,1
2020-09-08,2020-09-08T00:00:00+00:00,CBR,USD,close,1.0,75.591,75.591,RUB_per_USD,1
2020-09-08,2020-09-08T20:00:00+00:00,MOEX,KZTRUB_TOM,close,100.0,18.1,0.18100000000000002,RUB_per_KZT,1
2020-09-08,2020-09-08T20:00:00+00:00,MOEX,KZTRUB_TOM,high,100.0,18.1,0.18100000000000002,RUB_per_KZT,1
2020-09-08,2020-09-08T20:00:00+00:00,MOEX,KZTRUB_TOM,low,100.0,17.895,0.17895,RUB_per_KZT,1
2020-09-08,2020-09-08T20:00:00+00:00,MOEX,KZTRUB_TOM,open,100.0,17.895,0.17895,RUB_per_KZT,1
2020-09-09,2020-09-09T00:00:00+00:00,CBR,CNY,close,1.0,11.1183,11.1183,RUB_per_CNY,1
2020-09-09,2020-09-09T00:00:00+00:00,CBR,KZT,close,100.0,17.8997,0.178997,RUB_per_KZT,1
2020-09-09,2020-09-09T00:00:00+00:00,CBR,USD,close,1.0,75.9645,75.9645,RUB_per_USD,1
2020-09-10,2020-09-10T00:00:00+00:00,CBR,CNY,close,1.0,11.1118,11.1118,RUB_per_CNY,1
2020-09-10,2020-09-10T00:00:00+00:00,CBR,KZT,close,100.0,17.7762,0.177762,RUB_per_KZT,1
2020-09-10,2020-09-10T00:00:00+00:00,CBR,USD,close,1.0,76.0713,76.0713,RUB_per_USD,1
2020-09-10,2020-09-10T20:00:00+00:00,MOEX,KZTRUB_TOM,close,100.0,17.75,0.1775,RUB_per_KZT,1
2020-09-10,2020-09-10T20:00:00+00:00,MOEX,KZTRUB_TOM,high,100.0,17.75,0.1775,RUB_per_KZT,1
2020-09-10,2020-09-10T20:00:00+00:00,MOEX,KZTRUB_TOM,low,100.0,17.5725,0.17572500000000002,RUB_per_KZT,1
2020-09-10,2020-09-10T20:00:00+00:00,MOEX,KZTRUB_TOM,open,100.0,17.5725,0.17572500000000002,RUB_per_KZT,1
2020-09-11,2020-09-11T00:00:00+00:00,CBR,CNY,close,1.0,11.0427,11.0427,RUB_per_CNY,1
2020-09-11,2020-09-11T00:00:00+00:00,CBR,KZT,close,100.0,17.6842,0.176842,RUB_per_KZT,1
2020-09-11,2020-09-11T00:00:00+00:00,CBR,USD,close,1.0,75.5274,75.5274,RUB_per_USD,1
2020-09-11,2020-09-11T20:00:00+00:00,MOEX,KZTRUB_TOM,close,100.0,17.61,0.1761,RUB_per_KZT,1
2020-09-11,2020-09-11T20:00:00+00:00,MOEX,KZTRUB_TOM,high,100.0,17.61,0.1761,RUB_per_KZT,1
2020-09-11,2020-09-11T20:00:00+00:00,MOEX,KZTRUB_TOM,low,100.0,17.61,0.1761,RUB_per_KZT,1
2020-09-11,2020-09-11T20:00:00+00:00,MOEX,KZTRUB_TOM,open,100.0,17.61,0.1761,RUB_per_KZT,1
2020-09-12,2020-09-12T00:00:00+00:00,CBR,CNY,close,1.0,10.9544,10.9544,RUB_per_CNY,1
2020-09-12,2020-09-12T00:00:00+00:00,CBR,KZT,close,100.0,17.5287,0.175287,RUB_per_KZT,1
2020-09-12,2020-09-12T00:00:00+00:00,CBR,USD,close,1.0,74.8896,74.8896,RUB_per_USD,1
2020-09-14,2020-09-14T20:00:00+00:00,MOEX,KZTRUB_TOM,close,100.0,17.4,0.174,RUB_per_KZT,1
2020-09-14,2020-09-14T20:00:00+00:00,MOEX,KZTRUB_TOM,high,100.0,17.4,0.174,RUB_per_KZT,1
2020-09-14,2020-09-14T20:00:00+00:00,MOEX,KZTRUB_TOM,low,100.0,17.4,0.174,RUB_per_KZT,1
2020-09-14,2020-09-14T20:00:00+00:00,MOEX,KZTRUB_TOM,open,100.0,17.4,0.174,RUB_per_KZT,1
2020-09-15,2020-09-15T00:00:00+00:00,CBR,CNY,close,1.0,10.9498,10.9498,RUB_per_CNY,1
2020-09-15,2020-09-15T00:00:00+00:00,CBR,KZT,close,100.0,17.5062,0.175062,RUB_per_KZT,1
2020-09-15,2020-09-15T00:00:00+00:00,CBR,USD,close,1.0,74.7148,74.7148,RUB_per_USD,1
2020-09-15,2020-09-15T20:00:00+00:00,MOEX,KZTRUB_TOM,close,100.0,17.4525,0.174525,RUB_per_KZT,1
2020-09-15,2020-09-15T20:00:00+00:00,MOEX,KZTRUB_TOM,high,100.0,17.49,0.17489999999999997,RUB_per_KZT,1
2020-09-15,2020-09-15T20:00:00+00:00,MOEX,KZTRUB_TOM,low,100.0,17.4525,0.174525,RUB_per_KZT,1
2020-09-15,2020-09-15T20:00:00+00:00,MOEX,KZTRUB_TOM,open,100.0,17.49,0.17489999999999997,RUB_per_KZT,1
2020-09-16,2020-09-16T00:00:00+00:00,CBR,CNY,close,1.0,11.0928,11.0928,RUB_per_CNY,1
