config_id,fold_test_year,corridor,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
base_control_head10y,2023,AMD,56.0,0.4642857142857143,1.1827067669172933,41.38421974752573,35.64908743038105,68.90199249807684,0.2052611987579275,0.5936948406775944,0.7392409595417114,0.07646121648010346,242,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
base_control_head10y,2023,KGS,56.0,0.44642857142857145,1.1493161094224924,25.21603372028735,21.428086486283263,73.16753852977321,0.1941542992375005,0.5689977911111888,0.7895701552616446,0.11790002215634295,242,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
base_control_head10y,2023,KZT,58.0,0.46551724137931033,1.265788454087563,17.366529984623757,15.025000861573384,101.06711806347357,0.19904166666732276,0.5824965302086502,0.7455753837115371,0.07152865001775269,242,242,1.1666666666666667,1.0,1.0
base_control_head10y,2023,TJS,56.0,0.48214285714285715,1.2412613981762917,26.13267332202539,21.983975789922123,74.68787519015078,0.19825950671729448,0.5785403893809471,0.7615008625646923,0.11181191051419918,242,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
base_control_head10y,2023,UZS,56.0,0.5,1.2736842105263158,39.96342892602704,31.354317441029117,60.725567549514786,0.20426581975723623,0.5910098549197051,0.7298245614035087,0.08810641177443825,242,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
base_control_head10y,2024,AMD,48.0,0.4583333333333333,1.3102941176470588,25.103959409630605,10.290038444336183,76.36994141082,0.19562178886039366,0.5757399883514954,0.7443782576321669,0.0673089469966149,243,243,0.96,0.8775510204081632,0.8775510204081632
base_control_head10y,2024,KGS,46.0,0.5,1.35,32.94295706375516,17.755742664724092,71.61408951839492,0.19932537205030632,0.5826948884148547,0.733442265795207,0.07840928120062242,243,243,0.92,0.8775510204081632,0.8775510204081632
base_control_head10y,2024,KZT,47.0,0.3617021276595745,1.3522094926350245,20.72603674913774,7.650011766009307,102.91550967716941,0.1925626805159965,0.5712544196103473,0.6799481417458946,0.09314027533269922,243,243,0.94,0.8775510204081632,0.8775510204081632
base_control_head10y,2024,TJS,47.0,0.44680851063829785,1.2773466833541927,22.9653494359007,9.625246183827615,79.05970902110948,0.19472954209457444,0.5757557313434435,0.7527177959791511,0.10326351299850113,243,243,0.94,0.8571428571428571,0.8571428571428571
base_control_head10y,2024,UZS,49.0,0.4489795918367347,1.3637755102040816,21.047407664658724,11.196182182619712,82.3157253109466,0.176026801247954,0.5285811568164238,0.779026073619632,0.07350924348049229,243,243,0.98,0.8979591836734694,0.8979591836734694
base_control_head10y,2025,AMD,40.0,0.375,1.7122641509433962,72.90767042325301,48.074679611017785,82.01254867589047,0.16031661871612932,0.4882921080873955,0.6924228811021265,0.07143505061534866,242,242,0.8022922636103152,0.7959183673469388,0.7959183673469388
