date,client,currency,bank_side,value
2020-08-11,personal,RUB,sell,5.84
2020-08-12,personal,RUB,sell,5.83
2020-08-13,personal,RUB,sell,5.79
2020-08-14,personal,RUB,sell,6.01
2020-08-17,personal,RUB,sell,5.78
2020-08-18,personal,RUB,sell,5.83
2020-08-19,personal,RUB,sell,5.8
2020-08-20,personal,RUB,sell,5.77
2020-08-21,personal,RUB,sell,5.93
2020-08-24,personal,RUB,sell,5.75
2020-08-25,personal,RUB,sell,5.71
2020-08-26,personal,RUB,sell,5.63
2020-08-27,personal,RUB,sell,5.67
2020-08-28,personal,RUB,sell,5.95
2020-09-01,personal,RUB,sell,5.78
2020-09-02,personal,RUB,sell,5.74
2020-09-03,personal,RUB,sell,5.67
2020-09-04,personal,RUB,sell,5.9
2020-09-07,personal,RUB,sell,5.68
2020-09-08,personal,RUB,sell,5.66
2020-09-10,personal,RUB,sell,5.78
2020-09-11,personal,RUB,sell,5.99
2020-09-15,personal,RUB,sell,5.78
2020-09-16,personal,RUB,sell,5.78
2020-09-17,personal,RUB,sell,5.75
2020-09-18,personal,RUB,sell,5.91
2020-09-21,personal,RUB,sell,5.65
2020-09-22,personal,RUB,sell,5.7
2020-09-23,personal,RUB,sell,5.66
2020-09-24,personal,RUB,sell,5.64
2020-09-25,personal,RUB,sell,5.8
2020-09-28,personal,RUB,sell,5.58
2020-09-29,personal,RUB,sell,5.56
2020-09-30,personal,RUB,sell,5.62
2020-10-01,personal,RUB,sell,5.68
2020-10-02,personal,RUB,sell,5.81
2020-10-05,personal,RUB,sell,5.59
2020-10-06,personal,RUB,sell,5.61
2020-10-07,personal,RUB,sell,5.58
2020-10-08,personal,RUB,sell,5.63
2020-10-09,personal,RUB,sell,5.84
2020-10-12,personal,RUB,sell,5.65
2020-10-13,personal,RUB,sell,5.67
2020-10-14,personal,RUB,sell,5.64
2020-10-15,personal,RUB,sell,5.6
2020-10-16,personal,RUB,sell,5.78
2020-10-19,personal,RUB,sell,5.61
2020-10-20,personal,RUB,sell,5.6
2020-10-21,personal,RUB,sell,5.65
2020-10-22,personal,RUB,sell,5.68
2020-10-23,personal,RUB,sell,5.9
2020-10-26,personal,RUB,sell,5.72
2020-10-27,personal,RUB,sell,5.72
2020-10-28,personal,RUB,sell,5.61
2020-10-29,personal,RUB,sell,5.54
2020-10-30,personal,RUB,sell,5.76
