cutoff,arm,rows,dates,positive_share,brier,raw_brier,log_loss,auc,brier_skill_vs_past_prevalence
2026-01-01,bank_cbr,118,118,0.22033898305084745,0.19011070828651425,0.18449690204250763,0.5703848646108329,0.4107441471571906,-0.0426690963344829
2026-01-01,bank_cbr_oxr,118,118,0.22033898305084745,0.202022273297771,0.18946919763308992,0.5957910205451381,0.37918060200668896,-0.10799850801338073
2026-01-01,bank_history,118,118,0.22033898305084745,0.18424384628663404,0.17429557309625013,0.5573183920625774,0.4916387959866221,-0.010492078243976355
2026-01-01,cbr_history,118,118,0.22033898305084745,0.18157060996549604,0.17325437867883023,0.5494732955568179,0.5296822742474916,0.004169383618807143
2026-01-01,persistence,118,118,0.22033898305084745,0.18233081708746424,0.18233081708746424,0.5531431836963345,0.5,0.0
2026-01-01,prior_mean,118,118,0.22033898305084745,0.18233081708746424,0.18233081708746424,0.5531431836963345,0.5,0.0
2026-03-01,bank_cbr,118,118,0.22033898305084745,0.18087831126638795,0.17727028240448034,0.5498010139711974,0.477633779264214,-0.0008189930892787967
2026-03-01,bank_cbr_oxr,118,118,0.22033898305084745,0.18930675312481435,0.18339373786193894,0.5683439831565741,0.41701505016722407,-0.047454461073269005
2026-03-01,bank_history,118,118,0.22033898305084745,0.18182834659333308,0.17208736504584488,0.5518515859232568,0.5213210702341138,-0.006075639906995667
2026-03-01,cbr_history,118,118,0.22033898305084745,0.1803240175665519,0.17196570609451803,0.5484184074880478,0.5390886287625418,0.0022479730862768887
2026-03-01,persistence,118,118,0.22033898305084745,0.18073029440424754,0.18073029440424754,0.5494592937892522,0.5,0.0
2026-03-01,prior_mean,118,118,0.22033898305084745,0.18073029440424754,0.18073029440424754,0.5494592937892522,0.5,0.0
