cutoff,arm,rows,dates,positive_share,brier,raw_brier,log_loss,auc,brier_skill_vs_past_prevalence
2023-01-01,bank_cbr,242,242,0.2024793388429752,0.17018394297134123,0.21171464592120565,0.5256278692583924,0.4386697684255049,0.01799408375578926
2023-01-01,bank_cbr_oxr,242,242,0.2024793388429752,0.17157347109241533,0.20632772454847148,0.5291739917094402,0.4131331288992281,0.009976142627746043
2023-01-01,bank_history,242,242,0.2024793388429752,0.17122751129161806,0.21457851611345452,0.5287165233887462,0.48064925452046103,0.011972421273274914
2023-01-01,cbr_history,242,242,0.2024793388429752,0.17329911693525799,0.19162241475351344,0.5335374965696247,0.43317119593951575,1.871422747046214e-05
2023-01-01,persistence,242,242,0.2024793388429752,0.1733023601550471,0.1733023601550471,0.5336789140026714,0.5,0.0
2023-01-01,prior_mean,242,242,0.2024793388429752,0.1733023601550471,0.1733023601550471,0.5336789140026714,0.5,0.0
2024-01-01,bank_cbr,240,240,0.2791666666666667,0.2054217370017812,0.22293648639111024,0.6039642021577412,0.527133120524545,0.00816869706891421
2024-01-01,bank_cbr_oxr,240,240,0.2791666666666667,0.20541097195049826,0.21645953500061765,0.6041952530301641,0.5324389612630489,0.008220673626974317
2024-01-01,bank_history,240,240,0.2791666666666667,0.2063734966293935,0.2352061298194612,0.6066767788646208,0.5972737468725735,0.0035733460349400836
2024-01-01,cbr_history,240,240,0.2791666666666667,0.20435878206165103,0.20291837355252387,0.6013113696481104,0.5497800017254766,0.013300928928180467
2024-01-01,persistence,240,240,0.2791666666666667,0.20711358513762726,0.20711358513762726,0.6089487150985315,0.5,0.0
2024-01-01,prior_mean,240,240,0.2791666666666667,0.20711358513762726,0.20711358513762726,0.6089487150985315,0.5,0.0
2025-01-01,bank_cbr,226,226,0.3230088495575221,0.22053960579706572,0.24172347790963927,0.6346443497311722,0.4988808308711612,0.00025686684867132215
2025-01-01,bank_cbr_oxr,226,226,0.3230088495575221,0.22109780875524676,0.24578117693080004,0.6351832116147911,0.45415883248276484,-0.002273561063944829
2025-01-01,bank_history,226,226,0.3230088495575221,0.23026856394539433,0.22675042925550246,0.6571122870504305,0.4469961500581968,-0.043846137082777625
2025-01-01,cbr_history,226,226,0.3230088495575221,0.22531396432062034,0.22933184395859568,0.6473234553649218,0.46763362879398335,-0.021386103500692366
2025-01-01,persistence,226,226,0.3230088495575221,0.22059626966568338,0.22059626966568338,0.6337531924849085,0.5,0.0
2025-01-01,prior_mean,226,226,0.3230088495575221,0.22059626966568338,0.22059626966568338,0.6337531924849085,0.5,0.0
2026-01-01,bank_cbr,167,167,0.25748502994011974,0.20005735543441813,0.204420705389105,0.5904717402688576,0.4696174043510878,-0.023416710012104325
2026-01-01,bank_cbr_oxr,167,167,0.25748502994011974,0.20837773894098943,0.2088860354629462,0.6079069228649604,0.4437359339834959,-0.06598060123141836
2026-01-01,bank_history,167,167,0.25748502994011974,0.19643673721632862,0.19486838652383212,0.5825767337859431,0.48358964741185295,-0.0048950156863902805
2026-01-01,cbr_history,167,167,0.25748502994011974,0.19808104095127732,0.19812708213657987,0.5843502228395115,0.5259752438109527,-0.013306643017100717
2026-01-01,persistence,167,167,0.25748502994011974,0.1954798602341093,0.1954798602341093,0.5806304590205326,0.5,0.0
2026-01-01,prior_mean,167,167,0.25748502994011974,0.1954798602341093,0.1954798602341093,0.5806304590205326,0.5,0.0
2026-03-01,bank_cbr,120,120,0.21666666666666667,0.17951730246881467,0.17497604987421614,0.5469429921011492,0.4777004909983634,-0.0008170031386107723
2026-03-01,bank_cbr_oxr,120,120,0.21666666666666667,0.1879022144944553,0.18091388144382256,0.5653995640923075,0.4171440261865794,-0.047563263302253356
2026-03-01,bank_history,120,120,0.21666666666666667,0.18040279656594407,0.1698822875302909,0.5488460625006789,0.5225040916530278,-0.005753672397775578
2026-03-01,cbr_history,120,120,0.21666666666666667,0.17892105628148078,0.16968574846793097,0.545464216288286,0.5439852700490998,0.0025070960659435704
2026-03-01,persistence,120,120,0.21666666666666667,0.17937075599818916,0.17937075599818916,0.5466046580454261,0.5,0.0
2026-03-01,prior_mean,120,120,0.21666666666666667,0.17937075599818916,0.17937075599818916,0.5466046580454261,0.5,0.0
