epoch,training_bce
1,0.6172969533582375
2,0.5737605854923383
3,0.5719540303482945
4,0.5638145702682535
5,0.5598041371376908
6,0.5584504422934159
7,0.5599200520899081
8,0.5604268757612034
9,0.5581686218208242
10,0.5554938311501277
11,0.5546244337325269
12,0.5542422002139783
13,0.554929555213243
14,0.5556333305776627
15,0.5523094155109302
16,0.5500881603606006
17,0.5492255695706119
18,0.5484863496902075
19,0.5496723535631498
20,0.5481079164824317
21,0.5418519521331167
22,0.5396320215089202
23,0.5368997896652501
24,0.5359106652138922
25,0.5367784373453118
