config_id,policy,evaluation_scope,year,rows,dates,brier,signals,lift,forward_delta_bps,hit_rate,hits,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,min_year_corridor_coverage,signals_per_corridor_week,regret_bps
historical_baseline_reproduction,fixed_threshold_0.50,all5,2023,1210,242,0.21467285161412514,39,2.1903455842018644,159.9029491834276,0.8461538461538461,33,,0.7529936797692093,0.6149072381573274,250,37,0.148,0.14,0.156,8.066679587075297
historical_baseline_reproduction,fixed_threshold_0.50,all5,2024,1215,243,0.19607091554107628,184,1.66684599865501,62.066221789397815,0.5543478260869565,102,,0.7321048620637098,0.5737435093072529,255,178,0.6980392156862745,0.6470588235294118,0.7215686274509804,59.677129286839325
historical_baseline_reproduction,fixed_threshold_0.50,all5,2025,1210,242,0.16108344361679008,65,1.845241457215476,90.34016942369087,0.4153846153846154,27,,0.6955548689672657,0.49478175252620127,255,62,0.24313725490196078,0.17647058823529413,0.2549019607843137,49.45462959482905
historical_baseline_reproduction,fixed_threshold_0.50,KZT,2023,242,242,0.2110677978238446,7,1.942215088282504,96.23022896746959,0.7142857142857143,5,,0.7539472717926122,0.6078485442355643,50,7,0.14,0.14,0.14,36.265853656654976
historical_baseline_reproduction,fixed_threshold_0.50,KZT,2024,243,243,0.20091823161860897,38,1.4757085020242906,46.86501603298162,0.39473684210526316,15,,0.6942955920484011,0.5849427972291292,51,37,0.7254901960784313,0.7254901960784313,0.7450980392156863,88.74571424309573
historical_baseline_reproduction,fixed_threshold_0.50,KZT,2025,242,242,0.15581220930445144,13,1.551282051282051,45.37239904704253,0.3076923076923077,4,,0.6692439862542956,0.48528673252408205,51,12,0.23529411764705882,0.23529411764705882,0.2549019607843137,82.91610047639394
historical_baseline_reproduction,legacy,all5,2023,1210,242,0.21467285161412514,213,1.371620604905452,50.02936332210901,0.5305164319248826,113,,0.7529936797692093,0.6149072381573274,250,204,0.816,0.68,0.852,63.978372063355074
historical_baseline_reproduction,legacy,all5,2024,1215,243,0.19607091554107628,248,1.335164835164835,30.736378848236903,0.4435483870967742,110,,0.7321048620637098,0.5737435093072529,255,222,0.8705882352941177,0.803921568627451,0.9725490196078431,81.78946428976305
historical_baseline_reproduction,legacy,all5,2025,1210,242,0.16108344361679008,202,1.7397068434319858,66.02330181231912,0.3811881188118812,77,,0.6955548689672657,0.49478175252620127,255,194,0.7607843137254902,0.7058823529411765,0.792156862745098,95.77615817133827
historical_baseline_reproduction,legacy,KZT,2023,242,242,0.2110677978238446,35,1.7868378812199035,79.44698669953192,0.6571428571428571,23,,0.7539472717926122,0.6078485442355643,50,34,0.68,0.68,0.7,57.65634692310652
historical_baseline_reproduction,legacy,KZT,2024,243,243,0.20091823161860897,52,1.294082840236686,13.512383825601603,0.34615384615384615,18,,0.6942955920484011,0.5849427972291292,51,46,0.9019607843137255,0.9019607843137255,1.0196078431372548,108.24686950175041
historical_baseline_reproduction,legacy,KZT,2025,242,242,0.15581220930445144,46,1.7536231884057978,45.818758949890665,0.34782608695652173,16,,0.6692439862542956,0.48528673252408205,51,42,0.8235294117647058,0.8235294117647058,0.9019607843137255,114.40866804098587
historical_basis_train_120m,fixed_threshold_0.50,all5,2023,1210,242,0.2001964982274563,115,1.7492354740061167,109.92011909261643,0.6782608695652174,78,,0.7553425115496238,0.5829478812596172,250,111,0.444,0.28,0.46,29.829310246656267
historical_basis_train_120m,fixed_threshold_0.50,all5,2024,1215,243,0.191653236953845,174,1.6532955350815026,73.83156389787895,0.5517241379310345,96,,0.7389666209419296,0.566805236907313,255,174,0.6823529411764706,0.6666666666666666,0.6823529411764706,47.30730041494708
historical_basis_train_120m,fixed_threshold_0.50,all5,2025,1210,242,0.16267335692220672,62,2.46494907130018,128.6908728620756,0.5483870967741935,34,,0.689912301549577,0.495566765643095,255,56,0.2196078431372549,0.19607843137254902,0.24313725490196078,40.347131784310314
historical_basis_train_120m,fixed_threshold_0.50,KZT,2023,242,242,0.19904166666732276,14,2.3306581059390044,126.42621915492124,0.8571428571428571,12,,0.7455753837115371,0.5824965302086502,50,14,0.28,0.28,0.28,15.48294230351077
historical_basis_train_120m,fixed_threshold_0.50,KZT,2024,243,243,0.1925626805159965,34,1.8692307692307688,83.33196523186047,0.5,17,,0.6799481417458946,0.5712544196103473,51,34,0.6666666666666666,0.6666666666666666,0.6666666666666666,44.05675775124172
historical_basis_train_120m,fixed_threshold_0.50,KZT,2025,242,242,0.15646926295095248,12,2.100694444444444,86.95844129886531,0.4166666666666667,5,,0.6858354810996564,0.48143826396281686,51,11,0.21568627450980393,0.21568627450980393,0.23529411764705882,71.78213790505595
historical_basis_train_120m,legacy,all5,2023,1210,242,0.2001964982274563,282,1.2224078997341437,29.922888862399454,0.4716312056737589,133,,0.7553425115496238,0.5829478812596172,250,246,0.984,0.98,1.128,75.88985595270333
historical_basis_train_120m,legacy,all5,2024,1215,243,0.191653236953845,237,1.3295987493486192,24.49444811333371,0.4430379746835443,105,,0.7389666209419296,0.566805236907313,255,215,0.8431372549019608,0.8235294117647058,0.9294117647058824,82.47388660177646
historical_basis_train_120m,legacy,all5,2025,1210,242,0.16267335692220672,204,1.8036437246963561,72.22182708137318,0.39705882352941174,81,,0.689912301549577,0.495566765643095,255,193,0.7568627450980392,0.7058823529411765,0.8,86.2132368563174
historical_basis_train_120m,legacy,KZT,2023,242,242,0.19904166666732276,58,1.265788454087563,17.36652998462376,0.46551724137931033,27,,0.7455753837115371,0.5824965302086502,50,50,1.0,1.0,1.16,101.06711806347357
historical_basis_train_120m,legacy,KZT,2024,243,243,0.1925626805159965,47,1.3522094926350239,20.72603674913774,0.3617021276595745,17,,0.6799481417458946,0.5712544196103473,51,43,0.8431372549019608,0.8431372549019608,0.9215686274509803,102.91550967716942
historical_basis_train_120m,legacy,KZT,2025,242,242,0.15646926295095248,44,2.177083333333334,56.462709323278204,0.4318181818181818,19,,0.6858354810996564,0.48143826396281686,51,41,0.803921568627451,0.803921568627451,0.8627450980392157,106.80488656303332
kzt_hgb_base15,cadence85_cd2,KZT,2023,242,242,0.21709652161391302,77,0.9534510433386837,9.964731535271106,0.35064935064935066,27,0.21285053283126038,0.731622236909745,0.6207589986559073,50,50,1.0,1.0,1.54,109.64937753304449
kzt_hgb_base15,cadence85_cd2,KZT,2024,243,243,0.1822672726641737,54,1.3846153846153841,50.710917731361114,0.37037037037037035,20,0.18027269492006295,0.7066119273984444,0.543102029506999,51,42,0.8235294117647058,0.8235294117647058,1.0588235294117647,85.06851714981009
kzt_hgb_base15,cadence85_cd2,KZT,2025,242,242,0.1539826131663098,70,1.440476190476191,17.30114591399148,0.2857142857142857,20,0.15351463054310463,0.6845468213058419,0.4772156623207234,51,50,0.9803921568627451,0.9803921568627451,1.3725490196078431,140.21374716531906
kzt_hgb_base15,fixed_threshold_0.50,KZT,2023,242,242,0.21709652161391302,0,,,,0,0.21285053283126038,0.731622236909745,0.6207589986559073,50,0,0.0,0.0,0.0,
kzt_hgb_base15,fixed_threshold_0.50,KZT,2024,243,243,0.1822672726641737,24,1.7134615384615384,54.76017887064611,0.4583333333333333,11,0.18027269492006295,0.7066119273984444,0.543102029506999,51,24,0.47058823529411764,0.47058823529411764,0.47058823529411764,125.24397469543784
kzt_hgb_base15,fixed_threshold_0.50,KZT,2025,242,242,0.1539826131663098,7,1.4404761904761905,69.85991114963005,0.2857142857142857,2,0.15351463054310463,0.6845468213058419,0.4772156623207234,51,7,0.13725490196078433,0.13725490196078433,0.13725490196078433,75.44425793527259
kzt_hgb_base15,legacy,KZT,2023,242,242,0.21709652161391302,56,1.3595505617977528,32.883604928678835,0.5,28,0.21285053283126038,0.731622236909745,0.6207589986559073,50,49,0.98,0.98,1.12,92.41801357456856
kzt_hgb_base15,legacy,KZT,2024,243,243,0.1822672726641737,46,1.3003344481605346,24.581657695080395,0.34782608695652173,16,0.18027269492006295,0.7066119273984444,0.543102029506999,51,43,0.8431372549019608,0.8431372549019608,0.9019607843137255,106.55930537008601
kzt_hgb_base15,legacy,KZT,2025,242,242,0.1539826131663098,48,1.890625,46.46679943616812,0.375,18,0.15351463054310463,0.6845468213058419,0.4772156623207234,51,45,0.8823529411764706,0.8823529411764706,0.9411764705882353,115.47263774610387
kzt_hgb_full33,cadence85_cd2,KZT,2023,242,242,0.2190092054191532,60,1.2689138576779024,45.37824705816542,0.4666666666666667,28,0.2118309629264951,0.73261364470882,0.6242826783162185,50,47,0.94,0.94,1.2,90.06708770914118
