config_id,mode,scope,rows,dates,brier,signals,lift,forward_delta_bps,cutoff
fusion_2010_120m,bank_delayed,KZT,242,242,0.21726232938248072,42,1.424291064740503,56.26064459070637,2023-01-01
fusion_2010_120m,both_delayed,KZT,242,242,0.2132691881256045,45,1.2689138576779024,45.42106935290267,2023-01-01
fusion_2010_120m,normal,KZT,242,242,0.2034905676055108,43,1.644107656127515,68.39803056902046,2023-01-01
fusion_2010_120m,oxr_delayed,KZT,242,242,0.19956882406519127,44,1.6067415730337078,57.217086806163245,2023-01-01
fusion_2010_180m,bank_delayed,KZT,242,242,0.21882133459531936,37,1.322805952019435,51.26642870776217,2023-01-01
fusion_2010_180m,both_delayed,KZT,242,242,0.21766638568986038,40,1.2915730337078652,41.49382066425269,2023-01-01
fusion_2010_180m,normal,KZT,242,242,0.20702282037577105,40,1.7674157303370788,69.92020994569707,2023-01-01
fusion_2010_180m,oxr_delayed,KZT,242,242,0.20586504531537483,42,1.7479935794542536,62.43554328105895,2023-01-01
fusion_2018_120m,bank_delayed,KZT,242,242,0.20200067709755537,53,1.2312910748357004,33.379160865316805,2023-01-01
fusion_2018_120m,both_delayed,KZT,242,242,0.2021744977038169,53,1.3338986644053423,34.78461783623889,2023-01-01
fusion_2018_120m,normal,KZT,242,242,0.18808318434052287,51,1.439524124256444,43.7103649660962,2023-01-01
fusion_2018_120m,oxr_delayed,KZT,242,242,0.1883479659840658,51,1.3862084159506498,43.761622163043036,2023-01-01
fusion_premium_2010_120m,bank_delayed,KZT,242,242,0.21759622825082206,41,1.392710331597698,52.89858542243102,2023-01-01
fusion_premium_2010_120m,both_delayed,KZT,242,242,0.21560498697444638,43,1.3279331068722235,50.73186009184554,2023-01-01
fusion_premium_2010_120m,normal,KZT,242,242,0.20470245899806414,42,1.7479935794542536,52.34999798946437,2023-01-01
fusion_premium_2010_120m,oxr_delayed,KZT,242,242,0.2046081158744614,45,1.5710362047440698,37.9518151529373,2023-01-01
halyk_local_120m,bank_delayed,KZT,242,242,0.20483248283684077,41,1.5253494107974788,65.36171930070925,2023-01-01
halyk_local_120m,normal,KZT,242,242,0.18976914059804337,43,1.7073425659785733,68.77975523491388,2023-01-01
halyk_shrink_120m,bank_delayed,KZT,242,242,0.20483248283684077,41,1.5253494107974788,65.36171930070925,2023-01-01
halyk_shrink_120m,normal,KZT,242,242,0.18976914059804337,43,1.7073425659785733,68.77975523491388,2023-01-01
