epoch,training_bce,inner_brier
1,0.6112311418914317,0.2674374906114151
2,0.5719892059067927,0.2578938817526637
3,0.5653500207736808,0.2533410363616167
4,0.565098670377823,0.25593190399522614
5,0.5584550958968982,0.2422946583166005
6,0.5562282763312564,0.24505401228701273
7,0.5520082438435456,0.23296428282549125
8,0.549568634998634,0.23573421620596072
9,0.5470993045080769,0.2359319652454401
10,0.5453917882804137,0.22258055661448792
11,0.5440583604676326,0.22660437637450964
12,0.5409500771519333,0.21774974889274437
13,0.5414539613685895,0.23396867891627385
14,0.5369008626342069,0.22041104355507327
15,0.534079305581652,0.21591495320247495
16,0.5319130956454103,0.213815338186175
17,0.529503451671951,0.21856006823670712
18,0.5246614200073558,0.22499962379276503
19,0.5246081675289567,0.2267674728510776
20,0.5234121108373936,0.2148718676952388
21,0.5194159738448589,0.21873266019977353
22,0.5169414051945022,0.2185513606872128
23,0.5202672372191111,0.23881139670108464
24,0.5106186348177427,0.2710942870187468
25,0.507636273076631,0.22372182242941707
26,0.5015984740259256,0.23922517468851134
27,0.500002473642574,0.2364381393296057
28,0.49756773067128446,0.2537392320060917
29,0.4943836062611071,0.22899775629941893
30,0.49230453430535254,0.2589773299078319
31,0.4865697891304695,0.23641309233307597
