period,corridor,indicator,scenario,horizon_days,raw_candidate_count,signal_count,hit_rate,random_day_hit_rate,lift,benefit_bps_symmetric,benefit_bps_ci_low,benefit_bps_ci_high,benefit_bps_forward,signals_per_week,raw_cluster_share_gap_le_3d,post_cooldown_cluster_share_gap_le_3d,post_cooldown_gap_cv,oot_periods,oot_lift_ge_1_count,oot_lift_ge_1_3_count,frequency_gate,benefit_ci_positive_gate,baseline_verdict
ALL,RUB/AMD,seasonal_positive_month,WINDOW_CLOSING,20,39,39,0.5641025641025641,0.5355269432522651,1.0533598191656963,-38.1005796622528,-117.82689917156414,49.631401111584026,27.080752013586764,0.12133333333333332,0.0,0.0,0.6151001460861514,7,3,2,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KGS,momentum_down_3,NOW_FAVORABLE,1,331,181,0.5359116022099447,0.5301249081557678,1.0109157180980384,23.570422045743378,10.265257658090288,38.79826148778608,6.0329806818622265,0.4231796927187709,0.503030303030303,0.0,0.8868324463891754,7,5,0,False,True,RESEARCH_ONLY
ALL,RUB/KGS,momentum_down_3,NOW_FAVORABLE,3,331,181,0.3259668508287293,0.32169117647058826,1.0132912391475926,65.36206493389675,40.369509767281485,99.71929496666253,7.274172153652119,0.4234625668449198,0.503030303030303,0.0,0.8868324463891754,7,4,1,False,True,RESEARCH_ONLY
ALL,RUB/KGS,momentum_down_3,NOW_FAVORABLE,5,331,181,0.2541436464088398,0.25202354672553345,1.0084123079404768,72.52842844008879,43.43470089034562,108.77927063364545,3.087950586535312,0.4237458193979933,0.503030303030303,0.0,0.8868324463891754,7,3,1,False,True,RESEARCH_ONLY
ALL,RUB/KGS,momentum_down_3,NOW_FAVORABLE,10,331,181,0.1712707182320442,0.17355982274741508,0.9868108616433525,79.37047350836633,47.060215179646114,115.8505310502171,1.7505760516570106,0.4251677852348993,0.503030303030303,0.0,0.8868324463891754,7,3,2,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KGS,momentum_down_3,NOW_FAVORABLE,20,328,179,0.13966480446927373,0.12644105615470436,1.1045842918172855,87.17001980806532,46.697108639261494,135.3248273703498,6.49408903728297,0.4233108108108108,0.5045871559633027,0.0,0.8870249914412871,7,5,3,False,True,RESEARCH_ONLY
ALL,RUB/KGS,low_level_90_p10,NOW_FAVORABLE,1,550,184,0.5597826086956522,0.5283661119515886,1.059459711804799,21.808031096378954,12.511474648893214,32.957425363800304,5.05809267514706,0.44291609353507566,0.8834244080145719,0.0,2.267955368546526,7,5,0,False,True,RESEARCH_ONLY
ALL,RUB/KGS,low_level_90_p10,NOW_FAVORABLE,3,550,184,0.3423913043478261,0.3202119606358819,1.0692645698427383,40.111258589463034,26.084501243057485,58.44629219927099,6.614770648467425,0.4432209222298692,0.8834244080145719,0.0,2.267955368546526,7,4,2,False,True,RESEARCH_ONLY
ALL,RUB/KGS,low_level_90_p10,NOW_FAVORABLE,5,550,184,0.2826086956521739,0.25,1.1304347826086956,52.04048169647988,37.22383778199578,71.79190287527094,7.501759251950324,0.4435261707988981,0.8834244080145719,0.0,2.267955368546526,7,4,3,False,True,RESEARCH_ONLY
ALL,RUB/KGS,low_level_90_p10,NOW_FAVORABLE,10,550,184,0.16847826086956522,0.17077798861480076,0.9865338164251207,76.29180520408751,56.60416965698469,101.2304219618522,5.093948840414275,0.44429113487409444,0.8834244080145719,0.0,2.267955368546526,7,4,2,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KGS,low_level_90_p10,NOW_FAVORABLE,20,550,184,0.125,0.12338156892612338,1.0131172839506173,119.50492735212036,90.25014862233863,155.78179194040143,2.559284423246421,0.44582900657667013,0.8834244080145719,0.0,2.267955368546526,7,4,3,False,True,RESEARCH_ONLY
ALL,RUB/KGS,reversal_up_from_30d_low,WINDOW_CLOSING,1,220,144,0.3819444444444444,0.4371523915461624,0.8737100650268588,-24.113902847795703,-32.579510002218385,-16.711114011194393,-4.514615782598723,0.339508251936679,0.4748858447488584,0.0,1.3512245424674452,7,3,0,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KGS,reversal_up_from_30d_low,WINDOW_CLOSING,3,220,144,0.4861111111111111,0.49833024118738406,0.975479854389013,1.2242243643061652,-8.828770019691357,12.516929897482957,2.8106528310923933,0.339737108190091,0.4748858447488584,0.0,1.3512245424674452,7,4,1,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KGS,reversal_up_from_30d_low,WINDOW_CLOSING,5,220,144,0.4930555555555556,0.500556999628667,0.9850138064622486,19.8672437880515,7.100646793497089,34.32096934127256,1.3713845461903522,0.3399662731871838,0.4748858447488584,0.0,1.3512245424674452,7,4,0,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KGS,reversal_up_from_30d_low,WINDOW_CLOSING,10,220,144,0.4722222222222222,0.5003720238095238,0.9437422552664188,55.61765372866057,37.94154596531174,77.11054310586952,9.321660114975915,0.34054054054054056,0.4748858447488584,0.0,1.3512245424674452,7,3,0,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KGS,reversal_up_from_30d_low,WINDOW_CLOSING,20,220,144,0.4861111111111111,0.49869354236655467,0.9747692115768464,110.82834553891857,82.52980855578387,149.11600199716153,15.822882172938014,0.3416949152542373,0.4748858447488584,0.0,1.3512245424674452,7,3,0,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KGS,seasonal_positive_month,WINDOW_CLOSING,1,30,30,0.4666666666666667,0.4425511197663096,1.0544921158782545,-29.54671945505302,-65.76440468824728,1.1950781523050114,-32.069448641252734,0.09255178492728075,0.0,0.0,0.7016959067687256,7,3,2,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KGS,seasonal_positive_month,WINDOW_CLOSING,3,29,29,0.4827586206896552,0.503411306042885,0.9589745301598959,-56.291100867264795,-121.65184599545684,0.3378563169226596,-32.229963864966756,0.08954565505072784,0.0,0.0,0.6931976208499446,7,3,1,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KGS,seasonal_positive_month,WINDOW_CLOSING,5,29,29,0.5517241379310345,0.5073170731707317,1.0875331564986737,-58.42420034345241,-132.4534178292817,0.046574520565986675,-27.051652181397664,0.08962472406181016,0.0,0.0,0.6931976208499446,7,5,2,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KGS,seasonal_positive_month,WINDOW_CLOSING,10,29,29,0.6206896551724138,0.4997555012224939,1.2419866387745462,-44.884494848866176,-91.91618916464168,1.8160963051788144,40.547327675953674,0.08982300884955752,0.0,0.0,0.6931976208499446,7,5,3,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KGS,seasonal_positive_month,WINDOW_CLOSING,20,29,29,0.6896551724137931,0.5088408644400786,1.3553454932765279,-61.53141255167505,-142.14837813193262,16.195158579621356,22.11434877081746,0.09022222222222222,0.0,0.0,0.6931976208499446,7,6,3,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KZT,momentum_down_3,NOW_FAVORABLE,1,280,165,0.6242424242424243,0.5482214888155482,1.1386682882335057,28.81743954970967,20.144728235192378,37.99560861912718,9.128927207304223,0.38577154308617234,0.4444444444444444,0.0,0.73411702189109,7,6,1,False,True,RESEARCH_ONLY
ALL,RUB/KZT,momentum_down_3,NOW_FAVORABLE,3,280,165,0.3939393939393939,0.32146788990825687,1.2254393247543933,69.30092516845599,57.23878384021171,82.37146324963518,5.539094385855186,0.38602941176470584,0.4444444444444444,0.0,0.73411702189109,7,5,3,False,True,RESEARCH_ONLY
ALL,RUB/KZT,momentum_down_3,NOW_FAVORABLE,5,280,165,0.2909090909090909,0.24384869629085568,1.1929901423877327,77.51327188934319,63.211675027482904,94.03700116816944,5.517748104091448,0.38628762541806017,0.4444444444444444,0.0,0.73411702189109,7,5,3,False,True,RESEARCH_ONLY
ALL,RUB/KZT,momentum_down_3,NOW_FAVORABLE,10,277,164,0.21951219512195122,0.16359616801768606,1.34179301252472,83.11198932899558,62.89885852273302,108.72704507622946,7.099493028870955,0.38523489932885907,0.4420289855072464,0.0,0.7320176331129297,7,4,3,False,True,RESEARCH_ONLY
ALL,RUB/KZT,momentum_down_3,NOW_FAVORABLE,20,273,162,0.16049382716049382,0.11350148367952523,1.4140240458323245,90.34204224708587,59.52346884901672,125.02904289986623,14.797978385944951,0.38310810810810814,0.4411764705882353,0.0,0.7350919160784722,7,4,3,False,True,RESEARCH_ONLY
ALL,RUB/KZT,low_level_90_p10,NOW_FAVORABLE,1,573,195,0.5846153846153846,0.5484722746133535,1.0658977885937997,19.340510673549634,12.852723884327853,26.54751753857933,7.193641453107929,0.46939477303988997,0.8968531468531469,0.0,2.574715121516686,7,6,0,False,True,RESEARCH_ONLY
ALL,RUB/KZT,low_level_90_p10,NOW_FAVORABLE,3,573,195,0.3333333333333333,0.32200830502076255,1.0351699882766705,31.78719198116188,21.525729879042235,44.679883771106375,2.326464287735492,0.46971782518926364,0.8968531468531469,0.0,2.574715121516686,7,3,2,False,True,RESEARCH_ONLY
ALL,RUB/KZT,low_level_90_p10,NOW_FAVORABLE,5,573,195,0.22564102564102564,0.2444276539478655,0.9231403321047834,41.67035147346563,30.540154372772946,55.534803362439746,1.3161401532326957,0.4700413223140496,0.8968531468531469,0.0,2.574715121516686,7,3,2,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KZT,low_level_90_p10,NOW_FAVORABLE,10,573,195,0.14871794871794872,0.1635124905374716,0.9095204178537513,64.64312023171324,50.274602969178076,81.52757787847999,-4.238652409039881,0.47085201793721976,0.8968531468531469,0.0,2.574715121516686,7,5,2,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KZT,low_level_90_p10,NOW_FAVORABLE,20,573,195,0.12307692307692308,0.1139384732244588,1.0802051282051282,98.55021190334793,76.68231171653272,124.97702013882537,-20.268796821892412,0.47248182762201457,0.8968531468531469,0.0,2.574715121516686,7,5,4,False,True,RESEARCH_ONLY
