country,sample_n,monthly_or_more_pct,four_to_six_per_year_pct,two_to_three_per_year_pct,once_per_year_pct,pdf_page,figure
Kyrgyzstan,819,40,32,21,6,20,5.1.2.3
Tajikistan,1053,41,34,17,7,20,5.1.2.3
