config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,eligible_count,baseline_hits,baseline_hit_rate,signal_count,signal_hits,hit_rate,candidate_signal_count,candidate_signal_hits,candidate_hit_rate,candidate_expected_hits_cell_standardized,candidate_cell_standardized_lift,candidate_false_positives,candidate_false_negatives,candidate_weighted_error_1,candidate_weighted_error_2,candidate_weighted_error_3,candidate_weighted_error_5,lift,expected_signal_hits_cell_standardized,signal_weighted_baseline_hit_rate,cell_standardized_lift,mean_signals_per_week,mean_portfolio_signals_per_week,mean_candidate_signals_per_corridor_week,minimum_fold_corridor_candidate_signals_per_week,maximum_fold_corridor_candidate_signals_per_week,mean_candidate_silent_week_share,minimum_candidate_weeks_with_1_to_2_signals_share,mean_candidate_weeks_with_1_to_2_signals_share,maximum_candidate_calendar_gap_days,candidate_top_fold_signal_share,mean_portfolio_silent_week_share,minimum_portfolio_weeks_with_1_to_2_signals_share,mean_portfolio_weeks_with_1_to_2_signals_share,maximum_portfolio_calendar_gap_days,portfolio_top_fold_signal_share,min_fold_lift,folds_lift_ge_1,active_fold_count,fold_count,candidate_min_fold_lift,candidate_folds_lift_ge_1,candidate_active_fold_count,min_corridor_lift,corridors_lift_ge_1,active_corridor_count,corridor_count,candidate_min_corridor_lift,candidate_corridors_lift_ge_1,candidate_active_corridor_count,positive_fold_corridor_cells,active_fold_corridor_cells,fold_corridor_cell_count,signal_symmetric_bps,baseline_symmetric_bps,symmetric_bps_delta,cell_standardized_symmetric_bps_delta,signal_forward_bps,baseline_forward_bps,forward_bps_delta,cell_standardized_forward_bps_delta,signal_regret_bps,baseline_regret_bps,regret_bps_improvement,cell_standardized_regret_bps_improvement,candidate_signal_symmetric_bps,candidate_cell_standardized_symmetric_bps_delta,candidate_signal_forward_bps,candidate_cell_standardized_forward_bps_delta,candidate_signal_regret_bps,candidate_cell_standardized_regret_bps_improvement,model_brier,prior_year_prevalence_brier,brier_skill_vs_prior_year,exploratory_post_selection,prediction_rows,brier,log_loss,average_precision,roc_auc,macro_fold_corridor_brier,worst_fold_corridor_brier,macro_fold_corridor_log_loss,worst_fold_corridor_log_loss,macro_fold_corridor_average_precision,worst_fold_corridor_average_precision,macro_fold_corridor_roc_auc,worst_fold_corridor_roc_auc
basis_train_120m__reproduced,hist_gradient_boosting,basis_train_120m__reproduced,5,3635,1140,0.31361760660247595,145,59,0.4068965517241379,723,319,0.4412171507607192,232.68193721729074,1.3709701913909238,404,821,0.33700137551581844,0.4481430536451169,0.5592847317744154,0.7815680880330124,1.297428917120387,45.45049824847804,0.3134517120584692,1.2981155823077402,0.9695952310377761,0.9695952310377761,0.9669402891677372,0.7621776504297995,1.1666666666666665,0.1171201814058957,0.7346938775510204,0.8828798185941042,25.0,0.3900414937759336,0.11607142857142856,0.8571428571428571,0.8839285714285715,19.0,0.3724137931034483,1.1061208267090619,3,3,3,1.2224078997341434,3,3,1.1965085049239033,5,5,5,1.3222921453937748,5,5,12,15,15,22.62601079275431,1.202433901388913,21.4235768913654,21.230013691981217,38.47895156180659,6.18681459909674,32.29213696270985,31.079698608350988,91.63515865697006,116.72717357913415,25.092014922164083,26.177168712820006,27.818181252091577,26.406968768989188,49.16428449614109,40.078411599802024,80.96092783122008,33.56206529000957,0.18485040099862832,0.2195249231631005,0.15795255347252768,True,3635,0.18485040099862832,0.5484652229971574,0.5371044859994649,0.7374039306683542,0.1848410307011693,0.2052611987579275,0.5484399612700084,0.5936948406775944,0.5323415605375015,0.3408605813478221,0.7279796699442077,0.6648255813953489
basis_train_120m__treasury_lag7,hist_gradient_boosting,basis_train_120m__treasury_lag7,5,3635,1140,0.31361760660247595,149,64,0.42953020134228187,767,326,0.42503259452411996,242.68712376288133,1.3432933521372974,441,814,0.3452544704264099,0.46657496561210454,0.5878954607977992,0.8305364511691884,1.3695984928764864,47.587712138217185,0.31938061837729653,1.3448849949775643,0.9964341468234365,0.9964341468234365,1.0257980217150258,0.9199999999999999,1.1867816091954022,0.0667517006802721,0.8571428571428571,0.9332482993197277,30.0,0.37027379400260757,0.09537981859410431,0.8163265306122449,0.9046201814058956,30.0,0.3825503355704698,1.218384401114206,3,3,3,1.2043886438185725,3,3,1.0128662222911178,5,5,5,1.2557162045806785,5,5,13,15,15,23.33794667229166,1.202433901388913,22.13551277090275,22.05144911874208,39.84667735396197,6.18681459909674,33.65986275486523,31.701979780489758,84.82337236081796,116.72717357913415,31.90380121831619,29.57246462872598,24.415121414006766,23.116741282115022,38.679773411339774,31.51514393941682,92.89970584896722,23.381188092927076,0.1832945778904442,0.2195249231631005,0.16503978113564,True,3635,0.1832945778904442,0.5436862669039711,0.5388786670758116,0.7435687163801286,0.183285048890438,0.20260648082909724,0.543663418729148,0.5867616890826517,0.540179990228139,0.3332492264325031,0.7357797999436121,0.6724252491694352
long_with_historical_cny__reproduced,hist_gradient_boosting,long_with_historical_cny__reproduced,5,3635,1140,0.31361760660247595,154,64,0.4155844155844156,737,315,0.42740841248303935,234.73621739278306,1.3419318224460945,422,825,0.3430536451169188,0.4591471801925722,0.5752407152682256,0.8074277854195323,1.3251310093415356,48.69197020712173,0.31618162472156963,1.314385097332523,1.0297482681772772,1.0297482681772772,0.9856182415000715,0.7822349570200573,1.1666666666666665,0.0953514739229025,0.7755102040816326,0.9046485260770977,22.0,0.37177747625508817,0.07497165532879818,0.8775510204081632,0.9250283446712019,19.0,0.36363636363636365,1.0743099787685775,3,3,3,1.1347739439646751,3,3,0.7010423165415595,4,5,5,1.2424811528015363,5,5,12,15,15,24.349459757371864,1.202433901388913,23.147025855982953,22.961861163689196,41.561287259707726,6.18681459909674,35.374472660610984,33.45580108293466,87.45879057044677,116.72717357913415,29.26838300868738,29.749736466579947,29.80649013249351,28.467319234865084,46.15091556593919,38.19264610477108,85.47854268759495,29.975895498282895,0.18747982088672738,0.2195249231631005,0.1459747796042482,True,3635,0.18747982088672735,0.5539411777337259,0.5173464929461379,0.7298948774742468,0.187473671216327,0.2130718229488682,0.5539226269543069,0.6099635498296981,0.5297708343093321,0.3463168267907182,0.7270180848148386,0.6650332225913621
long_with_historical_cny__treasury_lag7,hist_gradient_boosting,long_with_historical_cny__treasury_lag7,5,3635,1140,0.31361760660247595,147,55,0.3741496598639456,745,312,0.41879194630872485,235.20826106179638,1.3264840214010514,433,828,0.3469050894085282,0.46602475928473175,0.5851444291609353,0.8233837689133425,1.193012292636353,45.98947386321123,0.3128535636953145,1.1959258364987873,0.9829857611786276,0.9829857611786276,0.9963076990635533,0.8825214899713467,1.1063218390804597,0.09129818594104308,0.7959183673469388,0.9087018140589568,30.0,0.3597315436241611,0.10912698412698413,0.8163265306122449,0.8908730158730159,19.0,0.36054421768707484,1.0354523227383863,3,3,3,1.1216237813648715,3,3,0.9614227605059051,4,5,5,1.2336910136108248,5,5,10,15,15,17.079188111826245,1.202433901388913,15.876754210437332,15.79756576019238,30.465860967180944,6.18681459909674,24.279046368084202,23.724846093027637,98.57790051053516,116.72717357913415,18.149273068598987,19.236363059879835,27.628452799658028,26.35421271059549,42.23351463352334,35.332857755015596,90.45974927422746,25.739318711576374,0.18719732535266156,0.2195249231631005,0.14726162908810347,True,3635,0.18719732535266154,0.5515501449237366,0.5154615981197433,0.7327799458566255,0.1871923618508848,0.214971472578396,0.551536464310839,0.6136229439289345,0.5392748548462569,0.34905295063857267,0.7336095048590373,0.6701411960132889
