config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,eligible_count,baseline_hits,baseline_hit_rate,signal_count,signal_hits,hit_rate,candidate_signal_count,candidate_signal_hits,candidate_hit_rate,candidate_expected_hits_cell_standardized,candidate_cell_standardized_lift,candidate_false_positives,candidate_false_negatives,candidate_weighted_error_1,candidate_weighted_error_2,candidate_weighted_error_3,candidate_weighted_error_5,lift,expected_signal_hits_cell_standardized,signal_weighted_baseline_hit_rate,cell_standardized_lift,mean_signals_per_week,mean_portfolio_signals_per_week,mean_candidate_signals_per_corridor_week,minimum_fold_corridor_candidate_signals_per_week,maximum_fold_corridor_candidate_signals_per_week,mean_candidate_silent_week_share,minimum_candidate_weeks_with_1_to_2_signals_share,mean_candidate_weeks_with_1_to_2_signals_share,maximum_candidate_calendar_gap_days,candidate_top_fold_signal_share,mean_portfolio_silent_week_share,minimum_portfolio_weeks_with_1_to_2_signals_share,mean_portfolio_weeks_with_1_to_2_signals_share,maximum_portfolio_calendar_gap_days,portfolio_top_fold_signal_share,min_fold_lift,folds_lift_ge_1,active_fold_count,fold_count,candidate_min_fold_lift,candidate_folds_lift_ge_1,candidate_active_fold_count,min_corridor_lift,corridors_lift_ge_1,active_corridor_count,corridor_count,candidate_min_corridor_lift,candidate_corridors_lift_ge_1,candidate_active_corridor_count,positive_fold_corridor_cells,active_fold_corridor_cells,fold_corridor_cell_count,signal_symmetric_bps,baseline_symmetric_bps,symmetric_bps_delta,cell_standardized_symmetric_bps_delta,signal_forward_bps,baseline_forward_bps,forward_bps_delta,cell_standardized_forward_bps_delta,signal_regret_bps,baseline_regret_bps,regret_bps_improvement,cell_standardized_regret_bps_improvement,candidate_signal_symmetric_bps,candidate_cell_standardized_symmetric_bps_delta,candidate_signal_forward_bps,candidate_cell_standardized_forward_bps_delta,candidate_signal_regret_bps,candidate_cell_standardized_regret_bps_improvement,model_brier,prior_year_prevalence_brier,brier_skill_vs_prior_year,exploratory_post_selection,prediction_rows,brier,log_loss,average_precision,roc_auc,macro_fold_corridor_brier,worst_fold_corridor_brier,macro_fold_corridor_log_loss,worst_fold_corridor_log_loss,macro_fold_corridor_average_precision,worst_fold_corridor_average_precision,macro_fold_corridor_roc_auc,worst_fold_corridor_roc_auc,raw_brier
hgb_plus_cnyrub_basis__cboe_stale,hist_gradient_boosting,hgb_plus_cnyrub_basis__cboe_stale,5,780,267,0.3423076923076923,36,19,0.5277777777777778,177,81,0.4576271186440678,60.519230769230774,1.3384175405147758,96,186,0.3615384615384615,0.4846153846153846,0.6076923076923076,0.8538461538461538,1.5418227215980025,12.435897435897436,0.3454415954415955,1.5278350515463917,1.12,1.12,1.1013333333333333,1.0266666666666666,1.12,0.0258064516129032,0.935483870967742,0.9741935483870968,13.0,1.0,0.032258064516129,0.967741935483871,0.967741935483871,10.0,1.0,1.5278350515463917,1,1,1,1.3384175405147758,1,1,1.0399999999999998,5,5,5,0.9952153110047848,4,5,5,5,5,22.639196569459145,2.381282585779129,20.257913983680016,20.204957283203942,52.35337153236381,23.3650307120098,28.988340820354008,29.76946627609181,81.1841302112629,109.22951758390056,28.04538737263765,28.41271640553255,23.53377676631837,21.16156583584527,47.80955962125264,24.67841951228876,88.75609732815987,20.26817175339754,0.2039864399216133,0.2418607563235662,0.1565955427315535,True,780,0.2039864399216133,0.5954680351429824,0.5604561988404964,0.7075475830650284,0.2039864399216133,0.2326351398242538,0.5954680351429823,0.6752536143048695,0.5676617623343493,0.5269747644324965,0.7100543662528924,0.6435406698564593,0.1986532659182542
hgb_plus_cnyrub_basis__fred_stale,hist_gradient_boosting,hgb_plus_cnyrub_basis__fred_stale,5,780,267,0.3423076923076923,34,17,0.5,169,82,0.4852071005917159,57.82692307692308,1.4180246092450948,87,185,0.3487179487179487,0.4602564102564102,0.5717948717948718,0.7948717948717948,1.4606741573033708,11.442307692307692,0.3365384615384615,1.4857142857142858,1.0577777777777777,1.0577777777777777,1.0515555555555556,1.0266666666666666,1.0577777777777777,0.0903225806451612,0.9032258064516128,0.9096774193548386,13.0,1.0,0.0967741935483871,0.9032258064516128,0.9032258064516128,13.0,1.0,1.4857142857142855,1,1,1,1.4180246092450948,1,1,1.2000000000000002,5,5,5,0.9952153110047848,4,5,5,5,5,25.936348731070392,2.381282585779129,23.555066145291264,23.478763608795852,59.11058427923477,23.3650307120098,35.74555356722496,36.16812137503727,80.04691909924,109.22951758390056,29.182598484660545,29.039426176556844,29.512930442126063,27.134814883938983,58.92991963022196,35.64654303406843,80.79237513762166,28.36548764368574,0.2049255991657322,0.2418607563235662,0.1527124851475344,True,780,0.2049255991657322,0.5954740248747054,0.5577497246430518,0.7290302326769901,0.2049255991657321,0.2270961432956282,0.5954740248747054,0.6538578979247999,0.5685567022038442,0.5333314784385874,0.7302384230800343,0.69377990430622,0.1952082461519115
hgb_plus_cnyrub_basis__gpr_stale,hist_gradient_boosting,hgb_plus_cnyrub_basis__gpr_stale,5,780,267,0.3423076923076923,32,17,0.53125,155,76,0.4903225806451612,53.05769230769231,1.43240304458137,79,191,0.3461538461538461,0.4474358974358974,0.5487179487179488,0.7512820512820513,1.5519662921348314,11.26923076923077,0.3521634615384615,1.508532423208191,0.9955555555555556,0.9955555555555556,0.9644444444444444,0.9644444444444444,0.9644444444444444,0.1806451612903225,0.8064516129032258,0.8193548387096774,27.0,1.0,0.1290322580645161,0.8709677419354839,0.8709677419354839,20.0,1.0,1.508532423208191,1,1,1,1.43240304458137,1,1,0.75,4,5,5,1.3242784380305603,5,5,4,5,5,27.559867349458106,2.381282585779129,25.178584763678977,25.009030460056135,71.17659381360217,23.3650307120098,47.81156310159237,43.67879473067428,75.96878725217097,109.22951758390056,33.260730331729576,37.26542713591616,23.487309741770535,21.10602715599141,64.78783933799002,41.422808625980224,72.34844851985316,36.88106906404741,0.2407115464938475,0.2418607563235662,0.0047515349211147,True,780,0.2407115464938476,0.7049584804895096,0.4445991359058658,0.6277058647450919,0.2407115464938475,0.2631223144016134,0.7049584804895097,0.7600237288451326,0.4521768198134312,0.4179683284879446,0.6275220869404954,0.6149223372781065,0.2468467506796201
hgb_plus_cnyrub_basis__treasury_stale,hist_gradient_boosting,hgb_plus_cnyrub_basis__treasury_stale,5,780,267,0.3423076923076923,34,17,0.5,169,82,0.48520710059171596,57.82692307692308,1.4180246092450948,87,185,0.3487179487179487,0.46025641025641023,0.5717948717948718,0.7948717948717948,1.4606741573033708,11.442307692307692,0.3365384615384615,1.4857142857142858,1.0577777777777777,1.0577777777777777,1.0515555555555556,1.0266666666666666,1.0577777777777777,0.09032258064516127,0.9032258064516129,0.9096774193548386,13.0,1.0,0.0967741935483871,0.9032258064516129,0.9032258064516129,13.0,1.0,1.4857142857142855,1,1,1,1.4180246092450948,1,1,1.2000000000000002,5,5,5,0.9952153110047848,4,5,5,5,5,25.936348731070392,2.381282585779129,23.555066145291264,23.478763608795852,59.110584279234764,23.3650307120098,35.74555356722496,36.16812137503727,80.04691909924,109.22951758390055,29.182598484660545,29.039426176556844,29.512930442126066,27.134814883938983,58.92991963022196,35.64654303406843,80.79237513762166,28.36548764368574,0.2049255991657322,0.24186075632356624,0.15271248514753444,True,780,0.2049255991657322,0.5954740248747054,0.5577497246430518,0.7290302326769901,0.20492559916573216,0.22709614329562827,0.5954740248747054,0.6538578979247999,0.5685567022038442,0.5333314784385874,0.7302384230800343,0.69377990430622,0.19520824615191157
