config_id,cutoff,mode,policy,rows,dates,signals,weeks,weeks_1_2,signals_per_week,silent_weeks,brier,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps
attribution_hgb_60m_c12_duplicate_normal,2025-01-01,normal,legacy,242,242,43,51,0.7450980392156863,0.8431372549019608,13,0.14080001813538803,0.19834710743801653,0.4186046511627907,2.11046511627907,65.19385061677632,36.94755172905621
attribution_hgb_60m_c12_duplicate_normal,2025-01-01,normal,cadence90_cd3,242,242,43,51,0.7450980392156863,0.8431372549019608,13,0.14080001813538803,0.19834710743801653,0.4186046511627907,2.11046511627907,65.19385061677632,36.94755172905621
attribution_hgb_60m_c12_duplicate_normal,2025-01-01,normal,cadence90_cd2,242,242,55,51,0.8431372549019608,1.0784313725490196,8,0.14080001813538803,0.19834710743801653,0.43636363636363634,2.1999999999999997,57.348907833003295,29.102608945283187
attribution_hgb_60m_c12_duplicate_normal,2025-01-01,normal,cadence85_cd2,242,242,55,51,0.8431372549019608,1.0784313725490196,8,0.14080001813538803,0.19834710743801653,0.43636363636363634,2.1999999999999997,57.348907833003295,29.102608945283187
attribution_hgb_60m_c12_duplicate_normal,2025-01-01,bank_delayed,legacy,242,242,45,51,0.803921568627451,0.8823529411764706,10,0.1473990345871739,0.19834710743801653,0.4,2.0166666666666666,57.05354126789925,28.807242380179144
attribution_hgb_60m_c12_duplicate_normal,2025-01-01,bank_delayed,cadence90_cd3,242,242,45,51,0.803921568627451,0.8823529411764706,10,0.1473990345871739,0.19834710743801653,0.4,2.0166666666666666,57.05354126789925,28.807242380179144
attribution_hgb_60m_c12_duplicate_normal,2025-01-01,bank_delayed,cadence90_cd2,242,242,52,51,0.803921568627451,1.0196078431372548,10,0.1473990345871739,0.19834710743801653,0.40384615384615385,2.0360576923076925,52.09127848515291,23.844979597432808
attribution_hgb_60m_c12_duplicate_normal,2025-01-01,bank_delayed,cadence85_cd2,242,242,52,51,0.803921568627451,1.0196078431372548,10,0.1473990345871739,0.19834710743801653,0.40384615384615385,2.0360576923076925,52.09127848515291,23.844979597432808
attribution_hgb_60m_c12_duplicate_normal,2026-01-01,normal,legacy,156,156,34,33,0.9090909090909091,1.0303030303030303,3,0.2156417558812024,0.36538461538461536,0.4411764705882353,1.2074303405572755,46.99001931886288,84.15459561058199
attribution_hgb_60m_c12_duplicate_normal,2026-01-01,normal,cadence90_cd3,156,156,34,33,0.9090909090909091,1.0303030303030303,3,0.2156417558812024,0.36538461538461536,0.4411764705882353,1.2074303405572755,46.99001931886288,84.15459561058199
attribution_hgb_60m_c12_duplicate_normal,2026-01-01,normal,cadence90_cd2,156,156,43,33,0.9696969696969697,1.303030303030303,1,0.2156417558812024,0.36538461538461536,0.4186046511627907,1.145654834761322,26.48594358801021,63.65051987972932
attribution_hgb_60m_c12_duplicate_normal,2026-01-01,normal,cadence85_cd2,156,156,43,33,0.9696969696969697,1.303030303030303,1,0.2156417558812024,0.36538461538461536,0.4186046511627907,1.145654834761322,26.48594358801021,63.65051987972932
attribution_hgb_60m_c12_duplicate_normal,2026-01-01,bank_delayed,legacy,156,156,34,33,0.8787878787878788,1.0303030303030303,4,0.2293800748072236,0.36538461538461536,0.4117647058823529,1.1269349845201238,34.73612192966512,71.90069822138423
attribution_hgb_60m_c12_duplicate_normal,2026-01-01,bank_delayed,cadence90_cd3,156,156,34,33,0.8787878787878788,1.0303030303030303,4,0.2293800748072236,0.36538461538461536,0.4117647058823529,1.1269349845201238,34.73612192966512,71.90069822138423
attribution_hgb_60m_c12_duplicate_normal,2026-01-01,bank_delayed,cadence90_cd2,156,156,43,33,0.9090909090909091,1.303030303030303,3,0.2293800748072236,0.36538461538461536,0.37209302325581395,1.018359853121175,25.61239884337496,62.77697513509408
attribution_hgb_60m_c12_duplicate_normal,2026-01-01,bank_delayed,cadence85_cd2,156,156,43,33,0.9090909090909091,1.303030303030303,3,0.2293800748072236,0.36538461538461536,0.37209302325581395,1.018359853121175,25.61239884337496,62.77697513509408
