config_id,policy,year,train_horizon,evaluation_horizon,evaluation_scope,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
tabm_kzt_120m,cadence80,2024,3,3,KZT,245,245,38,24,0.3346938775510204,0.631578947368421,1.8870346598202827,84.0171393705959,83.46638101946606,42.72532788328316,0.1908582784253897,0.21187519756781456,0.7482418075714501,0.5600465709787099,51,32,0.6274509803921569,0.6274509803921569,0.7450980392156863,19,2,8,0.6274509803921569
tabm_kzt_120m,cadence80,2025,3,3,KZT,244,244,46,23,0.26229508196721313,0.5,1.9062499999999996,71.72212349330563,53.07073179255442,48.82826108174027,0.15925360727425067,0.16022328712075745,0.762065972222222,0.4890748457347685,51,38,0.7450980392156863,0.7450980392156863,0.9019607843137255,13,2,3,0.7450980392156863
tabm_kzt_120m,cadence80,2026,3,3,KZT,158,158,40,23,0.4240506329113924,0.575,1.3559701492537315,56.34101639766196,81.39125929438015,46.260867132497495,0.18875601269336137,0.19279086714952462,0.7949811382647204,0.5554599789813478,33,30,0.9090909090909091,0.9090909090909091,1.2121212121212122,3,2,1,0.9090909090909091
tabm_kzt_120m,cadence85,2024,3,3,KZT,245,245,40,25,0.3346938775510204,0.625,1.8673780487804876,81.45964236880779,80.90888401767795,40.90949989722937,0.1908582784253897,0.21187519756781456,0.7482418075714501,0.5600465709787099,51,34,0.6666666666666666,0.6666666666666666,0.7843137254901961,17,2,4,0.6666666666666666
tabm_kzt_120m,cadence85,2025,3,3,KZT,244,244,51,23,0.26229508196721313,0.45098039215686275,1.7193627450980389,58.8351645135847,40.183772812833475,60.03691479061663,0.15925360727425067,0.16022328712075745,0.762065972222222,0.4890748457347685,51,41,0.803921568627451,0.803921568627451,1.0,10,2,1,0.803921568627451
tabm_kzt_120m,cadence85,2026,3,3,KZT,158,158,45,20,0.4240506329113924,0.4444444444444444,1.0480928689883915,22.505258186812277,47.55550108353045,69.3715141048233,0.18875601269336137,0.19279086714952462,0.7949811382647204,0.5554599789813478,33,33,1.0,1.0,1.3636363636363635,0,2,0,1.0
tabm_kzt_120m,cadence90,2024,3,3,KZT,245,245,49,28,0.3346938775510204,0.5714285714285714,1.7073170731707314,70.42070922591833,69.86995087478851,40.820473426088505,0.1908582784253897,0.21187519756781456,0.7482418075714501,0.5600465709787099,51,40,0.7843137254901961,0.7843137254901961,0.9607843137254902,11,2,4,0.7843137254901961
tabm_kzt_120m,cadence90,2025,3,3,KZT,244,244,58,26,0.26229508196721313,0.4482758620689655,1.7090517241379308,59.11605408338057,40.464662382629356,54.412854965730745,0.15925360727425067,0.16022328712075745,0.762065972222222,0.4890748457347685,51,45,0.8823529411764706,0.8823529411764706,1.1372549019607843,6,2,1,0.8823529411764706
tabm_kzt_120m,cadence90,2026,3,3,KZT,158,158,45,20,0.4240506329113924,0.4444444444444444,1.0480928689883915,22.505258186812277,47.55550108353045,69.3715141048233,0.18875601269336137,0.19279086714952462,0.7949811382647204,0.5554599789813478,33,33,1.0,1.0,1.3636363636363635,0,2,0,1.0
tabm_kzt_120m,rank80,2024,3,3,KZT,245,245,56,29,0.3346938775510204,0.5178571428571429,1.5472560975609755,56.720807490061915,56.170049138932086,47.638767598986526,0.1908582784253897,0.21187519756781456,0.7482418075714501,0.5600465709787099,51,44,0.8627450980392157,0.8627450980392157,1.0980392156862746,7,2,3,0.8627450980392157
tabm_kzt_120m,rank80,2025,3,3,KZT,244,244,60,25,0.26229508196721313,0.4166666666666667,1.5885416666666663,48.21716919585513,29.565777495103912,59.99105410553895,0.15925360727425067,0.16022328712075745,0.762065972222222,0.4890748457347685,51,47,0.9215686274509803,0.9215686274509803,1.1764705882352942,4,2,1,0.9215686274509803
