config_id,policy,qualified,preferred90,gate_shortfall,min_coverage,min_lift,min_utility,brier,rank
tabm_kzt_fullhistory,rank80,True,False,0.0,0.803921568627451,1.4411276948590384,40.25448417433135,0.17867864242627352,1
tabm_kzt_120m,rank80,False,False,0.016601971825852404,0.8627450980392157,1.2352523098791757,36.47286866156814,0.17962263279766724,2
tabm_kzt_120m,rank90,False,False,0.016601971825852404,0.8627450980392157,1.2352523098791757,20.60295711285022,0.17962263279766724,3
tabm_kzt_120m,rank90_shared,False,False,0.016601971825852404,0.8627450980392157,1.2352523098791757,20.60295711285022,0.17962263279766724,4
tabm_kzt_fullhistory,rank90,False,False,0.02094080827479149,0.8627450980392157,1.2529504327301333,28.040411209249257,0.17867864242627352,5
tabm_kzt_fullhistory,rank90_shared,False,False,0.02094080827479149,0.8627450980392157,1.2529504327301333,28.040411209249257,0.17867864242627352,6
tabm_kzt_fullhistory,cadence90,False,False,0.025080908750794596,0.7450980392156863,1.291400142146411,39.11601771313127,0.17867864242627352,7
tabm_kzt_fullhistory,cadence85,False,False,0.041420778031840334,0.7058823529411765,1.291400142146411,45.952737006148105,0.17867864242627352,8
tabm_kzt_120m,cadence90,False,False,0.07112751976667692,0.7843137254901961,1.0480928689883915,22.505258186812277,0.17962263279766724,9
tabm_kzt_120m,cadence80,False,False,0.0947712418300654,0.6274509803921569,1.3559701492537315,56.34101639766196,0.17962263279766724,10
tabm_kzt_120m,cadence85,False,False,0.12014712760981419,0.6666666666666666,1.0480928689883915,22.505258186812277,0.17962263279766724,11
tabm_kzt_fullhistory,cadence80,False,False,0.12815786241876737,0.6470588235294118,1.26538041499818,48.26779602701359,0.17867864242627352,12
tabm_kzt_120m,strict05,False,False,0.2520796197266786,0.47058823529411764,1.680640243902439,67.25729252197465,0.17962263279766724,13
tabm_kzt_fullhistory,strict05,False,False,0.3055555555555556,0.37254901960784315,1.6979104477611942,75.17150609315946,0.17867864242627352,14
