config_id,track,rows,dates,signals,brier,log_loss,auc,hit_rate,lift,forward_delta_bps,symmetric_bps,symmetric_delta_bps,regret_bps,min_cell_week_coverage,mean_cell_week_coverage,min_observed_calendar_week_coverage,mean_observed_calendar_week_coverage
kase_prices_24m_lag1,development_2023_2025,3635,727,742,0.19638423291601076,0.5744440694230087,0.7101715712126007,0.4380053908355795,1.3766807874300475,40.37703342015104,28.348554232310036,27.07683097245168,84.00854450503489,0.7551020408163265,0.8796768707482995,0.7254901960784313,0.8648104575163399
kase_prices_24m_lag1,diagnostic_2026,780,156,174,0.20211314452800028,0.5916493389765188,0.7240985318060027,0.41379310344827586,1.209693053311793,25.516098778829704,20.062198713997176,17.681127223290957,95.41574917389671,0.9032258064516129,0.9225806451612902,0.9090909090909091,0.9272727272727274
kase_prices_24m_lag1__KZT,development_2023_2025,727,727,145,0.19023404835028554,0.5618623115619272,0.6963790664780763,0.4206896551724138,1.5243247515597365,36.6071566486505,26.854364425550255,25.08868556654049,100.94116019967099,0.8333333333333334,0.8696145124716553,0.803921568627451,0.8551633986928104
kase_prices_24m_lag1__KZT,diagnostic_2026,156,156,35,0.21977908139845015,0.6377024969013988,0.7071593124224702,0.4,1.0947368421052632,18.92384242515154,18.3755559431931,15.459045694358233,105.3216934417158,0.9032258064516129,0.9032258064516129,0.9090909090909091,0.9090909090909091
kase_liquidity_24m_lag1,development_2023_2025,3635,727,724,0.19659321383545433,0.5754456810526117,0.6889580916218402,0.4102209944751381,1.273048451754742,33.440821101101264,22.23648079466032,20.86924346658327,87.04167825354786,0.5714285714285714,0.8579931972789117,0.5490196078431373,0.8413594771241829
kase_liquidity_24m_lag1,diagnostic_2026,780,156,168,0.20752560800582548,0.6111064502137641,0.7052806798519395,0.47023809523809523,1.3737598929885186,38.844652290389256,29.79202159758936,27.41634917713759,78.20747807557535,0.8709677419354839,0.9032258064516128,0.8787878787878788,0.9090909090909092
kase_liquidity_24m_lag1__KZT,development_2023_2025,727,727,157,0.1966046650188944,0.5754343605690114,0.6487270155586987,0.3503184713375796,1.2757002323556985,26.28211615812079,23.3139507383375,21.563800292732697,115.39347193609096,0.875,0.9243197278911565,0.88,0.9077124183006536
kase_liquidity_24m_lag1__KZT,diagnostic_2026,156,156,33,0.23584368209625559,0.699465065138155,0.6360978203083466,0.36363636363636365,0.9952153110047848,33.79172373796529,26.15293330067714,23.236423051842266,88.31956911354953,0.8709677419354839,0.8709677419354839,0.8787878787878788,0.8787878787878788
kase_full_24m_lag1,development_2023_2025,3635,727,708,0.20374360926133178,0.5908916437412802,0.6710468305031114,0.4533898305084746,1.4214948013816797,44.86936910940603,31.433382924390585,30.141501388545674,80.74237480836676,0.7346938775510204,0.8550170068027211,0.7058823529411765,0.8345882352941175
kase_full_24m_lag1,diagnostic_2026,780,156,171,0.20134318604920196,0.5895280078090362,0.7288258098429594,0.4502923976608187,1.3159509202453987,33.3530207722669,24.32519549207222,21.94153115125251,88.54567244904045,0.8709677419354839,0.896774193548387,0.8787878787878788,0.9030303030303031
kase_full_24m_lag1__KZT,development_2023_2025,727,727,146,0.20245764359418375,0.5881860678591081,0.640961810466761,0.363013698630137,1.3056465420276508,30.52052275100927,22.87562237747568,21.088916102819322,101.93585084895118,0.7959183673469388,0.8558673469387754,0.7647058823529411,0.8354248366013071
kase_full_24m_lag1__KZT,diagnostic_2026,156,156,34,0.21808762961050193,0.6341963810109772,0.712475633528265,0.47058823529411764,1.2879256965944275,37.32766861087954,26.549864879757575,23.633354630922707,89.27441813529656,0.8709677419354839,0.8709677419354839,0.8787878787878788,0.8787878787878788
halyk_24m_lag1,development_2023_2025,3635,727,640,0.19921089751588653,0.5817422137224905,0.6965091586682136,0.45,1.443400727319834,49.006903942629215,29.632583218224436,28.468788283329182,82.86667598637828,0.625,0.794047619047619,0.64,0.7760522875816995
halyk_24m_lag1,diagnostic_2026,780,156,176,0.20690853332371822,0.6084802746703208,0.695906432748538,0.4375,1.2795057520238602,26.369625673868143,21.44891562173285,19.076237956298826,91.24375493952603,0.8064516129032258,0.9096774193548388,0.8181818181818182,0.9151515151515153
halyk_24m_lag1__KZT,development_2023_2025,727,727,129,0.1926003204876012,0.5673346367536996,0.688085808580858,0.40310077519379844,1.5120946327502025,47.21677383603175,27.75003208422107,26.109647456840346,96.03029128160601,0.625,0.7933673469387755,0.64,0.7754248366013071
halyk_24m_lag1__KZT,diagnostic_2026,156,156,34,0.2284589488494524,0.6656589778826676,0.6524898103845472,0.4411764705882353,1.2074303405572757,27.746911488516815,22.47857376583764,19.56206351700277,97.72069438301503,0.8709677419354839,0.8709677419354839,0.8787878787878788,0.8787878787878788
