date,corridor,session_ordinal,raw_probability,probability,candidate_signal,closing_probability,closing_annotation,primary_scenario,model_verdict,expires,authorized_contact
2026-01-13,KZT,3955,0.14282965660095215,0.17463049992844729,True,0.4242395301905162,False,NOW,Модельный сигнал: выгодно сейчас,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-14,KZT,3956,0.1867540031671524,0.21269269596512883,False,0.41639987735496203,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-15,KZT,3957,0.03668855130672455,0.06429991862843575,False,0.32659689078693593,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-16,KZT,3958,0.037895891815423965,0.06585903012176547,False,0.3510418132058975,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-17,KZT,3959,0.3689674437046051,0.3551079334275247,True,0.5057925809181771,False,NOW,Модельный сигнал: выгодно сейчас,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-20,KZT,3960,0.20134620368480682,0.2248452209284624,False,0.3740251157445435,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-21,KZT,3961,0.10338982194662094,0.13780347665981882,False,0.3932767002015485,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-22,KZT,3962,0.020996790379285812,0.04248107661784337,False,0.3158412659394039,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-23,KZT,3963,0.039337363094091415,0.06770284879939333,False,0.30975170003358043,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-24,KZT,3964,0.13768664002418518,0.16999549301229505,False,0.417747575629057,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-27,KZT,3965,0.27277418971061707,0.2819271372786024,True,0.4540051373318426,True,NOW,Модельный сигнал: выгодно сейчас; есть признаки закрытия окна,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-28,KZT,3966,0.013365345075726509,0.03031355896059465,False,0.2899012018738699,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-29,KZT,3967,0.11276516318321228,0.14685199277638533,False,0.39398802313382286,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-30,KZT,3968,0.013414183631539345,0.030396469928205504,False,0.3064543004010058,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-01-31,KZT,3969,0.4361431300640106,0.40529407986619115,True,0.4828255066101097,False,NOW,Модельный сигнал: выгодно сейчас,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-02-03,KZT,3970,0.048608921468257904,0.0791551663701716,False,0.3037984081236662,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
