h,model,scope,rows,dates,brier,signals,lift,forward_delta_bps
3,baseline_reproduction,all,790,158,0.20599642084723377,169,1.3794687988236376,38.62645436138811
3,baseline_reproduction,KZT,158,158,0.23425206122769443,33,1.0719131614654003,35.7744706160854
3,basis_train_120m,all,790,158,0.20550202376837928,175,1.2478480788002486,28.620079760712454
3,basis_train_120m,KZT,158,158,0.22947505238973498,35,1.078038379530917,24.147136567991083
5,baseline_reproduction,all,780,156,0.20662686602476496,168,1.3752929360562436,37.770423127129746
5,baseline_reproduction,KZT,156,156,0.23698814647799885,33,0.9952153110047848,31.508934218021103
5,basis_train_120m,all,780,156,0.20840602466731792,173,1.3369494467346497,29.640444412858635
5,basis_train_120m,KZT,156,156,0.2349803479118283,34,1.2074303405572757,31.604298956545374
