date,ecb_ciss_euro_area,ecb_ciss_us,ecb_ciss_fx
2020-01-01,0.0392367124417376,0.0337569045209854,0.0207810855281652
2020-01-02,0.0268513376392977,0.0281051361397521,0.0226427420685884
2020-01-03,0.0228405538321489,0.0438791151068022,0.0228844368499499
2020-01-06,0.0197015414758077,0.0338917794729481,0.0232593100947806
2020-01-07,0.0182508628184011,0.037034432273517,0.0202942135266263
2020-01-08,0.0174330974890026,0.0330828990595766,0.0179920988826748
2020-01-09,0.0166418662731861,0.03260015607045,0.0150588281333713
2020-01-10,0.0158343230407429,0.0324643373245864,0.0119773301566437
2020-01-13,0.0172014514488379,0.0274567397244319,0.0170939774599305
2020-01-14,0.0175978476975311,0.0257324234937597,0.0139625468939703
2020-01-15,0.0148650124524189,0.0250001648310907,0.0113623552229534
2020-01-16,0.0131590151879521,0.0270847810089039,0.0110787234135703
2020-01-17,0.0096307809961047,0.027770919632066,0.0099222567238256
2020-01-20,0.0085559765313157,0.0215552492219919,0.0073732749864476
2020-01-21,0.0078835598264311,0.0196593455869239,0.008248423876838
2020-01-22,0.007163487391584,0.0166939734319163,0.0107756322562607
2020-01-23,0.006735590957842,0.014687938516282,0.0128532201160063
2020-01-24,0.0051924638401035,0.0252330099214946,0.0111861684836966
2020-01-27,0.0202927424245078,0.0483651806869274,0.012222872893589
2020-01-28,0.0235705073884014,0.0385855189785969,0.010120871527396
2020-01-29,0.0223070591676732,0.0350847685398966,0.0073646772113693
2020-01-30,0.0250513457606864,0.0296098553648436,0.0080104171273631
2020-01-31,0.0331555169329417,0.0456126776610832,0.0083724866018571
2020-02-03,0.0280126096342259,0.0370449780382489,0.0262042579160043
2020-02-04,0.030646858592504,0.0366871803182052,0.0271445494748894
2020-02-05,0.0311519448213752,0.0279545713552077,0.0245214221982462
2020-02-06,0.0277318107674774,0.0219350008618137,0.0212931268236035
2020-02-07,0.0228667520698961,0.021678498436748,0.0200081768459375
2020-02-10,0.0176580959651578,0.0170263737569441,0.0204999867320852
2020-02-11,0.0186274690561594,0.0144861667498776,0.0172332156385641
2020-02-12,0.019055855804248,0.0141646504743612,0.0166902459485092
2020-02-13,0.0192324970746093,0.0154901247630433,0.0238410597093206
2020-02-14,0.017006299014978,0.0163110906567806,0.0201877187487361
2020-02-17,0.0172240473709243,0.0181633671792978,0.0172217463783226
2020-02-18,0.0147724383022008,0.022118609450459,0.0174737039345149
