config_id,cutoff,scope,rows,dates,brier,signals,hit_rate,lift,forward_delta_bps
oxr_basis_120m_delay24h,2023-01-01,all,1210,242,0.19922629736549147,285,0.47368421052631576,1.227641665414099,26.499227218275237
oxr_basis_120m_delay24h,2023-01-01,KZT,242,242,0.1978733378242471,58,0.46551724137931033,1.265788454087563,17.36652998462376
oxr_basis_120m_delay24h,2024-01-01,all,1215,243,0.19122036316490604,243,0.41975308641975306,1.2556231003039515,25.781255764263385
oxr_basis_120m_delay24h,2024-01-01,KZT,243,243,0.18923932417743963,46,0.34782608695652173,1.3003344481605346,17.07376732962642
oxr_basis_120m_delay24h,2025-01-01,all,1210,242,0.1625562317956484,230,0.3739130434782609,1.7021346201030505,55.442807367400306
oxr_basis_120m_delay24h,2025-01-01,KZT,242,242,0.1583560309772084,52,0.34615384615384615,1.7451923076923082,37.182556169832615
oxr_basis_120m_delay48h,2023-01-01,all,1210,242,0.1995014211781016,281,0.47330960854092524,1.226273478873776,26.604792535437003
oxr_basis_120m_delay48h,2023-01-01,KZT,242,242,0.19877819168989247,56,0.4642857142857143,1.2624398073836276,22.839870576530448
oxr_basis_120m_delay48h,2024-01-01,all,1215,243,0.19049022966121787,242,0.4462809917355372,1.3520865533230295,27.535033138945384
oxr_basis_120m_delay48h,2024-01-01,KZT,243,243,0.1908296413063712,58,0.3620689655172414,1.3535809018567637,17.92280770285526
oxr_basis_120m_delay48h,2025-01-01,all,1210,242,0.16161971584573123,209,0.3827751196172249,1.7410071942446042,71.59995420908803
oxr_basis_120m_delay48h,2025-01-01,KZT,242,242,0.1555950006615224,52,0.28846153846153844,1.4543269230769234,36.146256817234196
oxr_basis_24m_delay24h,2023-01-01,all,1210,242,0.21348139867465257,246,0.491869918699187,1.2749597248225717,30.256506625044967
oxr_basis_24m_delay24h,2023-01-01,KZT,242,242,0.2097678235760661,52,0.5,1.3595505617977526,23.626761457476775
oxr_basis_24m_delay24h,2024-01-01,all,1215,243,0.19501643471059876,258,0.437984496124031,1.3078828292450582,31.032389792077108
oxr_basis_24m_delay24h,2024-01-01,KZT,243,243,0.19712347735907712,49,0.3877551020408163,1.449607535321821,30.551771795542102
oxr_basis_24m_delay24h,2025-01-01,all,1210,242,0.16285185892249465,204,0.39215686274509803,1.7785943959577397,65.88813152622397
oxr_basis_24m_delay24h,2025-01-01,KZT,242,242,0.16023048899116318,42,0.38095238095238093,1.9206349206349207,64.29970922640672
oxr_basis_24m_delay48h,2023-01-01,all,1210,242,0.21174711048117073,228,0.5131578947368421,1.3277373974208677,43.60626160683744
oxr_basis_24m_delay48h,2023-01-01,KZT,242,242,0.20868725852352685,41,0.6341463414634146,1.72430802959715,72.45154212277222
oxr_basis_24m_delay48h,2024-01-01,all,1215,243,0.19563308595058873,250,0.428,1.285905044510386,29.509644575316948
oxr_basis_24m_delay48h,2024-01-01,KZT,243,243,0.20007741942900328,51,0.35294117647058826,1.3194570135746604,8.55167624219127
oxr_basis_24m_delay48h,2025-01-01,all,1210,242,0.16123876750741678,214,0.38317757009345793,1.7315881326352527,69.79083466116302
oxr_basis_24m_delay48h,2025-01-01,KZT,242,242,0.15499577706691695,44,0.4090909090909091,2.0625000000000004,59.19211513786301
oxr_coverage_120m,2023-01-01,all,1210,242,0.20067187539116338,279,0.4659498207885305,1.2073067771893469,27.328523177920093
oxr_coverage_120m,2023-01-01,KZT,242,242,0.19873591550057837,56,0.4642857142857143,1.2624398073836276,31.756834833816036
oxr_coverage_120m,2024-01-01,all,1215,243,0.1915672244234552,236,0.4449152542372881,1.334466527196653,23.406494504752967
oxr_coverage_120m,2024-01-01,KZT,243,243,0.19101347453008308,47,0.3617021276595745,1.352209492635024,15.878079348623986
oxr_coverage_120m,2025-01-01,all,1210,242,0.16277748966007533,204,0.38235294117647056,1.7368421052631577,71.38391529037112
