track,scope,config_id,year,corridor,rows,dates,brier,signals,lift,forward_delta_bps
development_2023_2025,all,oxr_basis_120m_delay24h,2023,AMD,242,242,0.20266146398950127,56,1.1372180451127818,33.057394178404074
development_2023_2025,all,oxr_basis_120m_delay24h,2023,KGS,242,242,0.19343847781750828,59,1.2217814641182836,17.5310668509036
development_2023_2025,all,oxr_basis_120m_delay24h,2023,KZT,242,242,0.1978733378242471,58,1.265788454087563,17.36652998462376
development_2023_2025,all,oxr_basis_120m_delay24h,2023,TJS,242,242,0.19775748221543824,56,1.2872340425531916,26.52511630031938
development_2023_2025,all,oxr_basis_120m_delay24h,2023,UZS,242,242,0.2044007249807623,56,1.2281954887218043,38.822633698007834
development_2023_2025,all,oxr_basis_120m_delay24h,2024,AMD,243,243,0.1960382322160849,48,1.3698529411764706,27.02327617278274
development_2023_2025,all,oxr_basis_120m_delay24h,2024,KGS,243,243,0.20068999282475605,50,1.1880000000000002,32.1836015840783
development_2023_2025,all,oxr_basis_120m_delay24h,2024,KZT,243,243,0.18923932417743963,46,1.3003344481605346,17.073767329626413
development_2023_2025,all,oxr_basis_120m_delay24h,2024,TJS,243,243,0.19451596931118623,50,1.143529411764706,27.488229322467713
development_2023_2025,all,oxr_basis_120m_delay24h,2024,UZS,243,243,0.17561829729506337,49,1.3017857142857143,24.464143916985996
development_2023_2025,all,oxr_basis_120m_delay24h,2025,AMD,242,242,0.15974273134047623,34,1.6115427302996672,79.15977659145419
development_2023_2025,all,oxr_basis_120m_delay24h,2025,KGS,242,242,0.15420203534310367,49,1.9150354019158682,54.601657381749035
development_2023_2025,all,oxr_basis_120m_delay24h,2025,KZT,242,242,0.1583560309772084,52,1.7451923076923082,37.18255616983261
development_2023_2025,all,oxr_basis_120m_delay24h,2025,TJS,242,242,0.19145039599725053,44,1.7285714285714286,65.36704393625524
development_2023_2025,all,oxr_basis_120m_delay24h,2025,UZS,242,242,0.14902996532020318,51,1.4828431372549022,50.4958671502039
development_2023_2025,all,oxr_basis_120m_delay48h,2023,AMD,242,242,0.2042071121962416,57,1.1619575253924281,31.81552652519975
development_2023_2025,all,oxr_basis_120m_delay48h,2023,KGS,242,242,0.19308719417757916,56,1.1952887537993924,23.68365936881649
development_2023_2025,all,oxr_basis_120m_delay48h,2023,KZT,242,242,0.19877819168989247,56,1.2624398073836276,22.839870576530448
development_2023_2025,all,oxr_basis_120m_delay48h,2023,TJS,242,242,0.1974570959234465,56,1.2412613981762919,24.370307512669505
development_2023_2025,all,oxr_basis_120m_delay48h,2023,UZS,242,242,0.20397751190334834,56,1.2736842105263155,30.221549872723056
development_2023_2025,all,oxr_basis_120m_delay48h,2024,AMD,243,243,0.1942164029929501,46,1.3672634271099744,27.02221387157078
development_2023_2025,all,oxr_basis_120m_delay48h,2024,KGS,243,243,0.19821090790951726,45,1.2600000000000002,28.92334362360049
development_2023_2025,all,oxr_basis_120m_delay48h,2024,KZT,243,243,0.19082964130637117,58,1.3535809018567637,17.922807702855255
development_2023_2025,all,oxr_basis_120m_delay48h,2024,TJS,243,243,0.19386874188015435,48,1.3698529411764706,36.58469665190592
development_2023_2025,all,oxr_basis_120m_delay48h,2024,UZS,243,243,0.1753254542170965,45,1.4174999999999998,29.40705405363147
development_2023_2025,all,oxr_basis_120m_delay48h,2025,AMD,242,242,0.1591583652021413,38,1.6822244289970214,76.92049658840017
development_2023_2025,all,oxr_basis_120m_delay48h,2025,KGS,242,242,0.1524243851994478,40,1.9755102040816326,75.94395844635335
