config_id,scope,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
v3_24m,all,0.004804584368173503,0.0007492939785123936,0.008763416190004696,6,0,-0.055758792531700685,-0.36641354061423814,0.1355257404552046,-18.49765923851924,-29.38015007648161,-5.246124808459828
v3_24m,KZT,0.007430791266981793,0.0028956240633429427,0.01245426178379521,6,0,0.07416003536693172,-0.1601081812035159,0.38485105273450226,-16.699018800652475,-29.630567548564738,2.2015780271886847
v3_120m,all,-0.00045190426246918353,-0.0024336655976447737,0.0012378759540183657,6,1,-0.044887031833293456,-0.17868301642648132,0.024611998653923495,-5.91903661564039,-9.25208487781579,-2.0767137891203085
v3_120m,KZT,5.4777509364070326e-05,-0.0015730067445363367,0.00172516383751151,6,0,-0.09413580246913567,-0.42708333333333326,0.0,-2.855934700823127,-8.261811098809753,0.0
oxr_returns_24m_delay24h,all,-0.0033137992656484152,-0.009679788924700021,0.0029279824603224477,6,1,-0.02639038669180116,-0.2638157060192784,0.08591882018852881,-17.448025469988178,-26.654131141336038,-5.367035865199469
oxr_returns_24m_delay24h,KZT,0.0011493164163291433,-0.004738288305242919,0.00597041263564665,6,0,-0.023596374889478522,-0.275,0.2922558922558922,-15.925183147443686,-31.67609463756058,14.488093218325467
oxr_returns_24m_delay48h,all,0.0026299485467699965,-5.8721085839600384e-05,0.005262004013944785,6,0,-0.07863745682111523,-0.35608171544188916,0.06072542101199274,-7.9515707328398655,-15.168232319700344,2.8000048375198965
oxr_returns_24m_delay48h,KZT,0.002790198557274312,-0.004739892146719134,0.010254766318632683,6,0,-0.033709106984969095,-0.4824049513704687,0.20517241379310325,5.089284941400088,-20.664603278627663,39.29132556257692
oxr_basis_24m_delay24h,all,0.004027082706971343,-0.0005922281614591246,0.007749599753722275,6,0,-0.060745203206544085,-0.35880955707698736,0.16809685541849484,-12.583617413030556,-19.339336944966764,-3.649350373243223
oxr_basis_24m_delay24h,KZT,0.00518419824113398,-0.001385732922931967,0.01107669473538465,6,0,0.07416003536693172,-0.1601081812035159,0.38485105273450226,-20.049009135577837,-32.7235865213806,-0.28016534358093637
oxr_basis_24m_delay48h,all,0.0029561468403916454,-0.00041772128445208604,0.005334573370295605,6,0,-0.008423466873376029,-0.1112794608109644,0.07137643432119667,-8.443178041889713,-14.032618038369531,-0.5142836836106888
oxr_basis_24m_delay48h,KZT,0.003304135535535225,-0.0023405933502144956,0.00802018729429518,6,0,0.07416003536693172,-0.06507936507936496,0.35358090185676394,-15.39123880277015,-30.876154737958018,6.686077620731606
oxr_full_24m_delay24h,all,-0.0065334474761980475,-0.012955411276547002,0.0007092535285423133,6,1,-0.05062427832602401,-0.3304340570104327,0.0765751185915462,-11.255841970972284,-18.686156636342695,-3.6098950796723486
oxr_full_24m_delay24h,KZT,-0.0024165955805441858,-0.009611050672839825,0.002519728341330601,6,1,-0.07790549169859529,-0.3316526610644257,0.06490025152375269,-2.524702869025667,-15.378868319983482,15.96878725218904
oxr_full_24m_delay48h,all,0.002771987739023952,4.559958404724034e-05,0.0054563580754340745,6,0,-0.13948168712582,-0.4772385020606429,-0.002629982143166565,-15.820305852915235,-28.44719461785942,-3.2868060946332847
oxr_full_24m_delay48h,KZT,0.0022943817396310516,-0.006646086904632618,0.010583304410948874,6,0,-0.23748609566184653,-1.217857142857143,0.12819767441860463,-10.422077552119227,-33.382011939342206,11.683846928254702
oxr_returns_120m_delay24h,all,-0.0002978454430043735,-0.002653716875135414,0.0019459646975588656,6,1,0.01743009696109632,-0.09787756262029945,0.1492405303940807,3.559198889058216,0.8052996749806169,6.278799381183765
oxr_returns_120m_delay24h,KZT,0.00019749467640079672,-0.002684280093428534,0.0025654763403457803,6,0,0.0,0.0,0.0,0.6241194388977185,0.0,2.022146982028609
oxr_returns_120m_delay48h,all,0.00018634960523803324,-0.0010535670410449615,0.001426040939032259,6,0,0.0,-0.07524026676495048,0.05166943647076594,0.7108572546876495,-3.3986068413433763,4.650977441820007
oxr_returns_120m_delay48h,KZT,0.0006188490599762585,-0.002424435306622219,0.0029577815505026587,6,0,0.09413580246913567,0.0,0.27521367521367535,-3.367660371167748,-18.894928889374466,7.554797557356629
oxr_basis_120m_delay24h,all,-2.009261535249252e-05,-0.0010924097027741606,0.001096333159434479,6,1,0.04570297139187929,-0.09512485136741988,0.32141112618724543,0.21288199321336165,-6.12199678962719,6.313315004187695
oxr_basis_120m_delay24h,KZT,0.001548805571234129,-0.0004736225580080458,0.0036620430140396803,6,0,0.0,0.0,0.0,-3.8500360577147354,-8.399151058282257,0.0
oxr_basis_120m_delay48h,all,0.00038467233043712804,-0.001007930627339359,0.0016096028642495755,6,0,0.01170372604801595,-0.053500358843870055,0.05580037829417939,-1.3248895865510661,-10.037468444749052,6.140290658048972
oxr_basis_120m_delay48h,KZT,0.0014175055944868258,-0.000556795656951288,0.0037157965643824487,6,0,0.13447971781305101,0.0,0.38690476190476164,13.36531688454664,-13.531487621878757,42.30915244772544
oxr_full_120m_delay24h,all,-0.0007587385898590033,-0.0034626750714157385,0.0018743876920601353,6,1,0.09156387474114336,0.004903727823234227,0.2783771544260638,3.323089017959859,-1.4342044153867306,6.963927369098589
oxr_full_120m_delay24h,KZT,0.0011412521333238647,-0.0013435830385575553,0.003431824333942258,6,0,0.09413580246913567,0.0,0.27521367521367535,-3.367660371167748,-18.894928889374466,7.554797557356629
oxr_full_120m_delay48h,all,3.141279269648865e-05,-0.0017450392408917877,0.0017606973930669653,6,0,0.01008756035266134,-0.024345775318608265,0.04625520563314869,-1.1906198056683266,-5.592506897090384,1.1955777097655442
oxr_full_120m_delay48h,KZT,-0.0007129190145605768,-0.0037216083701223208,0.001283754115636181,6,1,0.050429894179894186,-0.10788690476190466,0.27116402116402094,-6.294194828940821,-29.04550997096028,6.778613715660766
