track,scope,config_id,baseline,block,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
development_2023_2025,all,oxr_basis_120m_delay24h,v3_120m,month,-0.0005066316642844167,-0.001643620792586559,0.0005580959520652473,36,3,-0.03474821055763666,-0.13358312029879899,0.05599087868931003,-5.0269991955454,-12.203180806573718,1.6646486000497613
development_2023_2025,all,oxr_basis_120m_delay24h,v3_120m,20,-0.0005066316642844167,-0.001495611643680749,0.0004682095557565536,39,3,,,,,,
development_2023_2025,all,oxr_basis_120m_delay24h,v3_120m,60,-0.0005066316642844167,-0.0015774293999473278,0.0006908913687973566,15,3,,,,,,
development_2023_2025,all,oxr_basis_120m_delay48h,v3_120m,month,-0.0009708398329563862,-0.0018976914457994453,-1.748497072037536e-05,36,3,-0.0008477713495822492,-0.06819954875655146,0.060992517445399096,-0.31910128315997355,-5.2582376418352625,4.4590685280885936
development_2023_2025,all,oxr_basis_120m_delay48h,v3_120m,20,-0.0009708398329563862,-0.0018056848658438323,-0.00011787299740931929,39,3,,,,,,
development_2023_2025,all,oxr_basis_120m_delay48h,v3_120m,60,-0.0009708398329563862,-0.001775275134940287,-0.000169333070171571,15,3,,,,,,
development_2023_2025,all,oxr_basis_120m_since2020,v3_120m,month,0.0001382444501423327,-0.0010715272133374387,0.00121648290907385,36,2,-0.0128996627780682,-0.10487309947469964,0.07711285542082541,-2.2094446618564803,-11.238484608333579,5.5660782644144735
development_2023_2025,all,oxr_basis_120m_since2020,v3_120m,20,0.0001382444501423327,-0.0008792898662606961,0.0011078947585724298,39,2,,,,,,
development_2023_2025,all,oxr_basis_120m_since2020,v3_120m,60,0.0001382444501423327,-0.0009315590907124542,0.0011761169378467172,15,2,,,,,,
development_2023_2025,all,oxr_basis_120m_since2022,v3_120m,month,-0.00038814456271509646,-0.001449344508836418,0.0006137723098807662,36,1,-0.01640370755764886,-0.12529690257138895,0.08166895433906712,-2.8556423237833712,-11.289063598063777,5.975753515467943
