track,scope,family,baseline,candidate,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
development_2023_2025,all,full,oxr_full_120m_since2020,oxr_full_120m_delay24h,-0.0005254857479794784,-0.001750171184897661,0.0006447278934676872,36,3,-0.03364483440676125,-0.07945979884806914,0.012282225091853954,-3.3909233364900473,-7.6580023236879,0.7416332901952684
development_2023_2025,all,full,oxr_full_120m_since2022,oxr_full_120m_delay24h,-0.0004120744661045873,-0.005604106877590503,0.004851061920305666,36,2,0.022678100762651754,-0.05200092672171767,0.09880708931799347,4.159314198102926,-0.5380333043430925,8.984401589020722
development_2023_2025,all,basis,oxr_basis_120m_since2020,oxr_basis_120m_delay24h,-0.0006448761144267493,-0.0014835736099209598,0.0001489710501992943,36,2,-0.02184854777956846,-0.07530535911870292,0.03425303658130552,-2.81755453368892,-7.740057199847696,2.0890385892124512
development_2023_2025,all,basis,oxr_basis_120m_since2022,oxr_basis_120m_delay24h,-0.00011848710156932026,-0.0011585350413002926,0.0009863348342455448,36,2,-0.0183445029999878,-0.06556618894327139,0.028379455263477776,-2.171356871762029,-6.061152313323795,1.764531553410022
development_2023_2025,KZT,full,oxr_full_120m_since2020,oxr_full_120m_delay24h,0.0002028525771876215,-0.0012599471076648345,0.0015445922269990962,36,1,-0.026782894136196722,-0.17673630953169256,0.1410582480012076,-3.0196041014773165,-13.397191752063748,7.255787649372822
development_2023_2025,KZT,full,oxr_full_120m_since2022,oxr_full_120m_delay24h,-0.0027924257946328156,-0.0075407467804648205,0.0013152019089196934,36,2,0.13457460903885288,-0.06937178968190882,0.38086295488675853,13.796238833541011,2.069091956170067,25.976802234853594
development_2023_2025,KZT,basis,oxr_basis_120m_since2020,oxr_basis_120m_delay24h,-2.6513773740930622e-05,-0.0007768413094771732,0.0007136619389653039,36,1,-0.0499462383825906,-0.16406672002020775,0.054921628300712316,-8.182832285481648,-16.109500472608033,-1.5122569266583583
development_2023_2025,KZT,basis,oxr_basis_120m_since2022,oxr_basis_120m_delay24h,-0.000768668979393934,-0.0019636008953737042,0.00046443607343823464,36,3,-0.08058240585555843,-0.23007843414748497,0.05972784563990199,-7.228246182662836,-21.667112173453347,4.954024194070623
test2026_january_freeze,all,full,oxr_full_120m_since2020,oxr_full_120m_delay24h,-0.00020522817605647166,-0.001321061483356223,0.0008999676470988967,8,1,-0.016424510423246996,-0.06946341231255847,0.0,-0.1657199741625206,-0.49715992248756535,0.0
test2026_january_freeze,all,full,oxr_full_120m_since2022,oxr_full_120m_delay24h,0.0037918778239700683,0.0014127563330425812,0.006301077410502151,8,0,-0.16463206913772965,-0.5720960874665207,-0.005749031906211122,-9.579423321746596,-19.7553605084621,-1.070711356256826
test2026_january_freeze,all,basis,oxr_basis_120m_since2020,oxr_basis_120m_delay24h,-6.0309703290478475e-05,-0.0008707054203069282,0.0006994641487590148,8,1,0.0,0.0,0.0,0.0,0.0,0.0
test2026_january_freeze,all,basis,oxr_basis_120m_since2022,oxr_basis_120m_delay24h,0.0017357963291499642,-0.0006535669309293127,0.004828445039739305,8,0,-0.14692258917344625,-0.5508705978386906,0.0,-8.316093706783889,-19.80104960670027,0.767031164992737
test2026_january_freeze,KZT,full,oxr_full_120m_since2020,oxr_full_120m_delay24h,1.6752672583041787e-05,-0.0010927259492839328,0.001185912469611433,8,0,0.0,0.0,0.0,0.0,0.0,0.0
test2026_january_freeze,KZT,full,oxr_full_120m_since2022,oxr_full_120m_delay24h,0.002433508031629447,0.00013391644758271908,0.004662328329862259,8,0,0.0,0.0,0.0,3.0573815752440545,0.0,7.09768016333294
test2026_january_freeze,KZT,basis,oxr_basis_120m_since2020,oxr_basis_120m_delay24h,0.00047798795032321425,-0.0007419190007179372,0.0017617961560285307,8,0,0.0,0.0,0.0,0.0,0.0,0.0
test2026_january_freeze,KZT,basis,oxr_basis_120m_since2022,oxr_basis_120m_delay24h,0.0005815289410132019,-0.0016042569228002282,0.002579508215712571,8,0,0.0,0.0,0.0,0.49562426030113116,0.0,1.5798023297098496
test2026_common_january_freeze,all,full,oxr_full_120m_since2020,oxr_full_120m_delay24h,-0.00017762601461262416,-0.0015900343537815563,0.0011902904946942208,6,1,-0.01831556823299807,-0.07591885920867636,0.0,-0.20628080699950502,-0.6145449041860154,0.0
test2026_common_january_freeze,all,full,oxr_full_120m_since2022,oxr_full_120m_delay24h,0.004959025589916543,0.0026006935256196887,0.0074543650470982065,6,0,-0.18303495824558236,-0.6846818702488806,-0.007914817807512575,-12.159136577338355,-24.444653388847172,-1.7973663573385252
test2026_common_january_freeze,all,basis,oxr_basis_120m_since2020,oxr_basis_120m_delay24h,-0.00022341693115021682,-0.0011631774693915233,0.0007365985424472216,6,1,0.0,0.0,0.0,0.0,0.0,0.0
test2026_common_january_freeze,all,basis,oxr_basis_120m_since2022,oxr_basis_120m_delay24h,0.002772501274337545,0.00030383585848365723,0.006244048838827066,6,0,-0.16377215529523403,-0.6579057532386714,0.0,-10.503362622787847,-24.0597142545493,0.9452848864347168
test2026_common_january_freeze,KZT,full,oxr_full_120m_since2020,oxr_full_120m_delay24h,-0.00024332469740308955,-0.0015665525319626392,0.0012030682473393264,6,1,0.0,0.0,0.0,0.0,0.0,0.0
test2026_common_january_freeze,KZT,full,oxr_full_120m_since2022,oxr_full_120m_delay24h,0.0020404685669898584,-0.0004348346552214161,0.004456623690445308,6,0,0.0,0.0,0.0,3.8500360577147354,0.0,8.399151058282257
test2026_common_january_freeze,KZT,basis,oxr_basis_120m_since2020,oxr_basis_120m_delay24h,0.0007702468477759233,-0.0007569038330575466,0.0023474229592167412,6,0,0.0,0.0,0.0,0.0,0.0,0.0
test2026_common_january_freeze,KZT,basis,oxr_basis_120m_since2022,oxr_basis_120m_delay24h,0.0006103408548139833,-0.002138538064678252,0.0030797451885869963,6,0,0.0,0.0,0.0,0.6241194388977185,0.0,2.022146982028609
test2026_common_march_freeze,all,full,oxr_full_120m_since2020,oxr_full_120m_delay24h,0.00047436162202635894,-0.0012125234640819537,0.0018419088235438288,6,0,0.031121376262330358,-0.06623129095233837,0.17771999244121695,-1.337951717751853,-5.323285239084612,1.4710040544270164
test2026_common_march_freeze,all,full,oxr_full_120m_since2022,oxr_full_120m_delay24h,0.004683390593183772,0.002021928690082048,0.007572327872618978,6,0,-0.10023353973613136,-0.4419087637953103,0.0,-7.830003223302533,-17.636277138633716,0.0
test2026_common_march_freeze,all,basis,oxr_basis_120m_since2020,oxr_basis_120m_delay24h,0.000797876038436551,-0.00011359405597507987,0.0017007703831223026,6,0,0.008783618993634557,-0.17490890161374284,0.2770093534824596,-0.14804504889914938,-6.980342566021589,6.7021813188298704
test2026_common_march_freeze,all,basis,oxr_basis_120m_since2022,oxr_basis_120m_delay24h,0.003506453630863158,0.0012377369743670663,0.0059557377890106225,6,0,-0.13706046659326754,-0.3898257629600914,-0.026694045174538106,-10.570224900801197,-18.927326376797716,-3.8358562957930253
test2026_common_march_freeze,KZT,full,oxr_full_120m_since2020,oxr_full_120m_delay24h,0.002095714852837365,0.0009023872014733362,0.0030127901536902224,6,0,0.0,0.0,0.0,0.6241194388977185,0.0,2.2978942977597754
test2026_common_march_freeze,KZT,full,oxr_full_120m_since2022,oxr_full_120m_delay24h,0.0037999322699359423,0.0021494592426004717,0.005648032820643916,6,0,0.0,0.0,0.0,0.6241194388977185,0.0,2.2978942977597754
test2026_common_march_freeze,KZT,basis,oxr_basis_120m_since2020,oxr_basis_120m_delay24h,0.0009409316397428134,-0.000355089490745185,0.0026721842873673666,6,0,0.0,0.0,0.0,-3.225916618817017,-7.25831239233829,0.0
test2026_common_march_freeze,KZT,basis,oxr_basis_120m_since2022,oxr_basis_120m_delay24h,0.0019610192121106715,0.000986489123796492,0.002960184215902483,6,0,0.0,0.0,0.0,-3.225916618817017,-7.25831239233829,0.0
