epoch,training_bce
1,0.626588115451977
2,0.5793831377471007
3,0.5721891475924624
4,0.566195707220454
5,0.5634491051918699
6,0.5636973237235986
7,0.5613742100330604
8,0.5596196601586454
9,0.5563533939935636
10,0.5549686702647701
11,0.5529739333787262
12,0.54981899198529
13,0.5482231265253211
14,0.5498967830675777
15,0.548154902448507
16,0.5449551998067929
17,0.5409354886613562
18,0.5389188098578217
19,0.5371203573131639
20,0.5345880393571335
21,0.531593209693918
22,0.5311449222890078
23,0.5290948372851727
24,0.5272479046659678
25,0.5270463704675509
26,0.5233394391259752
27,0.5212135166292942
28,0.5190434968636154
29,0.5179002283066875
30,0.5284564095624185
31,0.5179982328686067
32,0.5112408149252085
33,0.5104596439074153
34,0.5087896753965017
35,0.5048811080783098
36,0.5023461345925164
37,0.5044623894918071
38,0.5000822728576939
39,0.49883959111307424
40,0.497280520893131
41,0.49792284727290237
42,0.4884869713157682
43,0.4871174051546644
44,0.4862103524680645
45,0.48473029176361865
46,0.48103112725587904
47,0.47575002862707955
48,0.4771327266452954
49,0.4713966400278573
50,0.47258795658618236
51,0.46880710626113326
52,0.4651486406618749
53,0.4640226063933632
54,0.46525068604103637
55,0.46508426829918337
56,0.4570444207623371
57,0.459834271480551
58,0.45548743367873007
59,0.4577680464007814
60,0.4534969144386552
61,0.45046830298356366
62,0.44808994440602445
63,0.44071327446438646
64,0.44148089782093525
65,0.43724591428433657
66,0.4372003804756121
67,0.4359033809116853
68,0.4391275082149707
69,0.4324267276847973
70,0.43041091578748536
71,0.4308923112484229
72,0.43106207028818166
73,0.42718328914440906
74,0.42194791342745364
75,0.4201962299263642
76,0.4194083432905273
