track,config_id,corridor,signal_count,active_fold_count,top_fold_signal_share,minimum_fold_weekly_1_to_2_fulfillment,mean_silent_week_share,development_oot_month_blocks,cell_standardized_lift,cell_standardized_lift_ci95_low,cell_standardized_lift_ci95_high,cell_standardized_lift_ci99_low,cell_standardized_lift_ci99_high,cell_standardized_hit_delta_pp,cell_standardized_hit_delta_pp_ci95_low,cell_standardized_hit_delta_pp_ci95_high,cell_standardized_hit_delta_pp_ci99_low,cell_standardized_hit_delta_pp_ci99_high,cell_standardized_forward_bps_delta,cell_standardized_forward_bps_delta_ci95_low,cell_standardized_forward_bps_delta_ci95_high,cell_standardized_forward_bps_delta_ci99_low,cell_standardized_forward_bps_delta_ci99_high,cell_standardized_symmetric_bps_delta,cell_standardized_symmetric_bps_delta_ci95_low,cell_standardized_symmetric_bps_delta_ci95_high,cell_standardized_symmetric_bps_delta_ci99_low,cell_standardized_symmetric_bps_delta_ci99_high,cell_standardized_regret_bps_improvement,cell_standardized_regret_bps_improvement_ci95_low,cell_standardized_regret_bps_improvement_ci95_high,cell_standardized_regret_bps_improvement_ci99_low,cell_standardized_regret_bps_improvement_ci99_high,bonferroni_five_corridor_simultaneous95_lift_low,bonferroni_five_corridor_simultaneous95_hit_delta_pp_low,bonferroni_five_corridor_simultaneous95_symmetric_bps_delta_low,gate_predicates,gate_failures,passes_exploratory_corridor_policy_screen,status
public_source_research,logit_plus_kazakhstan_official,AMD,163,3,0.3558282208588957,0.7916666666666666,0.1102607709750567,36.0,0.8882355278318564,0.7096468949846557,1.0483494214830655,0.6506828313051134,1.094678664343825,-3.5509606402585305,-8.76037471212345,1.6127863267666271,-10.468358316075777,3.0911231260544376,-3.094610610850738,-18.83045652590596,12.048279752612075,-23.617784991436654,17.757674236560778,-3.2461426097464305,-12.851095043332634,6.581474448594209,-15.867437461466244,10.135474285819402,2.0798683125107615,-12.49003829240984,17.173035265904954,-17.478550263898498,22.681716412436025,0.6506828313051134,-10.468358316075777,-15.867437461466244,"{""forward_point_nonnegative"": false, ""maximum_top_fold_share"": true, ""minimum_active_folds"": true, ""minimum_point_lift"": false, ""minimum_signal_count"": true, ""minimum_weekly_cadence_fulfillment"": false, ""simultaneous_forward_bps_lower_above_minus_25"": true, ""simultaneous_hit_delta_lower_above_zero"": false, ""simultaneous_lift_lower_above_one"": false, ""simultaneous_symmetric_bps_lower_above_zero"": false}","[""minimum_weekly_cadence_fulfillment"", ""minimum_point_lift"", ""simultaneous_lift_lower_above_one"", ""simultaneous_hit_delta_lower_above_zero"", ""simultaneous_symmetric_bps_lower_above_zero"", ""forward_point_nonnegative""]",False,retrospective_exploratory_not_prospective_confirmation
public_source_research,logit_plus_kazakhstan_official,KGS,142,3,0.4014084507042254,0.7142857142857143,0.20592403628117914,36.0,0.9423935490215363,0.7776042908994912,1.1260419574064708,0.7292060509774198,1.186511905033759,-1.8941010618347371,-7.515187155650438,3.8739199402464384,-9.189592070319181,5.7792871561135435,0.6529000492674986,-14.117208798648432,15.097057316223637,-18.221115217357248,19.252964677844766,-7.546490026181551,-18.760970561668525,3.2988143372517063,-22.478227831363156,6.64923447767283,8.968740039101599,-5.8598402507730265,24.066475409905408,-10.207065444492336,29.520012721637634,0.7292060509774198,-9.189592070319181,-22.478227831363156,"{""forward_point_nonnegative"": true, ""maximum_top_fold_share"": true, ""minimum_active_folds"": true, ""minimum_point_lift"": false, ""minimum_signal_count"": true, ""minimum_weekly_cadence_fulfillment"": false, ""simultaneous_forward_bps_lower_above_minus_25"": true, ""simultaneous_hit_delta_lower_above_zero"": false, ""simultaneous_lift_lower_above_one"": false, ""simultaneous_symmetric_bps_lower_above_zero"": false}","[""minimum_weekly_cadence_fulfillment"", ""minimum_point_lift"", ""simultaneous_lift_lower_above_one"", ""simultaneous_hit_delta_lower_above_zero"", ""simultaneous_symmetric_bps_lower_above_zero""]",False,retrospective_exploratory_not_prospective_confirmation
public_source_research,logit_plus_kazakhstan_official,KZT,156,3,0.3782051282051282,0.7346938775510204,0.1574546485260771,36.0,1.1772610376210788,0.9597265652800646,1.3904621120418592,0.8858782879705231,1.4561833349355084,5.019023874242729,-1.1523327417403333,11.17304657083579,-3.212124419742677,12.910534884034158,4.187700831640745,-10.08336726440061,18.823950882370625,-14.143258219991289,23.81834205677114,1.377933413356987,-8.3455877319233,10.968398998953617,-11.117729909643462,14.258566230013605,5.999920734385346,-10.82001714731604,24.785794963784188,-15.642164987607362,31.23251033008365,0.8858782879705231,-3.212124419742677,-11.117729909643462,"{""forward_point_nonnegative"": true, ""maximum_top_fold_share"": true, ""minimum_active_folds"": true, ""minimum_point_lift"": false, ""minimum_signal_count"": true, ""minimum_weekly_cadence_fulfillment"": false, ""simultaneous_forward_bps_lower_above_minus_25"": true, ""simultaneous_hit_delta_lower_above_zero"": false, ""simultaneous_lift_lower_above_one"": false, ""simultaneous_symmetric_bps_lower_above_zero"": false}","[""minimum_weekly_cadence_fulfillment"", ""minimum_point_lift"", ""simultaneous_lift_lower_above_one"", ""simultaneous_hit_delta_lower_above_zero"", ""simultaneous_symmetric_bps_lower_above_zero""]",False,retrospective_exploratory_not_prospective_confirmation
public_source_research,logit_plus_kazakhstan_official,TJS,152,3,0.3684210526315789,0.75,0.15136054421768708,36.0,1.0034758410669047,0.8461881991938157,1.1614463322172845,0.7984111011385747,1.21522227535981,0.11849847043892676,-5.239873878901617,5.378321345184466,-6.931175263659437,7.078534681082426,12.967212496754332,-3.6199807538940347,30.898683123146654,-8.37096184026167,37.14602681335178,4.936206473976925,-5.959610720410274,16.809522356125342,-9.131654458819726,20.89529597485225,18.201629137432644,4.069661710717938,33.762074973733675,0.44634742877032174,39.48994258794892,0.7984111011385747,-6.931175263659437,-9.131654458819726,"{""forward_point_nonnegative"": true, ""maximum_top_fold_share"": true, ""minimum_active_folds"": true, ""minimum_point_lift"": false, ""minimum_signal_count"": true, ""minimum_weekly_cadence_fulfillment"": false, ""simultaneous_forward_bps_lower_above_minus_25"": true, ""simultaneous_hit_delta_lower_above_zero"": false, ""simultaneous_lift_lower_above_one"": false, ""simultaneous_symmetric_bps_lower_above_zero"": false}","[""minimum_weekly_cadence_fulfillment"", ""minimum_point_lift"", ""simultaneous_lift_lower_above_one"", ""simultaneous_hit_delta_lower_above_zero"", ""simultaneous_symmetric_bps_lower_above_zero""]",False,retrospective_exploratory_not_prospective_confirmation
public_source_research,logit_plus_kazakhstan_official,UZS,149,3,0.38926174496644295,0.75,0.16496598639455784,36.0,1.1162255269038435,0.9465145235995921,1.2807305569535363,0.8963322638629975,1.3368365066246644,3.5639654173990793,-1.6451213428492926,8.5580847414314,-3.1201087515819523,10.121357846445107,11.176294543495194,-4.193915717759928,27.493424095870143,-8.955007530855074,32.993022737731195,1.8697066983766921,-9.2400862067197,13.767339716975371,-12.627780844592326,17.977290014294542,13.045777396679064,-1.1482858673512646,28.390655985355078,-4.773021734573781,33.79716753201298,0.8963322638629975,-3.1201087515819523,-12.627780844592326,"{""forward_point_nonnegative"": true, ""maximum_top_fold_share"": true, ""minimum_active_folds"": true, ""minimum_point_lift"": false, ""minimum_signal_count"": true, ""minimum_weekly_cadence_fulfillment"": false, ""simultaneous_forward_bps_lower_above_minus_25"": true, ""simultaneous_hit_delta_lower_above_zero"": false, ""simultaneous_lift_lower_above_one"": false, ""simultaneous_symmetric_bps_lower_above_zero"": false}","[""minimum_weekly_cadence_fulfillment"", ""minimum_point_lift"", ""simultaneous_lift_lower_above_one"", ""simultaneous_hit_delta_lower_above_zero"", ""simultaneous_symmetric_bps_lower_above_zero""]",False,retrospective_exploratory_not_prospective_confirmation
contract_required_market_data,hgb_plus_cnyrub_basis,AMD,139,3,0.4028776978417266,0.7346938775510204,0.16439909297052155,36.0,1.3333439886884728,1.1777134362267583,1.4874207860571707,1.1263230866530027,1.5339818809847445,10.971486049605367,5.9408106879152545,15.449813032412095,4.328464161854415,16.761633516261725,37.01963254279041,21.821829866564514,52.504247638282955,17.840636773916096,58.6963680145223,23.515615068792638,13.52843198547505,33.86498904905918,10.195615875234243,37.51678907257454,26.43215485480065,10.626473473700244,42.45274106410164,6.27484588218076,47.81034749187463,1.1263230866530027,4.328464161854415,10.195615875234243,"{""forward_point_nonnegative"": true, ""maximum_top_fold_share"": true, ""minimum_active_folds"": true, ""minimum_point_lift"": true, ""minimum_signal_count"": true, ""minimum_weekly_cadence_fulfillment"": false, ""simultaneous_forward_bps_lower_above_minus_25"": true, ""simultaneous_hit_delta_lower_above_zero"": true, ""simultaneous_lift_lower_above_one"": true, ""simultaneous_symmetric_bps_lower_above_zero"": true}","[""minimum_weekly_cadence_fulfillment""]",False,retrospective_exploratory_not_prospective_confirmation
contract_required_market_data,hgb_plus_cnyrub_basis,KGS,128,3,0.359375,0.7551020408163265,0.1778628117913832,36.0,1.3868245592206863,1.2167619999019181,1.5649716913702154,1.1705826960144672,1.6223011431575831,12.638936715641261,7.190657405157787,17.646943896008455,5.710509368742287,18.99375575130744,54.149868015355196,36.69369718634887,72.11096794997698,32.222955283002726,78.31398257170083,29.32294086072971,17.09007790687742,42.459324896275994,13.039901586142761,46.68344699068163,38.78392781934284,21.187974667392552,56.31578001755378,16.615153376831593,62.311015721231854,1.1705826960144672,5.710509368742287,13.039901586142761,"{""forward_point_nonnegative"": true, ""maximum_top_fold_share"": true, ""minimum_active_folds"": true, ""minimum_point_lift"": true, ""minimum_signal_count"": true, ""minimum_weekly_cadence_fulfillment"": false, ""simultaneous_forward_bps_lower_above_minus_25"": true, ""simultaneous_hit_delta_lower_above_zero"": true, ""simultaneous_lift_lower_above_one"": true, ""simultaneous_symmetric_bps_lower_above_zero"": true}","[""minimum_weekly_cadence_fulfillment""]",False,retrospective_exploratory_not_prospective_confirmation
contract_required_market_data,hgb_plus_cnyrub_basis,KZT,133,3,0.39097744360902253,0.6666666666666666,0.17913832199546484,36.0,1.5875079151805231,1.320922820270248,1.8686414264825542,1.2405225322355904,1.9697562899139982,15.860652038217163,8.179021035659563,24.081393062767923,6.051441870849799,26.992112101335795,42.037228609848654,22.654539974646795,63.51432835697094,17.268415521759014,71.29625369537338,21.351971899261972,8.36586711282175,34.61482013010807,4.155484648537177,38.632111703248526,33.19413774730718,16.987343491361546,51.21586760124562,12.145469873957921,57.922377968501415,1.2405225322355904,6.051441870849799,4.155484648537177,"{""forward_point_nonnegative"": true, ""maximum_top_fold_share"": true, ""minimum_active_folds"": true, ""minimum_point_lift"": true, ""minimum_signal_count"": true, ""minimum_weekly_cadence_fulfillment"": false, ""simultaneous_forward_bps_lower_above_minus_25"": true, ""simultaneous_hit_delta_lower_above_zero"": true, ""simultaneous_lift_lower_above_one"": true, ""simultaneous_symmetric_bps_lower_above_zero"": true}","[""minimum_weekly_cadence_fulfillment""]",False,retrospective_exploratory_not_prospective_confirmation
contract_required_market_data,hgb_plus_cnyrub_basis,TJS,124,3,0.3548387096774194,0.7346938775510204,0.19146825396825395,36.0,1.4686999502078901,1.280651874557759,1.6569189851993402,1.2218884121427072,1.7280708503262296,16.21364618269147,9.710283129537595,22.13388630702069,7.5798595742302135,24.26845707083759,56.30235248590364,36.98894608808255,76.24670223147608,31.130021439588454,83.27118224425261,29.069176265304097,15.106786513529565,44.021838909843595,11.162589639981375,48.96337613677194,38.23623708106927,17.941901223983955,58.79318476278957,11.534296918142461,65.34385394306156,1.2218884121427072,7.5798595742302135,11.162589639981375,"{""forward_point_nonnegative"": true, ""maximum_top_fold_share"": true, ""minimum_active_folds"": true, ""minimum_point_lift"": true, ""minimum_signal_count"": true, ""minimum_weekly_cadence_fulfillment"": false, ""simultaneous_forward_bps_lower_above_minus_25"": true, ""simultaneous_hit_delta_lower_above_zero"": true, ""simultaneous_lift_lower_above_one"": true, ""simultaneous_symmetric_bps_lower_above_zero"": true}","[""minimum_weekly_cadence_fulfillment""]",False,retrospective_exploratory_not_prospective_confirmation
contract_required_market_data,hgb_plus_cnyrub_basis,UZS,139,3,0.3597122302158273,0.8333333333333334,0.1167800453514739,36.0,1.429935980738414,1.2641726876659045,1.607813277950565,1.2136812269290371,1.6726854602716938,13.19478240486888,7.9887699597953175,18.298158313145954,6.414641349337413,19.756201937722338,50.11674939054083,32.5964463923553,67.50619294214992,26.690312265429522,73.39500589897094,30.93920807062869,18.258646289205522,43.38579131154445,14.53175257010177,47.56942092461332,40.77517671269979,25.45272895982009,55.937112732497,20.647040937967876,61.29406595935439,1.2136812269290371,6.414641349337413,14.53175257010177,"{""forward_point_nonnegative"": true, ""maximum_top_fold_share"": true, ""minimum_active_folds"": true, ""minimum_point_lift"": true, ""minimum_signal_count"": true, ""minimum_weekly_cadence_fulfillment"": false, ""simultaneous_forward_bps_lower_above_minus_25"": true, ""simultaneous_hit_delta_lower_above_zero"": true, ""simultaneous_lift_lower_above_one"": true, ""simultaneous_symmetric_bps_lower_above_zero"": true}","[""minimum_weekly_cadence_fulfillment""]",False,retrospective_exploratory_not_prospective_confirmation
