config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,fold_test_year,corridor,prediction_rows,brier,log_loss,average_precision,roc_auc
hgb_base,hist_gradient_boosting,base,5,2026,AMD,156,0.23328749339733398,0.6653976172061606,0.33252973739724856,0.5089681952662722
hgb_base,hist_gradient_boosting,base,5,2026,KGS,156,0.21851554044592897,0.6318621295988996,0.37313031338196606,0.5529513888888888
hgb_base,hist_gradient_boosting,base,5,2026,KZT,156,0.2548707220158348,0.7166352026829126,0.3699663306258295,0.4945950735424419
hgb_base,hist_gradient_boosting,base,5,2026,TJS,156,0.22503713735618847,0.6459656720781058,0.35033076585721995,0.5686792452830188
hgb_base,hist_gradient_boosting,base,5,2026,UZS,156,0.25858555607678796,0.720987004229429,0.5366841542195906,0.6329861111111109
hgb_plus_cnyrub_basis,hist_gradient_boosting,plus_cnyrub_basis,5,2026,AMD,156,0.20320073845824846,0.5961808432260387,0.5112244100152238,0.7011834319526629
hgb_plus_cnyrub_basis,hist_gradient_boosting,plus_cnyrub_basis,5,2026,KGS,156,0.18587288265871688,0.5506107323221706,0.5418716719413581,0.728684413580247
hgb_plus_cnyrub_basis,hist_gradient_boosting,plus_cnyrub_basis,5,2026,KZT,156,0.23698814647799885,0.6915462211749547,0.5160333289360718,0.6384015594541911
hgb_plus_cnyrub_basis,hist_gradient_boosting,plus_cnyrub_basis,5,2026,TJS,156,0.19390156733418287,0.5732930846009825,0.5482796934778315,0.7186792452830189
hgb_plus_cnyrub_basis,hist_gradient_boosting,plus_cnyrub_basis,5,2026,UZS,156,0.2131709951946777,0.6175066423428272,0.630901232994492,0.7496527777777778
logit_base,logistic,base,5,2026,AMD,156,0.23187631290634206,0.6624779841413859,0.4254680364108733,0.578957100591716
logit_base,logistic,base,5,2026,KGS,156,0.21661086778542044,0.6269925756923652,0.41137819869779246,0.5927854938271605
logit_base,logistic,base,5,2026,KZT,156,0.26510616650523733,0.7518283226309064,0.3347532245923214,0.41236930710614916
logit_base,logistic,base,5,2026,TJS,156,0.22560807884299564,0.6485835945302407,0.4354485382237646,0.6035849056603774
logit_base,logistic,base,5,2026,UZS,156,0.2596952970948989,0.7249576895088499,0.5014213894824153,0.6140625
logit_plus_kazakhstan_official,logistic,plus_kazakhstan_official,5,2026,AMD,156,0.2302161417403409,0.6575421549638754,0.4359389995419849,0.6105769230769231
logit_plus_kazakhstan_official,logistic,plus_kazakhstan_official,5,2026,KGS,156,0.21391331680315842,0.6184588469280313,0.4293249040767888,0.6419753086419753
logit_plus_kazakhstan_official,logistic,plus_kazakhstan_official,5,2026,KZT,156,0.2687687114774119,0.7650179195397424,0.3240508539160019,0.4201665780613149
logit_plus_kazakhstan_official,logistic,plus_kazakhstan_official,5,2026,TJS,156,0.2240780174896736,0.6434555032262571,0.4359524878377309,0.6362264150943396
logit_plus_kazakhstan_official,logistic,plus_kazakhstan_official,5,2026,UZS,156,0.25743141550721915,0.7181689426792338,0.5364932893680838,0.6588541666666666
