config_id,fold_test_year,signal_date,corridor,wait_cbr_rows,future_date,counterfactual_official_rate_change_while_waiting_bps,is_fast_slow_confirmation_pair
logit_plus_kazakhstan_official,2023,2023-04-18,KZT,1,2023-04-19,37.949198819602344,False
logit_plus_kazakhstan_official,2023,2023-04-18,KZT,2,2023-04-20,-13.348410049919268,False
logit_plus_kazakhstan_official,2023,2023-04-18,KZT,3,2023-04-21,-107.06307399542148,False
logit_plus_kazakhstan_official,2023,2023-04-18,KZT,5,2023-04-25,-204.96980060123127,False
logit_plus_kazakhstan_official,2023,2023-04-22,KZT,1,2023-04-25,-70.67651515575201,False
logit_plus_kazakhstan_official,2023,2023-04-22,KZT,2,2023-04-26,-7.772180068551515,False
logit_plus_kazakhstan_official,2023,2023-04-22,KZT,3,2023-04-27,30.30591077089806,False
logit_plus_kazakhstan_official,2023,2023-04-22,KZT,5,2023-04-29,-132.46255095251234,False
logit_plus_kazakhstan_official,2023,2023-04-28,KZT,1,2023-04-29,-178.2096662882082,False
logit_plus_kazakhstan_official,2023,2023-04-28,KZT,2,2023-05-03,-184.4431087067844,False
logit_plus_kazakhstan_official,2023,2023-04-28,KZT,3,2023-05-04,-172.75540417195367,False
logit_plus_kazakhstan_official,2023,2023-04-28,KZT,5,2023-05-06,-398.3837574300408,False
logit_plus_kazakhstan_official,2023,2023-05-05,KZT,1,2023-05-06,-288.93729841092954,False
logit_plus_kazakhstan_official,2023,2023-05-05,KZT,2,2023-05-11,-304.86740857073704,False
logit_plus_kazakhstan_official,2023,2023-05-05,KZT,3,2023-05-12,-382.8292551125523,False
logit_plus_kazakhstan_official,2023,2023-05-05,KZT,5,2023-05-16,-16.43672143697539,False
logit_plus_kazakhstan_official,2023,2023-05-23,KZT,1,2023-05-24,100.49969435081962,False
logit_plus_kazakhstan_official,2023,2023-05-23,KZT,2,2023-05-25,152.4320140879043,False
logit_plus_kazakhstan_official,2023,2023-05-23,KZT,3,2023-05-26,92.92856782327164,False
logit_plus_kazakhstan_official,2023,2023-05-23,KZT,5,2023-05-30,73.86054545760467,False
logit_plus_kazakhstan_official,2023,2023-05-27,KZT,1,2023-05-30,32.898227740634226,False
logit_plus_kazakhstan_official,2023,2023-05-27,KZT,2,2023-05-31,140.02692180945962,False
logit_plus_kazakhstan_official,2023,2023-05-27,KZT,3,2023-06-01,118.74640437451455,False
logit_plus_kazakhstan_official,2023,2023-05-27,KZT,5,2023-06-03,66.96939738713326,False
logit_plus_kazakhstan_official,2023,2023-06-02,KZT,1,2023-06-03,-24.297772242977132,False
logit_plus_kazakhstan_official,2023,2023-06-02,KZT,2,2023-06-06,50.03459250034537,False
logit_plus_kazakhstan_official,2023,2023-06-02,KZT,3,2023-06-07,22.139200221391597,False
logit_plus_kazakhstan_official,2023,2023-06-02,KZT,5,2023-06-09,172.7964577279639,False
logit_plus_kazakhstan_official,2023,2023-06-08,KZT,1,2023-06-09,101.84452358967589,False
logit_plus_kazakhstan_official,2023,2023-06-08,KZT,2,2023-06-10,210.5043310029453,False
logit_plus_kazakhstan_official,2023,2023-06-08,KZT,3,2023-06-14,276.84342435035035,False
logit_plus_kazakhstan_official,2023,2023-06-08,KZT,5,2023-06-16,251.17618607923387,False
