epoch,training_bce,inner_brier
1,0.6026261410420742,0.17035953632832226
2,0.5720715412468494,0.16365207341613577
3,0.566458270608767,0.156783825148365
4,0.5594577840611508,0.154348158607291
5,0.555560790102367,0.15277124225579247
6,0.5510261142903423,0.151388605613611
7,0.5494737636418555,0.15243348292122003
8,0.5486202080270497,0.1512139204280987
9,0.5436591145144415,0.151538879845978
10,0.539974490132072,0.14976898349094162
11,0.5391144975451113,0.1499476894620344
12,0.534255889614308,0.1497579156520825
13,0.5336089115388835,0.15060304212945277
14,0.5305656676670224,0.15085213974936507
15,0.5293080272031916,0.1471031978717077
16,0.5251435514624793,0.1479045102218433
17,0.5263166160026831,0.1491120285159552
18,0.5201770671576881,0.15472992819276193
19,0.5171517126652466,0.1510572544415765
20,0.5145867603739552,0.15120269179603948
21,0.5121994817780959,0.1495587454617668
22,0.5099838082022842,0.1487674643847357
23,0.505180851256543,0.14854106755045862
24,0.5016276197673208,0.15684689582635897
25,0.4972176646740696,0.14703988808498422
26,0.5007889201748399,0.15111449700519322
27,0.494721821544358,0.14709311586325308
28,0.4954488856537024,0.14965997345255225
29,0.48511329384250496,0.15506264360862648
30,0.4854195206125776,0.14925956103997493
31,0.48149762501306176,0.14741432936664783
32,0.47393118985297333,0.1512753591387783
33,0.4704386580144145,0.15887548194340376
34,0.47050211549777987,0.1485992431593577
35,0.4658746595883501,0.1497317440606028
36,0.4610281402373132,0.15723404767638907
37,0.4544001857397838,0.15245250204744767
38,0.4513967540757409,0.15134507841923714
39,0.4482655538386751,0.1500463577162118
40,0.4448424272943277,0.1502312945524792
