epoch,training_bce
1,0.6096885865253165
2,0.5760352322843791
3,0.5687273242752898
4,0.5591454632466605
5,0.5546431188546997
6,0.5507879480237889
7,0.5479572897645464
8,0.5473691792274773
9,0.5460406099683344
10,0.5438377696751994
11,0.5403008721489483
12,0.5370011311693959
13,0.534080582007839
14,0.5332668670733708
15,0.5313019329782663
16,0.5271726079248538
17,0.5268095933962522
18,0.5447290127965441
19,0.5230671169223297
20,0.5202692285168532
21,0.5216081627185319
22,0.5185132049638725
23,0.5131241858298383
24,0.5140372568518424
25,0.5102379598264889
