config_id,fold_test_year,corridor,rows,pinball_bps,mae_bps,coverage80
chronos2_small_ft,2023,AMD,242,51.11681521441295,163.4259357231405,0.8933884297520662
chronos2_small_ft,2023,KGS,242,45.50196710817265,149.19809152066117,0.868595041322314
chronos2_small_ft,2023,KZT,242,54.17633015769648,176.00333567355372,0.8991735537190082
chronos2_small_ft,2023,TJS,242,43.47670842684233,140.95813746694216,0.8842975206611571
chronos2_small_ft,2023,UZS,242,47.4569606230506,154.44857209504133,0.8619834710743802
chronos2_small_ft,2024,AMD,243,36.96710665221062,118.9568902345679,0.8090534979423868
chronos2_small_ft,2024,KGS,243,35.409991953174895,112.69007275308643,0.7720164609053499
chronos2_small_ft,2024,KZT,243,40.756825353602515,130.0062830617284,0.759670781893004
chronos2_small_ft,2024,TJS,243,36.460149613907234,116.6404946255144,0.7744855967078189
chronos2_small_ft,2024,UZS,243,35.411906865790435,113.0788203415638,0.7794238683127572
chronos2_small_ft,2025,AMD,242,38.920488245052816,125.32175956198347,0.7074380165289256
chronos2_small_ft,2025,KGS,242,39.73876077265389,126.52980109504131,0.7140495867768596
chronos2_small_ft,2025,KZT,242,43.27281228018928,139.5856668264463,0.7264462809917356
chronos2_small_ft,2025,TJS,242,42.25707405482958,137.67535291322312,0.6727272727272727
chronos2_small_ft,2025,UZS,242,41.98011092191431,134.52774271900824,0.7347107438016529
chronos2_small_ft,2026,AMD,156,40.36024947393858,134.64789054487179,0.655128205128205
chronos2_small_ft,2026,KGS,156,43.53574037977554,145.89919755128204,0.655128205128205
chronos2_small_ft,2026,KZT,156,48.840617246736905,161.14124741025643,0.7153846153846154
chronos2_small_ft,2026,TJS,156,43.0423523539594,143.38097042307695,0.6641025641025641
chronos2_small_ft,2026,UZS,156,45.99229162262835,152.7877780448718,0.6435897435897436
chronos2_small_zs,2023,AMD,242,48.6928555804942,155.63869716528924,0.812396694214876
chronos2_small_zs,2023,KGS,242,42.87416437613241,138.16528126033057,0.8074380165289257
chronos2_small_zs,2023,KZT,242,53.95927858843503,178.61798615702477,0.8024793388429752
chronos2_small_zs,2023,TJS,242,41.22909772391419,133.79221481404957,0.8330578512396694
chronos2_small_zs,2023,UZS,242,47.09451273435192,152.0385116198347,0.7925619834710744
chronos2_small_zs,2024,AMD,243,37.07011934832132,118.14087938271607,0.7975308641975309
chronos2_small_zs,2024,KGS,243,34.93751273274029,112.7855887489712,0.7736625514403292
chronos2_small_zs,2024,KZT,243,39.758343102629325,127.61207286213993,0.7983539094650206
chronos2_small_zs,2024,TJS,243,35.498079881093894,113.19397750823046,0.7835390946502057
chronos2_small_zs,2024,UZS,243,35.73665711169411,114.03674819341565,0.7843621399176955
chronos2_small_zs,2025,AMD,242,37.14706522862652,120.93621274380165,0.7859504132231404
chronos2_small_zs,2025,KGS,242,38.344030198448564,124.40865101239669,0.7669421487603305
chronos2_small_zs,2025,KZT,242,42.33320826261512,137.02345148347106,0.7776859504132231
chronos2_small_zs,2025,TJS,242,41.41321256308244,136.35229671074381,0.7975206611570248
chronos2_small_zs,2025,UZS,242,42.56109194804662,140.05681125619836,0.8107438016528926
chronos2_small_zs,2026,AMD,156,40.07009676695905,134.18106541025642,0.6282051282051282
chronos2_small_zs,2026,KGS,156,39.95723190745688,133.8015086923077,0.6474358974358975
chronos2_small_zs,2026,KZT,156,49.004895554640356,161.98845630128207,0.6910256410256411
chronos2_small_zs,2026,TJS,156,40.273058742643585,136.4175294679487,0.6987179487179487
chronos2_small_zs,2026,UZS,156,42.68330384254832,143.14953478205126,0.6705128205128205
chronos2_synth_ft,2023,AMD,242,47.29869041478399,149.98953923140496,0.8793388429752067
chronos2_synth_ft,2023,KGS,242,43.01749160299654,139.93586354132233,0.8677685950413223
chronos2_synth_ft,2023,KZT,242,49.6600820996575,163.65241563223142,0.8999999999999999
chronos2_synth_ft,2023,TJS,242,44.5162835985185,145.33386353305787,0.8553719008264463
chronos2_synth_ft,2023,UZS,242,45.07047309783819,145.5926656735537,0.8545454545454546
chronos2_synth_ft,2024,AMD,243,37.1412014842201,117.87683308230453,0.7925925925925927
chronos2_synth_ft,2024,KGS,243,35.50387400307243,113.88179331275721,0.7802469135802469
chronos2_synth_ft,2024,KZT,243,39.06701435013639,122.58152306995885,0.7835390946502057
chronos2_synth_ft,2024,TJS,243,36.76320568863837,117.64586423045267,0.7679012345679014
chronos2_synth_ft,2024,UZS,243,36.12910370045004,115.3746238312757,0.7728395061728396
chronos2_synth_ft,2025,AMD,242,38.381457871862075,124.3164941198347,0.7289256198347107
chronos2_synth_ft,2025,KGS,242,39.76796534551299,128.2266988181818,0.7305785123966942
chronos2_synth_ft,2025,KZT,242,44.625848393307464,145.4972972396694,0.7214876033057852
chronos2_synth_ft,2025,TJS,242,41.37966225995005,136.63374845454544,0.7107438016528925
chronos2_synth_ft,2025,UZS,242,42.56089551951608,139.20407263636363,0.7165289256198347
chronos2_synth_ft,2026,AMD,156,39.017398342930115,130.30871335897433,0.6782051282051282
chronos2_synth_ft,2026,KGS,156,41.25922770918838,137.5428630320513,0.6474358974358975
chronos2_synth_ft,2026,KZT,156,48.56074099950772,159.40495614743588,0.6974358974358973
chronos2_synth_ft,2026,TJS,156,39.26484891202276,131.33343653846154,0.694871794871795
chronos2_synth_ft,2026,UZS,156,43.265865689287054,143.59085282692308,0.6717948717948717
chronos2_synth_ft_kzt,2023,AMD,242,46.41475197537538,145.05885862809916,0.8834710743801654
chronos2_synth_ft_kzt,2023,KGS,242,43.12636717411199,142.3898993016529,0.8512396694214877
chronos2_synth_ft_kzt,2023,KZT,242,49.95585882433522,165.18437048760333,0.8727272727272727
chronos2_synth_ft_kzt,2023,TJS,242,43.165614812312576,141.77792329752063,0.8537190082644628
chronos2_synth_ft_kzt,2023,UZS,242,44.02722214250995,143.88271189669422,0.8471074380165289
chronos2_synth_ft_kzt,2024,AMD,243,38.01118151922248,119.98745900823046,0.8263374485596708
chronos2_synth_ft_kzt,2024,KGS,243,36.56712014915291,117.00897480452676,0.8074074074074075
chronos2_synth_ft_kzt,2024,KZT,243,39.820631963017995,124.42898263786007,0.7934156378600824
chronos2_synth_ft_kzt,2024,TJS,243,38.32315090907364,121.17304249382717,0.7975308641975309
chronos2_synth_ft_kzt,2024,UZS,243,36.72748722579488,118.0161177654321,0.7909465020576131
chronos2_synth_ft_kzt,2025,AMD,242,38.11603012293763,123.53336972314048,0.7206611570247935
chronos2_synth_ft_kzt,2025,KGS,242,39.096600883326,126.72517913429753,0.71900826446281
chronos2_synth_ft_kzt,2025,KZT,242,41.619148585639024,135.4208910289256,0.73801652892562
chronos2_synth_ft_kzt,2025,TJS,242,41.6830238486361,136.24515209090907,0.6942148760330579
chronos2_synth_ft_kzt,2025,UZS,242,42.769901027468464,140.35664356611568,0.7297520661157024
chronos2_synth_ft_kzt,2026,AMD,156,38.73581803184901,130.07250819871794,0.6987179487179487
chronos2_synth_ft_kzt,2026,KGS,156,40.48648017668513,136.85629025641023,0.6820512820512821
chronos2_synth_ft_kzt,2026,KZT,156,48.95334534711104,161.84260670512822,0.7115384615384616
chronos2_synth_ft_kzt,2026,TJS,156,39.470405916074796,132.60376512820514,0.6897435897435897
chronos2_synth_ft_kzt,2026,UZS,156,42.85879031408186,145.02332747435898,0.6974358974358975
chronos2_synth_zs,2023,AMD,242,45.17638889371311,146.026575,0.8049586776859504
chronos2_synth_zs,2023,KGS,242,40.00418834597703,132.24284669008264,0.7975206611570248
chronos2_synth_zs,2023,KZT,242,47.58772444087597,160.82923461157026,0.8231404958677687
chronos2_synth_zs,2023,TJS,242,40.92909980235431,134.21858815289258,0.8173553719008265
chronos2_synth_zs,2023,UZS,242,41.71234694105125,136.62865525413227,0.7950413223140494
chronos2_synth_zs,2024,AMD,243,36.96356256510827,118.31884551028806,0.7588477366255145
chronos2_synth_zs,2024,KGS,243,34.339457747577484,110.85752830041154,0.774485596707819
chronos2_synth_zs,2024,KZT,243,38.90796456935747,123.45575250617284,0.762962962962963
chronos2_synth_zs,2024,TJS,243,35.65956489455274,113.0968688786008,0.7654320987654322
chronos2_synth_zs,2024,UZS,243,35.57210369415621,113.34294469135803,0.7522633744855968
chronos2_synth_zs,2025,AMD,242,37.44793225228006,120.57796169421486,0.7661157024793389
chronos2_synth_zs,2025,KGS,242,38.51474812166337,122.74901012603307,0.7669421487603304
chronos2_synth_zs,2025,KZT,242,43.245539062000425,141.75447899999998,0.768595041322314
chronos2_synth_zs,2025,TJS,242,41.14871251553089,134.11201172727272,0.7619834710743801
chronos2_synth_zs,2025,UZS,242,42.38614605398597,138.13289179752067,0.7892561983471075
chronos2_synth_zs,2026,AMD,156,39.02372768156251,132.65162118589745,0.6487179487179486
chronos2_synth_zs,2026,KGS,156,39.85302622874178,132.59700403205127,0.6282051282051282
chronos2_synth_zs,2026,KZT,156,48.67996756670273,163.62709969871796,0.7064102564102565
chronos2_synth_zs,2026,TJS,156,39.414329967122576,134.07572780769232,0.6948717948717948
chronos2_synth_zs,2026,UZS,156,42.2619815800759,144.18078760897436,0.6717948717948719
historical_path,2023,AMD,242,46.73003186788517,141.59673797197578,0.8545454545454546
historical_path,2023,KGS,242,42.32964355112422,126.86918576627784,0.8462809917355373
historical_path,2023,KZT,242,49.826389089255144,158.25272197565758,0.8925619834710745
historical_path,2023,TJS,242,43.179670024357705,128.94956040973506,0.8694214876033058
historical_path,2023,UZS,242,44.72984244091376,133.54600953661705,0.8735537190082645
historical_path,2024,AMD,243,37.469120820363365,112.67457283082813,0.811522633744856
historical_path,2024,KGS,243,35.391537982945565,106.49624322119472,0.8090534979423869
historical_path,2024,KZT,243,40.029766167519625,120.16114187829288,0.7999999999999999
historical_path,2024,TJS,243,36.7783170181877,110.24340484367967,0.8024691358024691
historical_path,2024,UZS,243,36.81153339387194,112.55112008302791,0.8090534979423869
historical_path,2025,AMD,242,37.46292706060319,118.77257666311974,0.8099173553719008
historical_path,2025,KGS,242,37.80739589455761,118.68494797751985,0.7975206611570248
historical_path,2025,KZT,242,39.04800956027945,125.74005323993273,0.8016528925619835
historical_path,2025,TJS,242,40.61213230071216,131.38804159873774,0.7818181818181817
historical_path,2025,UZS,242,41.60576378700465,134.34638267706248,0.7801652892561984
historical_path,2026,AMD,156,38.32245967150675,129.70857742505197,0.7448717948717948
historical_path,2026,KGS,156,39.2175177498941,132.53399554210213,0.7333333333333334
historical_path,2026,KZT,156,47.3870921246634,156.62826635898688,0.7128205128205127
historical_path,2026,TJS,156,38.9440572426399,132.25175478519537,0.7794871794871795
historical_path,2026,UZS,156,40.96801885956609,139.62383147997733,0.7269230769230768
random_walk_gaussian60,2023,AMD,242,44.60080111477657,139.537177795221,0.7785123966942149
random_walk_gaussian60,2023,KGS,242,40.20501821807687,125.8809085750629,0.784297520661157
random_walk_gaussian60,2023,KZT,242,46.797426676785726,154.10845437325722,0.7900826446280993
random_walk_gaussian60,2023,TJS,242,41.06857345264651,128.84357941052144,0.78099173553719
random_walk_gaussian60,2023,UZS,242,41.81855312207887,131.3571890523611,0.7818181818181817
random_walk_gaussian60,2024,AMD,243,36.890791269144856,112.50585293083034,0.7975308641975309
random_walk_gaussian60,2024,KGS,243,35.01043327112138,106.7094983496615,0.8148148148148149
random_walk_gaussian60,2024,KZT,243,38.73323937758169,119.47643805923776,0.837037037037037
random_walk_gaussian60,2024,TJS,243,36.28630835990379,109.31556018782251,0.8024691358024691
random_walk_gaussian60,2024,UZS,243,36.19347960829118,110.37799458444854,0.7967078189300413
random_walk_gaussian60,2025,AMD,242,36.27184852933404,117.67299313190554,0.8016528925619835
random_walk_gaussian60,2025,KGS,242,36.72698657001429,117.01372779967372,0.7909090909090909
random_walk_gaussian60,2025,KZT,242,38.78976613444024,125.17651841660177,0.8429752066115702
random_walk_gaussian60,2025,TJS,242,39.4916725613401,130.78000722837842,0.7867768595041321
random_walk_gaussian60,2025,UZS,242,40.89196022672745,134.46077236459274,0.8206611570247934
random_walk_gaussian60,2026,AMD,156,38.181742184834356,129.7840674718221,0.7397435897435898
random_walk_gaussian60,2026,KGS,156,38.93663861874487,132.37907585855095,0.7243589743589743
random_walk_gaussian60,2026,KZT,156,46.71963456300526,157.2446563304999,0.7615384615384616
random_walk_gaussian60,2026,TJS,156,38.79313582483316,131.2885284423828,0.7487179487179487
random_walk_gaussian60,2026,UZS,156,41.31383446869302,140.791226656009,0.7038461538461538
