config_id,fold_test_year,corridor,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
chronos2_synth_ft_kzt_hgb_aug,2023,TJS,51.0,0.39215686274509803,1.0095953274926992,17.74339906864536,9.77206301403314,83.0727391277601,0.20477287875525352,0.5946856672876805,0.7631541115583668,0.09125005023736349,242,242,1.0258620689655171,0.9375,0.9375
chronos2_synth_ft_kzt_hgb_aug,2023,UZS,60.0,0.38333333333333336,0.9764912280701753,12.48678534471175,6.8547068705462655,84.27893530928039,0.21175552901438208,0.6106801988343766,0.7235230934479054,0.06139055366472937,242,242,1.206896551724138,0.9791666666666666,0.9791666666666666
chronos2_synth_ft_kzt_hgb_aug,2024,AMD,49.0,0.4489795918367347,1.2835534213685473,41.173495422344324,27.791835998053187,67.7069518220023,0.19019219916272398,0.5615524731706151,0.7496649292628443,0.0830390483152729,243,243,0.98,0.9183673469387755,0.9183673469387755
chronos2_synth_ft_kzt_hgb_aug,2024,KGS,52.0,0.5,1.35,32.8582065469548,24.997274933796373,67.31805557798315,0.1988132531390662,0.5825922881276347,0.7336964415395787,0.037950599453492065,243,243,1.04,0.9591836734693877,0.9591836734693877
chronos2_synth_ft_kzt_hgb_aug,2024,KZT,48.0,0.3541666666666667,1.3240384615384615,19.864233127870595,15.289051913359271,108.69069721270326,0.1966282582764072,0.5793049835767146,0.6821089023336213,0.11027853530247599,243,243,0.96,0.8979591836734694,0.8979591836734694
chronos2_synth_ft_kzt_hgb_aug,2024,TJS,50.0,0.44,1.2578823529411765,34.88976003511659,25.71803954911953,76.48991216769292,0.19736738719072927,0.5787239114593832,0.7294117647058823,0.051219142050323456,243,243,1.0,0.8979591836734694,0.8979591836734694
chronos2_synth_ft_kzt_hgb_aug,2024,UZS,43.0,0.5348837209302325,1.6247093023255814,55.61746840520521,28.73744472038061,66.19206152618358,0.1823454377029744,0.5428997236857069,0.7610046012269939,0.08029019527878871,243,243,0.86,0.7959183673469388,0.7959183673469388
chronos2_synth_ft_kzt_hgb_aug,2025,AMD,39.0,0.41025641025641024,1.8732462506047411,60.05968588266072,30.428034451706615,80.87285551595578,0.16655961766818667,0.5044660859779765,0.6935210142757313,0.0633390361749872,242,242,0.7822349570200574,0.7755102040816326,0.7755102040816326
chronos2_synth_ft_kzt_hgb_aug,2025,KGS,40.0,0.425,2.0989795918367347,80.4682927200911,49.86504290505226,58.33313854083438,0.15762288970470192,0.4846556233051231,0.7049275668816749,0.0817576844491555,242,242,0.8022922636103152,0.7755102040816326,0.7755102040816326
chronos2_synth_ft_kzt_hgb_aug,2025,KZT,46.0,0.2608695652173913,1.315217391304348,36.67833549122682,22.42660584362327,122.54890276488213,0.15304129408010794,0.4747228400513158,0.7030713058419243,0.0998587708847156,242,242,0.9226361031518625,0.8571428571428571,0.8571428571428571
chronos2_synth_ft_kzt_hgb_aug,2025,TJS,45.0,0.5333333333333333,1.8438095238095238,70.64360847360443,47.524479303989274,81.67599784452857,0.19285763174962067,0.5801755696551602,0.6726328903654485,0.06028089686837318,242,242,0.9025787965616047,0.8163265306122449,0.8163265306122449
chronos2_synth_ft_kzt_hgb_aug,2025,UZS,44.0,0.4090909090909091,2.0625,65.40000399553085,49.6050422063504,105.22099320097415,0.15142945783080114,0.46158985368193,0.7302405498281787,0.06325050807057747,242,242,0.8825214899713467,0.8367346938775511,0.8367346938775511
chronos2_synth_ft_kzt_hgb_aug,2026,AMD,34.0,0.4411764705882353,1.323529411764706,34.93869837578654,25.406932260897673,73.44033793320604,0.20535112470506908,0.6055631006567183,0.6927699704142012,0.08232393661243922,156,156,1.0577777777777777,0.9354838709677419,0.9354838709677419
chronos2_synth_ft_kzt_hgb_aug,2026,KGS,34.0,0.47058823529411764,1.5294117647058822,40.54576906329049,27.848059132906375,75.87856671616996,0.1884928165276531,0.5591164717954253,0.7230902777777778,0.05804496054108357,156,156,1.0577777777777777,0.9354838709677419,0.9354838709677419
chronos2_synth_ft_kzt_hgb_aug,2026,KZT,33.0,0.3939393939393939,1.0781499202551834,39.23932807396513,30.541665744479538,85.02747858044415,0.2390261333463824,0.6972862848144459,0.6393762183235866,0.1439056192972555,156,156,1.0266666666666666,0.8709677419354839,0.8709677419354839
chronos2_synth_ft_kzt_hgb_aug,2026,TJS,34.0,0.5,1.56,34.16749537545332,22.303191087978092,81.80255546512146,0.1944841501573577,0.5768178375043997,0.7169811320754718,0.08234068521121964,156,156,1.0577777777777777,0.9354838709677419,0.9354838709677419
chronos2_synth_ft_kzt_hgb_aug,2026,UZS,34.0,0.5588235294117647,1.452941176470588,48.312955542980205,30.497388992373853,78.46500844142008,0.22028962879196096,0.6397732222258251,0.7284722222222222,0.13714999264454578,156,156,1.0577777777777777,0.9354838709677419,0.9354838709677419
chronos2_synth_zs,2023,AMD,60.0,0.48333333333333334,1.2312280701754383,2.2572001648325073,3.1126791650797476,101.06787703588058,0.24290473539981408,0.6797798490866285,0.5225205871822413,0.07467629993924706,242,242,1.206896551724138,1.0,1.0
chronos2_synth_zs,2023,KGS,60.0,0.3,0.772340425531915,-9.108189508108072,-7.715266279578949,94.44542161652413,0.24290030086261083,0.6800588276420447,0.5115008625646924,0.07226002140283072,242,242,1.206896551724138,0.9791666666666666,0.9791666666666666
chronos2_synth_zs,2023,KZT,61.0,0.32786885245901637,0.8915085651132806,-2.3673191587990616,-1.3405032603502003,113.01469442174198,0.23662405742531048,0.6671465488765774,0.5504883601380627,0.07154254435084548,242,242,1.2270114942528736,0.9791666666666666,0.9791666666666666
chronos2_synth_zs,2023,TJS,60.0,0.4166666666666667,1.072695035460993,3.224645779545218,4.3421949263474175,93.0764089699167,0.24230608191421127,0.678748515242525,0.53845600920069,0.07743195134899805,242,242,1.206896551724138,1.0,1.0
chronos2_synth_zs,2023,UZS,60.0,0.4166666666666667,1.0614035087719298,13.34610163724141,10.646943119725082,86.64861538149684,0.2447790250360324,0.6840117616774996,0.5165055495882563,0.07980899537618814,242,242,1.206896551724138,1.0,1.0
