stage,scope,config_id,benchmark,repetitions,pinball_bps_delta,pinball_bps_delta_ci95_low,pinball_bps_delta_ci95_high,mae_bps_delta,mae_bps_delta_ci95_low,mae_bps_delta_ci95_high,coverage80_delta,coverage80_delta_ci95_low,coverage80_delta_ci95_high
development_2023_2025,all,chronos2_small_ft,random_walk_gaussian60,10000,2.8717089321463556,1.3853765298438832,4.373998293576551,11.714970022027641,6.864832118170353,16.767618488210644,-0.010013755158184312,-0.03620364732311576,0.016914649257133506
development_2023_2025,all,chronos2_small_ft,chronos2_small_zs,10000,0.9495630682470049,-0.5761507517617194,2.5245986197819956,2.414722589270976,-2.596873046754534,7.960228200377052,-0.004456671251719396,-0.022809469074357176,0.01407960772034978
development_2023_2025,all,chronos2_small_zs,random_walk_gaussian60,10000,1.9221458638993507,0.16615452126419258,3.7342055961697995,9.300247432756665,4.433870981876836,14.353118008084174,-0.005557083906464925,-0.030668933694931684,0.01972827928007541
development_2023_2025,all,chronos2_synth_ft,random_walk_gaussian60,10000,2.071316851274879,0.5828322865547815,3.670033321759417,9.496676296305496,5.005486892767357,14.20985503232716,-0.009683631361760658,-0.03644955086615345,0.017238136683569206
development_2023_2025,all,chronos2_synth_ft,chronos2_synth_zs,10000,1.4181023306967262,0.2089904561469256,2.5889865672792722,3.9567734510316375,-0.20736378979820552,8.154324934704222,0.010508940852819807,-0.0038727524204702638,0.02527761943564652
development_2023_2025,all,chronos2_synth_zs,random_walk_gaussian60,10000,0.6532145205781529,-0.7424299088807986,1.966609435918922,5.539902845273859,2.259025855372579,8.6454932597713,-0.02019257221458046,-0.044747341563786014,0.005698673940167715
development_2023_2025,all,historical_path,random_walk_gaussian60,10000,1.3347702505055647,0.1212357452269327,2.606782216683444,1.1365337042511727,-1.2876113696682787,3.511422925609705,0.022118294360385145,-0.01370134182591814,0.05722842683104756
development_2023_2025,KZT,chronos2_small_ft,random_walk_gaussian60,10000,4.624928750790555,3.123322413085948,6.122973018615382,15.604301960741884,9.39716407777349,21.960129957905863,-0.028335625859697382,-0.06130056259792052,0.005049800501268982
development_2023_2025,KZT,chronos2_small_ft,chronos2_small_zs,10000,0.7187645653379673,-1.0843737126409114,2.621742895626079,0.782811244154057,-6.428526093598692,8.16512336227518,0.002200825309491056,-0.025000000000000005,0.030405070689884656
development_2023_2025,KZT,chronos2_small_zs,random_walk_gaussian60,10000,3.9061641854525866,1.8563755946361558,6.143117099163061,14.821490716587828,7.762127747377328,22.656282191539212,-0.03053645116918844,-0.06375256356497543,0.0011004885452734433
development_2023_2025,KZT,chronos2_synth_ft,random_walk_gaussian60,10000,3.007155209507055,1.398120480370494,4.57605236295284,10.979095952488793,5.273718726817121,16.61143910864211,-0.02173314993122421,-0.04904148358749032,0.004464778882738483
development_2023_2025,KZT,chronos2_synth_ft,chronos2_synth_zs,10000,1.2024683745952025,-0.2867951749932934,2.6405058005721025,1.8934443851444294,-3.8105887410060095,7.410831974701194,0.016781292984869328,0.001097356108010599,0.032381484437350345
development_2023_2025,KZT,chronos2_synth_ft_kzt,random_walk_gaussian60,10000,2.3566541006301396,0.811520324029051,3.9565987455933302,8.752377172571322,3.467190857190578,14.265228822052189,-0.022008253094910602,-0.049655312777803766,0.004664243947447372
development_2023_2025,KZT,chronos2_synth_ft_kzt,chronos2_synth_ft,10000,-0.6505011088769156,-1.6703790661828033,0.39748957349402275,-2.2267187799174697,-5.919048903386477,1.3407507684649624,-0.0002751031636863814,-0.00939611656054609,0.009379726915065952
development_2023_2025,KZT,chronos2_synth_zs,random_walk_gaussian60,10000,1.8046868349118528,-0.0503163694844033,3.7121636016266244,9.085651567344362,3.503059995064953,14.678980786163953,-0.03851444291609354,-0.06411441188277799,-0.011617856078494308
development_2023_2025,KZT,historical_path,random_walk_gaussian60,10000,1.5275926036115668,0.4255046381615009,2.6235174856710732,1.7959714099826318,-0.8151107320985456,4.245592536680194,0.007977991746905095,-0.032961047332555705,0.0484766641484093
inspected_diagnostic_2026,all,chronos2_small_ft,random_walk_gaussian60,10000,3.565253083385621,0.5672590955050665,7.288229651288126,9.273905843018843,-0.207418801157584,20.165674733599687,-0.06897435897435897,-0.14363636363636362,0.01961106811145507
inspected_diagnostic_2026,all,chronos2_small_ft,chronos2_small_zs,10000,1.9565328525581185,-1.5551897288561676,5.5495631990445995,5.663797864102564,-4.29855976100629,15.484410936486487,-0.000512820512820511,-0.06071995736743938,0.07253333333333332
inspected_diagnostic_2026,all,chronos2_small_zs,random_walk_gaussian60,10000,1.6087202308275024,-0.21799307559787184,3.334202516710206,3.61010797891628,-3.421024399466293,10.697387475386966,-0.06846153846153846,-0.11045282258064516,-0.03152259933774836
inspected_diagnostic_2026,all,chronos2_synth_ft,random_walk_gaussian60,10000,1.4846191985650732,-1.3864023663030391,5.00822729898691,2.1386534289162786,-6.537417296799374,11.873711543955872,-0.057692307692307696,-0.14117754662840745,0.0407950532978014
inspected_diagnostic_2026,all,chronos2_synth_ft,chronos2_synth_zs,10000,0.4270097257461067,-3.1993314899786514,3.94255326753886,-0.9902836858974366,-11.75406272986577,9.089260165029874,0.007948717948717952,-0.04165596177814707,0.07572892285646039
inspected_diagnostic_2026,all,chronos2_synth_zs,random_walk_gaussian60,10000,1.0576094728189667,-0.555500786883687,2.6172204352078547,3.1289371148137155,-2.759986617707785,8.981991505058257,-0.06564102564102564,-0.1062516447368421,-0.02666666666666667
inspected_diagnostic_2026,all,historical_path,random_walk_gaussian60,10000,0.17883199763191387,-0.5211133858037179,0.769109373802587,-0.14822583359021493,-2.1147009891432695,1.5596243777067686,0.003846153846153843,-0.02871794871794872,0.041119277885235325
inspected_diagnostic_2026,KZT,chronos2_small_ft,random_walk_gaussian60,10000,2.120982683731652,0.33438710089580553,4.10429840725703,3.8965910797565164,-5.08536804879829,12.54408289992205,-0.046153846153846156,-0.13951210826210825,0.05942126909518212
inspected_diagnostic_2026,KZT,chronos2_small_ft,chronos2_small_zs,10000,-0.16427830790344858,-2.60442580496568,2.0768137202314647,-0.8472088910256417,-10.00105301496275,5.80088936129032,0.024358974358974363,-0.03611111111111111,0.0881578947368421
inspected_diagnostic_2026,KZT,chronos2_small_zs,random_walk_gaussian60,10000,2.2852609916350994,0.4829201943422514,4.382636110032612,4.743799970782159,-1.896864369627339,12.245110863135027,-0.0705128205128205,-0.12883435582822086,-0.007781226126814525
inspected_diagnostic_2026,KZT,chronos2_synth_ft,random_walk_gaussian60,10000,1.8411064365024608,-0.943692170585995,5.390156320392927,2.1602998169360026,-4.677846256988528,8.64596651816853,-0.0641025641025641,-0.1812520833333333,0.06293706293706296
inspected_diagnostic_2026,KZT,chronos2_synth_ft,chronos2_synth_zs,10000,-0.1192265671950128,-4.183979784384587,4.379039833826285,-4.222143551282052,-15.10100433418568,7.544189092721514,-0.00897435897435897,-0.0729559748427673,0.048277019208516535
inspected_diagnostic_2026,KZT,chronos2_synth_ft_kzt,random_walk_gaussian60,10000,2.2337107841057873,0.6274149946496528,3.8889291131428987,4.597950374628312,0.274030844199682,8.504741569928958,-0.049999999999999996,-0.1486111111111111,0.05866666666666667
inspected_diagnostic_2026,KZT,chronos2_synth_ft_kzt,chronos2_synth_ft,10000,0.3926043476033262,-2.562974521235088,3.18403919235801,2.4376505576923093,-7.806044515793741,12.635124020547948,0.014102564102564106,-0.00794701986754967,0.03975155279503106
inspected_diagnostic_2026,KZT,chronos2_synth_zs,random_walk_gaussian60,10000,1.960333003697474,0.05867652222779345,4.012130957279379,6.382443368218055,-1.5881833176097488,14.443319144603228,-0.05512820512820514,-0.11862183908045976,0.02133435114503815
inspected_diagnostic_2026,KZT,historical_path,random_walk_gaussian60,10000,0.6674575616581404,-0.6606835430792528,1.9349157824027439,-0.6163899715130139,-4.23867323181846,2.1385723743912837,-0.04871794871794872,-0.10374999999999998,0.001315789473684211
