stage,scope,config_id,rows,pinball_bps,mae_bps,coverage80
development_2023_2025,all,chronos2_small_ft,3635,42.18645831509376,135.91216948033014,0.7904814305364511
development_2023_2025,all,chronos2_small_zs,3635,41.23689524684676,133.49744689105913,0.7949381017881707
development_2023_2025,all,chronos2_synth_ft,3635,41.38606623422229,133.69387575460797,0.790811554332875
development_2023_2025,all,chronos2_synth_zs,3635,39.96796390352556,129.73710230357634,0.7803026134800549
development_2023_2025,all,historical_path,3635,40.649519633452975,125.33373316255366,0.8226134800550206
development_2023_2025,all,random_walk_gaussian60,3635,39.314749382947404,124.19719945830248,0.8004951856946355
development_2023_2025,KZT,chronos2_small_ft,727,46.06134942351275,148.5062797647868,0.7950481430536451
development_2023_2025,KZT,chronos2_small_zs,727,45.342584858174774,147.72346852063274,0.7928473177441541
development_2023_2025,KZT,chronos2_synth_ft,727,44.44357588222925,143.88107375653368,0.8016506189821182
development_2023_2025,KZT,chronos2_synth_ft_kzt,727,43.79307477335234,141.65435497661625,0.8013755158184319
development_2023_2025,KZT,chronos2_synth_zs,727,43.24110750763405,141.98762937138926,0.784869325997249
development_2023_2025,KZT,historical_path,727,42.96401327633376,134.69794921402755,0.8313617606602476
development_2023_2025,KZT,random_walk_gaussian60,727,41.43642067272219,132.90197780404492,0.8233837689133424
inspected_diagnostic_2026,all,chronos2_small_ft,780,44.35425021540775,147.5714167948718,0.6666666666666666
inspected_diagnostic_2026,all,chronos2_small_zs,780,42.39771736284963,141.90761893076922,0.6671794871794873
inspected_diagnostic_2026,all,chronos2_synth_ft,780,42.2736163305872,140.43616438076924,0.6779487179487179
inspected_diagnostic_2026,all,chronos2_synth_zs,780,41.8466066048411,141.42644806666667,0.6700000000000002
inspected_diagnostic_2026,all,historical_path,780,40.96782912965405,138.14928511826272,0.7394871794871795
inspected_diagnostic_2026,all,random_walk_gaussian60,780,40.78899713202213,138.29751095185296,0.7356410256410257
inspected_diagnostic_2026,KZT,chronos2_small_ft,156,48.840617246736905,161.14124741025643,0.7153846153846154
inspected_diagnostic_2026,KZT,chronos2_small_zs,156,49.004895554640356,161.98845630128207,0.6910256410256411
inspected_diagnostic_2026,KZT,chronos2_synth_ft,156,48.56074099950772,159.40495614743588,0.6974358974358973
inspected_diagnostic_2026,KZT,chronos2_synth_ft_kzt,156,48.95334534711104,161.84260670512822,0.7115384615384616
inspected_diagnostic_2026,KZT,chronos2_synth_zs,156,48.67996756670273,163.62709969871796,0.7064102564102565
inspected_diagnostic_2026,KZT,historical_path,156,47.3870921246634,156.62826635898688,0.7128205128205127
inspected_diagnostic_2026,KZT,random_walk_gaussian60,156,46.71963456300526,157.2446563304999,0.7615384615384616
