url,final_url,retrieved_utc,status,bytes,sha256,content_type,raw_path,group,application_error
https://www.binance.com/en/support/announcement/detail/3016096ace174be381fa22b6636e2c5f,https://www.binance.com/en/support/announcement/detail/3016096ace174be381fa22b6636e2c5f,2026-09-05T08:19:06.298816+00:00,202,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,text/html; charset=UTF-8,raw/binance_p2p_rub_ceased_47e35222e69d7640e22d.bin,binance_p2p_rub_ceased,
https://api.exmo.me/v1.1/candles_history?symbol=USDT_KZT&resolution=D&from=1546300800&to=1577836799,https://api.exmo.me/v1.1/candles_history?symbol=USDT_KZT&resolution=D&from=1546300800&to=1577836799,2026-09-05T08:19:03.717417+00:00,200,81,e8e0ed5aeb233c4e1a3ed6eee1fcd41702ee7693bfe4a24a0f91c9928bb2e0dc,application/json; charset=utf-8,raw/exmo_me_klines_cafc30755f31530f2461.failed-1788596462133508000.bin,exmo_me_klines,"{'result': False, 'error': 'Error 40034: Access is denied, rate limit is exceeded'}"
https://api.binance.kz/api/v3/klines?symbol=USDTKZT&interval=1d&limit=3,https://api.binance.kz/api/v3/klines?symbol=USDTKZT&interval=1d&limit=3,2026-09-05T08:19:07.925624+00:00,567,7352,f80542aad2450203dd28c4451aabe0e651ed492d97c10dd9240fca457bad562d,text/html; charset=UTF-8,raw/binance_kz_blocked_e832f78cc62e752d65b7.bin,binance_kz_blocked,"<!doctype html><html lang=zh-CN><meta charset=UTF-8><meta content=""width=device-width,initial-scale="
https://api.bybit.com/v5/market/kline?category=spot&symbol=USDTKZT&interval=D&limit=3,https://api.bybit.com/v5/market/kline?category=spot&symbol=USDTKZT&interval=D&limit=3,2026-09-05T08:19:09.087042+00:00,200,99,d10deba8956ff762a19f0ee13c32cce0af2f7f20d1f7218430a5deffb89915b7,application/json; charset=utf-8,raw/bybit_kzt_probe_c8afe7a39babb593090a.bin,bybit_kzt_probe,"{'retCode': 10001, 'retMsg': 'Not supported symbols', 'result': {}, 'retExtInfo': {}, 'time': 1788596349608}"
https://api.exmo.me/v1.1/candles_history?symbol=USDT_USD&resolution=D&from=1514764800&to=1546300799,https://api.exmo.me/v1.1/candles_history?symbol=USDT_USD&resolution=D&from=1514764800&to=1546300799,2026-09-05T08:19:05.544354+00:00,200,81,e8e0ed5aeb233c4e1a3ed6eee1fcd41702ee7693bfe4a24a0f91c9928bb2e0dc,application/json; charset=utf-8,raw/exmo_me_klines_02e9b5b5862f8d006c63.failed-1788596526594991000.bin,exmo_me_klines,"{'result': False, 'error': 'Error 40034: Access is denied, rate limit is exceeded'}"
https://api.exmo.me/v1.1/candles_history?symbol=BTC_RUB&resolution=D&from=1672531200&to=1704067199,https://api.exmo.me/v1.1/candles_history?symbol=BTC_RUB&resolution=D&from=1672531200&to=1704067199,2026-09-05T08:19:04.540910+00:00,200,81,e8e0ed5aeb233c4e1a3ed6eee1fcd41702ee7693bfe4a24a0f91c9928bb2e0dc,application/json; charset=utf-8,raw/exmo_me_klines_4936cb576c5d1eee94fc.failed-1788596491999968000.bin,exmo_me_klines,"{'result': False, 'error': 'Error 40034: Access is denied, rate limit is exceeded'}"
https://api.exmo.me/v1.1/candles_history?symbol=USDT_USD&resolution=D&from=1546300800&to=1577836799,https://api.exmo.me/v1.1/candles_history?symbol=USDT_USD&resolution=D&from=1546300800&to=1577836799,2026-09-05T08:19:05.605172+00:00,200,81,e8e0ed5aeb233c4e1a3ed6eee1fcd41702ee7693bfe4a24a0f91c9928bb2e0dc,application/json; charset=utf-8,raw/exmo_me_klines_8838310541caa40fb89c.failed-1788596530976517000.bin,exmo_me_klines,"{'result': False, 'error': 'Error 40034: Access is denied, rate limit is exceeded'}"
https://api.exmo.me/v1.1/candles_history?symbol=USDT_KZT&resolution=D&from=1483228800&to=1514764799,https://api.exmo.me/v1.1/candles_history?symbol=USDT_KZT&resolution=D&from=1483228800&to=1514764799,2026-09-05T08:19:03.482602+00:00,200,81,e8e0ed5aeb233c4e1a3ed6eee1fcd41702ee7693bfe4a24a0f91c9928bb2e0dc,application/json; charset=utf-8,raw/exmo_me_klines_2d2436c201b9ca6dfb10.failed-1788596452307524000.bin,exmo_me_klines,"{'result': False, 'error': 'Error 40034: Access is denied, rate limit is exceeded'}"
https://data.binance.vision/data/spot/monthly/klines/USDTKZT/1d/USDTKZT-1d-2025-01.zip,https://data.binance.vision/data/spot/monthly/klines/USDTKZT/1d/USDTKZT-1d-2025-01.zip,2026-09-05T08:19:45.857284+00:00,404,329,fd18dfc928c72dbee71d91f6489012ceaf427936470a8960cdc4af0f2ef3c8e6,application/xml,raw/binance_archive_21e558badb53210c5ed6.bin,binance_archive,"<?xml version=""1.0"" encoding=""UTF-8""?>
<Error><Code>NoSuchKey</Code><Message>The specified key does "
https://api.huobi.pro/market/history/kline?symbol=usdtrub&period=1day&size=2000,https://api.huobi.pro/market/history/kline?symbol=usdtrub&period=1day&size=2000,2026-09-05T08:33:42.600373+00:00,200,95,62e99ecf9c2db1069fb11dbf32353ee9a708a2c863bdda9dd3759b0be90705f4,application/json,raw/htx_rub_history_bd05f6264cb64d7183ad.bin,htx_rub_history,"{'ts': 1788597223395, 'status': 'error', 'err-code': 'invalid-parameter', 'err-msg': 'invalid symbol'}"
https://api-adapter.backend.currency.com/api/v2/exchangeInfo,https://api-adapter.backend.currency.com/api/v2/exchangeInfo,2026-09-05T08:19:10.592857+00:00,0,98,7058d44ba18182e62922bbf9675510a35d53f4ccc525a3f75486677deac3703b,error,raw/currency_com_metadata_19b159e5bcb61665d122.bin,currency_com_metadata,<urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1016)>
https://api.exmo.me/v1.1/candles_history?symbol=BTC_RUB&resolution=D&from=1735689600&to=1767225599,https://api.exmo.me/v1.1/candles_history?symbol=BTC_RUB&resolution=D&from=1735689600&to=1767225599,2026-09-05T08:19:04.773000+00:00,200,81,e8e0ed5aeb233c4e1a3ed6eee1fcd41702ee7693bfe4a24a0f91c9928bb2e0dc,application/json; charset=utf-8,raw/exmo_me_klines_03d5ca94bed9db67d563.failed-1788596502087926000.bin,exmo_me_klines,"{'result': False, 'error': 'Error 40034: Access is denied, rate limit is exceeded'}"
https://exmo.com/blog/en/product/exmo-coms-product-release-recap-main-updates-of-the-year,https://exmo.com/blog/en/product/exmo-coms-product-release-recap-main-updates-of-the-year,2026-09-05T08:19:06.692899+00:00,0,61,2b9e9811123e917386d3705122d73c8d62a504b6d7243617a21222d54ac80173,error,raw/exmo_com_split_47db62f64a079a784c91.bin,exmo_com_split,<urlopen error _ssl.c:999: The handshake operation timed out>
https://api.exmo.me/v1.1/candles_history?symbol=USDT_KZT&resolution=D&from=1609459200&to=1640995199,https://api.exmo.me/v1.1/candles_history?symbol=USDT_KZT&resolution=D&from=1609459200&to=1640995199,2026-09-05T08:19:03.735681+00:00,200,81,e8e0ed5aeb233c4e1a3ed6eee1fcd41702ee7693bfe4a24a0f91c9928bb2e0dc,application/json; charset=utf-8,raw/exmo_me_klines_f2f13f50c81f532d0aad.failed-1788596471472346000.bin,exmo_me_klines,"{'result': False, 'error': 'Error 40034: Access is denied, rate limit is exceeded'}"
https://api.exmo.me/v1.1/candles_history?symbol=USDT_USD&resolution=D&from=1609459200&to=1640995199,https://api.exmo.me/v1.1/candles_history?symbol=USDT_USD&resolution=D&from=1609459200&to=1640995199,2026-09-05T08:19:05.725505+00:00,200,81,e8e0ed5aeb233c4e1a3ed6eee1fcd41702ee7693bfe4a24a0f91c9928bb2e0dc,application/json; charset=utf-8,raw/exmo_me_klines_557c74d5867a18224077.failed-1788596539804443000.bin,exmo_me_klines,"{'result': False, 'error': 'Error 40034: Access is denied, rate limit is exceeded'}"
https://api.exmo.me/v1.1/candles_history?symbol=BTC_RUB&resolution=D&from=1767225600&to=1788307199,https://api.exmo.me/v1.1/candles_history?symbol=BTC_RUB&resolution=D&from=1767225600&to=1788307199,2026-09-05T08:19:04.776332+00:00,200,81,e8e0ed5aeb233c4e1a3ed6eee1fcd41702ee7693bfe4a24a0f91c9928bb2e0dc,application/json; charset=utf-8,raw/exmo_me_klines_0c5091c540978497a2c0.failed-1788596506707876000.bin,exmo_me_klines,"{'result': False, 'error': 'Error 40034: Access is denied, rate limit is exceeded'}"
