date,pair,base,quote,source_quote,quote_per_rub,rub_per_quote,rub_per_usd,quote_per_usd,published_at_utc,source
2010-01-05,RUB/BYN,RUB,BYN,BYR,0.009604064470447374,104.12258300400791,29.779722,0.28600637,2010-01-05T17:00:00+00:00,openexchangerates.org
2010-01-05,RUB/KGS,RUB,KGS,KGS,1.4798179445731563,0.675758801052006,29.779722,44.068567,2010-01-05T17:00:00+00:00,openexchangerates.org
2010-01-05,RUB/KZT,RUB,KZT,KZT,4.979434092769569,0.2008260339165968,29.779722,148.286163,2010-01-05T17:00:00+00:00,openexchangerates.org
2010-01-05,RUB/MDL,RUB,MDL,MDL,0.4096730318704789,2.4409710237313287,29.779722,12.199949,2010-01-05T17:00:00+00:00,openexchangerates.org
2010-01-05,RUB/TJS,RUB,TJS,TJS,0.1468007659708845,6.811953557506188,29.779722,4.371686,2010-01-05T17:00:00+00:00,openexchangerates.org
2010-01-05,RUB/UZS,RUB,UZS,UZS,51.289212135694214,0.019497277465567852,29.779722,1527.378479,2010-01-05T17:00:00+00:00,openexchangerates.org
2010-01-06,RUB/AMD,RUB,AMD,AMD,12.58390478985886,0.07946658979857205,29.953868,376.936623,2010-01-06T17:00:00+00:00,openexchangerates.org
2010-01-06,RUB/AZN,RUB,AZN,AZN,0.0267077360426373,37.442335,29.953868,0.8,2010-01-06T17:00:00+00:00,openexchangerates.org
2010-01-06,RUB/BYN,RUB,BYN,BYR,0.00955820653279236,104.62213769593627,29.953868,0.2863052568,2010-01-06T17:00:00+00:00,openexchangerates.org
2010-01-06,RUB/KGS,RUB,KGS,KGS,1.4712632104808634,0.6796880346604758,29.953868,44.070024,2010-01-06T17:00:00+00:00,openexchangerates.org
2010-01-06,RUB/KZT,RUB,KZT,KZT,4.947107765848471,0.20213830935791058,29.953868,148.185013,2010-01-06T17:00:00+00:00,openexchangerates.org
2010-01-06,RUB/MDL,RUB,MDL,MDL,0.4072922735721477,2.455239308198809,29.953868,12.199979,2010-01-06T17:00:00+00:00,openexchangerates.org
2010-01-06,RUB/TJS,RUB,TJS,TJS,0.1459407179066156,6.852097305975149,29.953868,4.371489,2010-01-06T17:00:00+00:00,openexchangerates.org
2010-01-06,RUB/UZS,RUB,UZS,UZS,51.103903575992256,0.019567976808522763,29.953868,1530.759582,2010-01-06T17:00:00+00:00,openexchangerates.org
2010-01-07,RUB/AMD,RUB,AMD,AMD,12.605450751060259,0.07933076093418467,29.894339,376.831618,2010-01-07T17:00:00+00:00,openexchangerates.org
2010-01-07,RUB/AZN,RUB,AZN,AZN,0.02676088606608763,37.367970459963075,29.894339,0.799999,2010-01-07T17:00:00+00:00,openexchangerates.org
2010-01-07,RUB/BYN,RUB,BYN,BYR,0.009575616781491639,104.4319152300313,29.894339,0.2862567342,2010-01-07T17:00:00+00:00,openexchangerates.org
2010-01-07,RUB/KGS,RUB,KGS,KGS,1.473918356247984,0.6784636311509182,29.894339,44.061815,2010-01-07T17:00:00+00:00,openexchangerates.org
2010-01-07,RUB/KZT,RUB,KZT,KZT,4.956040673787769,0.20177396954971452,29.894339,148.15756,2010-01-07T17:00:00+00:00,openexchangerates.org
2010-01-07,RUB/MDL,RUB,MDL,MDL,0.4081028852987852,2.45036248461676,29.894339,12.199966,2010-01-07T17:00:00+00:00,openexchangerates.org
2010-01-07,RUB/TJS,RUB,TJS,TJS,0.14621477330540741,6.839254183373393,29.894339,4.370994,2010-01-07T17:00:00+00:00,openexchangerates.org
2010-01-07,RUB/UZS,RUB,UZS,UZS,51.21622605537456,0.019525062212096773,29.894339,1531.075224,2010-01-07T17:00:00+00:00,openexchangerates.org
2010-01-08,RUB/AMD,RUB,AMD,AMD,12.684724266012863,0.07883498127581498,29.67661,376.439615,2010-01-08T17:00:00+00:00,openexchangerates.org
2010-01-08,RUB/AZN,RUB,AZN,AZN,0.026957054730981738,37.0960407203054,29.67661,0.799994,2010-01-08T17:00:00+00:00,openexchangerates.org
2010-01-08,RUB/BYN,RUB,BYN,BYR,0.009645402055693019,103.676341766362,29.67661,0.2862428351,2010-01-08T17:00:00+00:00,openexchangerates.org
2010-01-08,RUB/KGS,RUB,KGS,KGS,1.484375540198156,0.6736839653572475,29.67661,44.051234,2010-01-08T17:00:00+00:00,openexchangerates.org
2010-01-08,RUB/KZT,RUB,KZT,KZT,4.991215674566604,0.2003519914187703,29.67661,148.122361,2010-01-08T17:00:00+00:00,openexchangerates.org
2010-01-08,RUB/MDL,RUB,MDL,MDL,0.4110967189311717,2.432517590021014,29.67661,12.199957,2010-01-08T17:00:00+00:00,openexchangerates.org
2010-01-08,RUB/TJS,RUB,TJS,TJS,0.14724175032121256,6.791551973665541,29.67661,4.369636,2010-01-08T17:00:00+00:00,openexchangerates.org
2010-01-08,RUB/UZS,RUB,UZS,UZS,51.89763015384843,0.019268702579203333,29.67661,1540.14573,2010-01-08T17:00:00+00:00,openexchangerates.org
2010-01-09,RUB/AMD,RUB,AMD,AMD,12.684724266012863,0.07883498127581498,29.67661,376.439615,2010-01-09T17:00:00+00:00,openexchangerates.org
2010-01-09,RUB/AZN,RUB,AZN,AZN,0.026957054730981738,37.0960407203054,29.67661,0.799994,2010-01-09T17:00:00+00:00,openexchangerates.org
2010-01-09,RUB/BYN,RUB,BYN,BYR,0.009645402055693019,103.676341766362,29.67661,0.2862428351,2010-01-09T17:00:00+00:00,openexchangerates.org
2010-01-09,RUB/KGS,RUB,KGS,KGS,1.484375540198156,0.6736839653572475,29.67661,44.051234,2010-01-09T17:00:00+00:00,openexchangerates.org
2010-01-09,RUB/KZT,RUB,KZT,KZT,4.991215674566604,0.2003519914187703,29.67661,148.122361,2010-01-09T17:00:00+00:00,openexchangerates.org
2010-01-09,RUB/MDL,RUB,MDL,MDL,0.4110967189311717,2.432517590021014,29.67661,12.199957,2010-01-09T17:00:00+00:00,openexchangerates.org
2010-01-09,RUB/TJS,RUB,TJS,TJS,0.14724175032121256,6.791551973665541,29.67661,4.369636,2010-01-09T17:00:00+00:00,openexchangerates.org
2010-01-09,RUB/UZS,RUB,UZS,UZS,51.89763015384843,0.019268702579203333,29.67661,1540.14573,2010-01-09T17:00:00+00:00,openexchangerates.org
2010-01-10,RUB/AMD,RUB,AMD,AMD,12.684724266012863,0.07883498127581498,29.67661,376.439615,2010-01-10T17:00:00+00:00,openexchangerates.org
2010-01-10,RUB/AZN,RUB,AZN,AZN,0.026957054730981738,37.0960407203054,29.67661,0.799994,2010-01-10T17:00:00+00:00,openexchangerates.org
2010-01-10,RUB/BYN,RUB,BYN,BYR,0.009645402055693019,103.676341766362,29.67661,0.2862428351,2010-01-10T17:00:00+00:00,openexchangerates.org
2010-01-10,RUB/KGS,RUB,KGS,KGS,1.484375540198156,0.6736839653572475,29.67661,44.051234,2010-01-10T17:00:00+00:00,openexchangerates.org
2010-01-10,RUB/KZT,RUB,KZT,KZT,4.991215674566604,0.2003519914187703,29.67661,148.122361,2010-01-10T17:00:00+00:00,openexchangerates.org
2010-01-10,RUB/MDL,RUB,MDL,MDL,0.4110967189311717,2.432517590021014,29.67661,12.199957,2010-01-10T17:00:00+00:00,openexchangerates.org
2010-01-10,RUB/TJS,RUB,TJS,TJS,0.14724175032121256,6.791551973665541,29.67661,4.369636,2010-01-10T17:00:00+00:00,openexchangerates.org
2010-01-10,RUB/UZS,RUB,UZS,UZS,51.89763015384843,0.019268702579203333,29.67661,1540.14573,2010-01-10T17:00:00+00:00,openexchangerates.org
2010-01-11,RUB/AMD,RUB,AMD,AMD,12.825929995018738,0.07796705583052257,29.384109,376.878525,2010-01-11T17:00:00+00:00,openexchangerates.org
2010-01-11,RUB/AZN,RUB,AZN,AZN,0.027225702164390967,36.729998512505574,29.384109,0.800003,2010-01-11T17:00:00+00:00,openexchangerates.org
2010-01-11,RUB/BYN,RUB,BYN,BYR,0.009692962335526321,103.16763496901596,29.384109,0.2848190618,2010-01-11T17:00:00+00:00,openexchangerates.org
2010-01-11,RUB/KGS,RUB,KGS,KGS,1.5007998030500092,0.6663113880797054,29.384109,44.099665,2010-01-11T17:00:00+00:00,openexchangerates.org
2010-01-11,RUB/KZT,RUB,KZT,KZT,5.043032102828096,0.19829340357345873,29.384109,148.185005,2010-01-11T17:00:00+00:00,openexchangerates.org
2010-01-11,RUB/MDL,RUB,MDL,MDL,0.4189343634683631,2.387008770827456,29.384109,12.310013,2010-01-11T17:00:00+00:00,openexchangerates.org
2010-01-11,RUB/TJS,RUB,TJS,TJS,0.14874383293364452,6.722967804965102,29.384109,4.370705,2010-01-11T17:00:00+00:00,openexchangerates.org
2010-01-11,RUB/UZS,RUB,UZS,UZS,52.00889814287036,0.019227479060466984,29.384109,1528.235132,2010-01-11T17:00:00+00:00,openexchangerates.org
2010-01-12,RUB/AMD,RUB,AMD,AMD,12.88352541084283,0.07761850643445743,29.347354,378.097381,2010-01-12T17:00:00+00:00,openexchangerates.org
2010-01-12,RUB/AZN,RUB,AZN,AZN,0.027341442775386155,36.574514674120984,29.347354,0.802399,2010-01-12T17:00:00+00:00,openexchangerates.org
2010-01-12,RUB/BYN,RUB,BYN,BYR,0.009651634103026802,103.60939809004932,29.347354,0.2832499227,2010-01-12T17:00:00+00:00,openexchangerates.org
2010-01-12,RUB/KGS,RUB,KGS,KGS,1.5041986408723593,0.6648058127615715,29.347354,44.14425,2010-01-12T17:00:00+00:00,openexchangerates.org
2010-01-12,RUB/KZT,RUB,KZT,KZT,5.044917746247243,0.19821928727061383,29.347354,148.054987,2010-01-12T17:00:00+00:00,openexchangerates.org
2010-01-12,RUB/MDL,RUB,MDL,MDL,0.41879704044187427,2.3877914680220673,29.347354,12.290585,2010-01-12T17:00:00+00:00,openexchangerates.org
2010-01-12,RUB/TJS,RUB,TJS,TJS,0.14895813094427526,6.713295834613397,29.347354,4.371527,2010-01-12T17:00:00+00:00,openexchangerates.org
2010-01-12,RUB/UZS,RUB,UZS,UZS,52.210105108624106,0.019153380325886746,29.347354,1532.228437,2010-01-12T17:00:00+00:00,openexchangerates.org
2010-01-13,RUB/AMD,RUB,AMD,AMD,12.752486115017733,0.07841608224316106,29.646959,378.072433,2010-01-13T17:00:00+00:00,openexchangerates.org
2010-01-13,RUB/AZN,RUB,AZN,AZN,0.02706510303468224,36.94794727803409,29.646959,0.802398,2010-01-13T17:00:00+00:00,openexchangerates.org
2010-01-13,RUB/BYN,RUB,BYN,BYR,0.009555613312650382,104.65053024656521,29.646959,0.28329487610000004,2010-01-13T17:00:00+00:00,openexchangerates.org
2010-01-13,RUB/KGS,RUB,KGS,KGS,1.489623472006016,0.6713105820314044,29.646959,44.162806,2010-01-13T17:00:00+00:00,openexchangerates.org
2010-01-13,RUB/KZT,RUB,KZT,KZT,4.994109109133251,0.20023591358290413,29.646959,148.060148,2010-01-13T17:00:00+00:00,openexchangerates.org
2010-01-13,RUB/MDL,RUB,MDL,MDL,0.4131956670496964,2.420160906188125,29.646959,12.249995,2010-01-13T17:00:00+00:00,openexchangerates.org
2010-01-13,RUB/TJS,RUB,TJS,TJS,0.14745161552657055,6.781885681135868,29.646959,4.371492,2010-01-13T17:00:00+00:00,openexchangerates.org
2010-01-13,RUB/UZS,RUB,UZS,UZS,51.70207082621864,0.01934158504716778,29.646959,1532.809174,2010-01-13T17:00:00+00:00,openexchangerates.org
2010-01-14,RUB/AMD,RUB,AMD,AMD,12.794599614174436,0.07815797525169563,29.520076,377.697553,2010-01-14T17:00:00+00:00,openexchangerates.org
2010-01-14,RUB/AZN,RUB,AZN,AZN,0.027178046560584736,36.79440307716086,29.520076,0.802298,2010-01-14T17:00:00+00:00,openexchangerates.org
