config_id,track,rows,dates,signals,brier,log_loss,auc,hit_rate,lift,forward_delta_bps,symmetric_bps,symmetric_delta_bps,regret_bps,min_cell_week_coverage,mean_cell_week_coverage,min_observed_calendar_week_coverage,mean_observed_calendar_week_coverage
v3_baseline_reproduction,development_2023_2025,727,727,133,0.18928210730174638,0.5593945484216133,0.6927722772277228,0.42857142857142855,1.5875079151805231,42.03722860984865,23.013775152032377,21.351971899261972,97.06472245327141,0.6666666666666666,0.8208616780045351,0.68,0.8018300653594771
v3_baseline_reproduction,diagnostic_2026,156,156,33,0.23698814647799885,0.6915462211749547,0.6384015594541911,0.36363636363636365,0.9952153110047848,31.508934218021103,21.0677534538842,18.15124320504933,95.08950750790376,0.8709677419354839,0.8709677419354839,0.8787878787878788,0.8787878787878788
kzt_pooled_24m,development_2023_2025,727,727,133,0.18982444114988714,0.5619626697008998,0.6901697312588402,0.42857142857142855,1.5875079151805231,42.037228609848654,23.013775152032377,21.351971899261972,97.06472245327141,0.6666666666666666,0.8208616780045351,0.68,0.8018300653594771
kzt_pooled_24m,diagnostic_2026,156,156,33,0.24423356750913372,0.7170842072281891,0.6384015594541911,0.36363636363636365,0.9952153110047848,31.508934218021103,21.0677534538842,18.15124320504933,95.08950750790376,0.8709677419354839,0.8709677419354839,0.8787878787878788,0.8787878787878788
kzt_only_24m,development_2023_2025,727,727,139,0.19362003861400368,0.5705858151132078,0.6521640735502121,0.3381294964028777,1.212093384292546,24.877873231699727,25.320067223677682,23.456293638180227,109.77959808070199,0.7959183673469388,0.8428287981859409,0.7647058823529411,0.8228758169934641
kzt_only_24m,diagnostic_2026,156,156,34,0.24679322304116588,0.7273621571199731,0.6073896863370547,0.35294117647058826,0.9659442724458206,36.73364564931878,26.324499585813392,23.407989336978527,87.73951942628776,0.9032258064516129,0.9032258064516129,0.8787878787878788,0.8787878787878788
kzt_residual_24m,development_2023_2025,727,727,144,0.19525786399702444,0.5753026992874225,0.6730410183875529,0.4027777777777778,1.4577173050367402,39.569686683889664,27.144389613784554,25.384354851367018,96.70115743507444,0.75,0.8418367346938775,0.76,0.8219607843137254
kzt_residual_24m,diagnostic_2026,156,156,33,0.2447943384543984,0.721212403803518,0.6321991848307638,0.36363636363636365,0.9952153110047848,40.54297552945173,30.178986732568344,27.262476483733476,86.00181162099028,0.9032258064516129,0.9032258064516129,0.8787878787878788,0.8787878787878788
kzt_residual_shrink_24m,development_2023_2025,727,727,133,0.18982444114988714,0.5619626697008998,0.6901697312588402,0.42857142857142855,1.5875079151805231,42.037228609848654,23.013775152032377,21.351971899261972,97.06472245327141,0.6666666666666666,0.8208616780045351,0.68,0.8018300653594771
kzt_residual_shrink_24m,diagnostic_2026,156,156,33,0.2447943384543984,0.721212403803518,0.6321991848307638,0.36363636363636365,0.9952153110047848,40.54297552945173,30.178986732568344,27.262476483733476,86.00181162099028,0.9032258064516129,0.9032258064516129,0.8787878787878788,0.8787878787878788
v3_basis_train_120m,development_2023_2025,727,727,149,0.18270478175104507,0.5450990978745659,0.7056388495992456,0.4228187919463087,1.4778370986863412,29.971420647932167,21.218352670823354,19.249049468226467,103.34454235759662,0.8367346938775511,0.9047619047619048,0.803921568627451,0.8823529411764707
v3_basis_train_120m,diagnostic_2026,156,156,34,0.2349803479118283,0.6823821056094926,0.633351054403686,0.4411764705882353,1.2074303405572757,31.604298956545374,27.829677004236753,24.913166755401885,96.84326071695754,0.967741935483871,0.967741935483871,0.9393939393939394,0.9393939393939394
kzt_pooled_120m,development_2023_2025,727,727,149,0.18043451381085637,0.5411837178103276,0.7084111268269684,0.4228187919463087,1.4778370986863412,29.971420647932167,21.218352670823357,19.249049468226467,103.34454235759662,0.8367346938775511,0.9047619047619048,0.803921568627451,0.8823529411764707
