config_id,track,rows,dates,signals,brier,log_loss,auc,hit_rate,lift,forward_delta_bps,symmetric_bps,symmetric_delta_bps,regret_bps,min_cell_week_coverage,mean_cell_week_coverage,min_observed_calendar_week_coverage,mean_observed_calendar_week_coverage
kzt_pooled_120m__halyk_lag1,development_2023_2025,727,727,133,0.17917701715347917,0.5378827037533253,0.7163130598774164,0.46616541353383456,1.670149760355031,48.417571159331885,36.845763183209364,35.02780714144772,89.48013532943821,0.7346938775510204,0.8011621315192744,0.7058823529411765,0.7894117647058824
kzt_pooled_120m__halyk_lag1,diagnostic_2026,156,156,36,0.22820947592656432,0.6692250041132284,0.6673755094807726,0.5,1.3684210526315792,36.34640260361142,32.542913362926384,29.626403114091506,90.84904872711327,1.0,1.0,0.9696969696969697,0.9696969696969697
kzt_only_120m__halyk_lag1,development_2023_2025,727,727,131,0.18163767364795602,0.5399386784888581,0.7214474304573314,0.5038167938931297,1.759010906585874,60.38310742225101,49.252300066764874,47.256395718283,86.08942670317332,0.673469387755102,0.7956349206349206,0.6470588235294118,0.777516339869281
kzt_only_120m__halyk_lag1,diagnostic_2026,156,156,34,0.20626685571347267,0.6083801364157696,0.7325890483785221,0.4117647058823529,1.126934984520124,36.864371790282,25.600787261742894,22.68427701290802,86.58479541977148,0.9354838709677419,0.9354838709677419,0.9090909090909091,0.9090909090909091
kzt_residual_120m__halyk_lag1,development_2023_2025,727,727,141,0.17704457895078232,0.5319535075090437,0.7213059877416312,0.4326241134751773,1.5450747261248112,41.77195081486546,30.75474095605102,28.880831831972017,102.07691262765084,0.8163265306122449,0.8700396825396827,0.7843137254901961,0.8490196078431372
kzt_residual_120m__halyk_lag1,diagnostic_2026,156,156,34,0.22333096397798377,0.658481811387379,0.682261208576998,0.4411764705882353,1.2074303405572757,46.9900193188629,34.173015623805156,31.256505374970274,78.96013922245089,0.9354838709677419,0.9354838709677419,0.9090909090909091,0.9090909090909091
kzt_residual_shrink_120m__halyk_lag1,development_2023_2025,727,727,134,0.17632441489206915,0.5298694372091414,0.7263130598774163,0.4626865671641791,1.6799476936020963,50.22904641504236,37.51436663886208,35.72442725567733,91.83980481495064,0.7708333333333334,0.8283730158730159,0.78,0.8090196078431373
kzt_residual_shrink_120m__halyk_lag1,diagnostic_2026,156,156,34,0.22333096397798377,0.658481811387379,0.682261208576998,0.4411764705882353,1.2074303405572757,46.9900193188629,34.173015623805156,31.256505374970274,78.96013922245089,0.9354838709677419,0.9354838709677419,0.9090909090909091,0.9090909090909091
kzt_pooled_120m__kase_prices_lag1,development_2023_2025,727,727,147,0.1856355407969134,0.5522384009442027,0.7057520037718058,0.4421768707482993,1.5589858082324977,44.34195921090278,30.962824913899283,29.044807138192933,89.74258063591283,0.7959183673469388,0.8840702947845805,0.7647058823529411,0.862483660130719
kzt_pooled_120m__kase_prices_lag1,diagnostic_2026,156,156,35,0.2144897348282668,0.6269142684525895,0.7283359914938862,0.4857142857142857,1.3293233082706768,28.243715965131777,20.7304113737676,17.813901124932734,101.89227559553458,0.9354838709677419,0.9354838709677419,0.9090909090909091,0.9090909090909091
