stage,scope,config_id,rows,pinball_bps,mae_bps,coverage80
development_2023_2025,all,chronos2_small_ft,3635,42.18645831509376,135.91216948033014,0.7904814305364511
development_2023_2025,all,chronos2_small_ft900,3635,42.942530855005835,139.10285973948987,0.7274277854195322
development_2023_2025,all,random_walk_gaussian60,3635,39.314749382947404,124.19719945830248,0.8004951856946355
development_2023_2025,KZT,chronos2_small_ft,727,46.06134942351275,148.5062797647868,0.7950481430536451
development_2023_2025,KZT,chronos2_small_ft900,727,46.372059581118044,150.44241167459396,0.7331499312242091
development_2023_2025,KZT,random_walk_gaussian60,727,41.43642067272219,132.90197780404492,0.8233837689133424
inspected_retrospective_2026,all,chronos2_small_ft,780,44.35425021540775,147.5714167948718,0.6666666666666666
inspected_retrospective_2026,all,chronos2_small_ft900,780,45.5224790894459,150.48387372432612,0.6102564102564103
inspected_retrospective_2026,all,random_walk_gaussian60,780,40.78899713202213,138.29751095185296,0.7356410256410257
inspected_retrospective_2026,KZT,chronos2_small_ft,156,48.840617246736905,161.14124741025643,0.7153846153846154
inspected_retrospective_2026,KZT,chronos2_small_ft900,156,53.34336477778696,172.27121428954297,0.6089743589743589
inspected_retrospective_2026,KZT,random_walk_gaussian60,156,46.71963456300526,157.2446563304999,0.7615384615384616
