stage,scope,config_id,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
development_2023_2025,all,chronos2_small_ft900_head10y,757.0,0.3368560105680317,1.05298448933883,23.005356965838615,22.06034109867908,95.9125075810203,0.20266035021909884,0.5907934133196222,0.6491983967935872,0.018024595924031987,3635,727,1.0122254059216809,0.673469387755102,0.885515873015873
development_2023_2025,all,chronos2_small_ft_cpu300_head10y,757.0,0.40158520475561427,1.2540976464918354,33.15950056478809,25.973465752480607,87.83128758536145,0.18619829336718238,0.5524313503365368,0.725763808318391,0.023790155140676894,3635,727,1.0122254059216809,0.7755102040816326,0.8882653061224489
development_2023_2025,all,chronos2_small_ft_head10y,754.0,0.4204244031830239,1.3125996384586338,36.41685579166825,27.752790381651394,82.44145718032966,0.18655543875487862,0.5528744444191632,0.7270243996765461,0.026980256882371705,3635,727,1.0082139446036291,0.7755102040816326,0.906065759637188
development_2023_2025,KZT,chronos2_small_ft900_head10y,155.0,0.27741935483870966,0.9795889431327686,20.892595286835526,21.224003759968493,109.31926348130317,0.1978897901446945,0.580648639581787,0.6173361621876473,0.03286342816079025,727,727,1.0362941738299905,0.8163265306122449,0.9251700680272109
development_2023_2025,KZT,chronos2_small_ft_cpu300_head10y,151.0,0.40397350993377484,1.421040809753744,28.066778183700954,24.975492995100353,110.48282548732264,0.1826427992890383,0.544185404925258,0.7062329090051862,0.05054220659065033,727,727,1.0095510983763132,0.8571428571428571,0.9046201814058956
development_2023_2025,KZT,chronos2_small_ft_head10y,154.0,0.3961038961038961,1.4003888270773555,28.012830973254353,22.568296912361028,108.3120081863661,0.18622505935787328,0.5525749904502516,0.6895803866100897,0.042179310521964795,727,727,1.029608404966571,0.8775510204081632,0.9319727891156462
inspected_retrospective_2026,all,chronos2_small_ft900_head10y,181.0,0.3701657458563536,1.0816516609748525,1.3515084791317522,2.7206419841128198,108.4167063090194,0.2250686733338514,0.6482707545946248,0.6554197603872353,0.11260064145800704,780,156,1.1262222222222222,0.967741935483871,0.9741935483870968
inspected_retrospective_2026,all,chronos2_small_ft_cpu300_head10y,172.0,0.45348837209302323,1.3263570961412687,27.317369701880917,23.544542035068325,89.62509231009305,0.21639392446131714,0.6354161475828219,0.6689554723262588,0.08995257510778418,780,156,1.0702222222222222,0.9354838709677419,0.9548387096774194
inspected_retrospective_2026,all,chronos2_small_ft_head10y,175.0,0.44571428571428573,1.3047394381299593,26.494694441951307,23.107862402999924,91.9098059169952,0.21698080537189063,0.6369049919371438,0.6617714698731849,0.0894808704840637,780,156,1.0888888888888888,0.9354838709677419,0.9612903225806452
inspected_retrospective_2026,KZT,chronos2_small_ft900_head10y,39.0,0.3333333333333333,0.9122807017543859,-20.55667156727102,-14.901193104432624,132.8269402365286,0.24601562841972952,0.704172973774142,0.5975544922913344,0.15005662209373524,156,156,1.2133333333333332,1.0,1.0
inspected_retrospective_2026,KZT,chronos2_small_ft_cpu300_head10y,32.0,0.40625,1.111842105263158,37.222532141324386,30.20313112211133,96.11510934280497,0.24078428921189726,0.6952677264876215,0.6145667198298778,0.14979326735079088,156,156,0.9955555555555554,0.9354838709677419,0.9354838709677419
inspected_retrospective_2026,KZT,chronos2_small_ft_head10y,34.0,0.4117647058823529,1.126934984520124,37.85457310159569,29.393275296770394,99.14371023176395,0.2471151139724671,0.7176823719626554,0.5993265993265993,0.14190329976026453,156,156,1.0577777777777777,0.9354838709677419,0.9354838709677419
