stage,scope,config_id,benchmark,repetitions,pinball_bps_delta,pinball_bps_delta_ci95_low,pinball_bps_delta_ci95_high,mae_bps_delta,mae_bps_delta_ci95_low,mae_bps_delta_ci95_high,coverage80_delta,coverage80_delta_ci95_low,coverage80_delta_ci95_high
development_2023_2025,all,chronos2_small_ft900,chronos2_small_ft,10000,0.7560725399120743,-1.5760318464013034,3.322642541954027,3.1906902591597395,-4.594208922055904,11.629589968979289,-0.06305364511691884,-0.09267769484385016,-0.034709493625810134
development_2023_2025,all,chronos2_small_ft900,random_walk_gaussian60,10000,3.6277814720584294,1.1460526640826856,6.284703766373585,14.905660281187382,7.9629042085905795,22.314872315356222,-0.07306740027510317,-0.10642796097749442,-0.03966501119856903
development_2023_2025,KZT,chronos2_small_ft900,chronos2_small_ft,10000,0.31071015760530557,-2.556968855822566,3.3711794103395034,1.936131909807166,-9.178535496483175,13.56835861154208,-0.061898211829436035,-0.09576291419057968,-0.02910486043577079
development_2023_2025,KZT,chronos2_small_ft900,random_walk_gaussian60,10000,4.93563890839586,2.3111763574282245,7.660374363761752,17.54043387054905,9.629073103329482,26.016306710098696,-0.09023383768913341,-0.12363674085250849,-0.05883866211392208
inspected_retrospective_2026,all,chronos2_small_ft900,chronos2_small_ft,10000,1.168228874038145,-2.048506461820839,4.150666908475093,2.912456929454315,-6.8724190205801206,12.42546620578326,-0.05641025641025641,-0.09132075471698113,-0.02666666666666667
inspected_retrospective_2026,all,chronos2_small_ft900,random_walk_gaussian60,10000,4.733481957423766,2.868515735585979,6.522750245935455,12.186362772473158,3.438671138059152,20.312291144552685,-0.1253846153846154,-0.20481012658227846,-0.02675223185953046
inspected_retrospective_2026,KZT,chronos2_small_ft900,chronos2_small_ft,10000,4.502747531050056,0.8732107277368091,8.096354770213,11.129966879286545,-2.8993814682056116,24.61828625285518,-0.10641025641025642,-0.1472972972972973,-0.06424242424242425
inspected_retrospective_2026,KZT,chronos2_small_ft900,random_walk_gaussian60,10000,6.623730214781706,2.904748855353143,10.349240025055348,15.026557959043062,1.5060193991359285,30.079797594511383,-0.15256410256410258,-0.24645161290322581,-0.05033112582781458
