stage,scope,config_id,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
development_2023_2025,all,baseline_reproduction,663.0,0.45248868778280543,1.4351906688933174,47.6856460151741,26.79780839525267,80.32875466661568,0.19061658311191612,0.5611614972587021,0.7226837886298914,0.05368624673548692,3635,727,0.8865329512893981,0.6666666666666666,0.8340702947845805
development_2023_2025,all,basis_train_120m,723.0,0.4412171507607192,1.3709701913909238,40.078411599802024,26.40696876898918,80.96092783122008,0.18485040099862832,0.5484652229971574,0.7374039306683542,0.04785109801160326,3635,727,0.9667621776504296,0.7346938775510204,0.8828798185941042
development_2023_2025,all,chronos2_small_ft900_head10y,757.0,0.3368560105680317,1.05298448933883,23.005356965838615,22.06034109867908,95.9125075810203,0.20266035021909884,0.5907934133196222,0.6491983967935872,0.018024595924031987,3635,727,1.0122254059216809,0.673469387755102,0.885515873015873
development_2023_2025,all,chronos2_small_ft_head10y,754.0,0.4204244031830239,1.3125996384586338,36.41685579166825,27.752790381651394,82.44145718032966,0.18655543875487862,0.5528744444191632,0.7270243996765461,0.026980256882371705,3635,727,1.0082139446036291,0.7755102040816326,0.906065759637188
development_2023_2025,KZT,baseline_reproduction,133.0,0.42857142857142855,1.587507915180523,42.03722860984865,21.351971899261972,97.06472245327141,0.18928210730174638,0.5593945484216133,0.6927722772277228,0.06536317323399199,727,727,0.8892072588347659,0.6666666666666666,0.8208616780045351
development_2023_2025,KZT,basis_train_120m,149.0,0.4228187919463087,1.4778370986863416,29.971420647932167,19.249049468226467,103.34454235759662,0.18270478175104507,0.5450990978745659,0.7056388495992456,0.0349684552527458,727,727,0.9961795606494747,0.8367346938775511,0.9047619047619048
development_2023_2025,KZT,chronos2_small_ft900_head10y,155.0,0.27741935483870966,0.9795889431327686,20.892595286835526,21.224003759968493,109.31926348130317,0.1978897901446945,0.580648639581787,0.6173361621876473,0.03286342816079025,727,727,1.0362941738299905,0.8163265306122449,0.9251700680272109
development_2023_2025,KZT,chronos2_small_ft_head10y,154.0,0.3961038961038961,1.4003888270773555,28.012830973254353,22.568296912361028,108.3120081863661,0.18622505935787328,0.5525749904502516,0.6895803866100897,0.042179310521964795,727,727,1.029608404966571,0.8775510204081632,0.9319727891156462
inspected_retrospective_2026,all,baseline_reproduction,168.0,0.47023809523809523,1.3752929360562436,37.770423127129746,25.916718484748642,80.82230456741553,0.20662686602476496,0.6058275047333948,0.7058975987617817,0.08518621156061018,780,156,1.0453333333333332,0.8709677419354839,0.9096774193548386
inspected_retrospective_2026,all,basis_train_120m,173.0,0.45664739884393063,1.3369494467346497,29.640444412858635,23.796709359608936,86.8337922503792,0.20840602466731792,0.6083517625447268,0.6983960108344102,0.09545617758459238,780,156,1.0764444444444443,0.9354838709677419,0.9483870967741936
inspected_retrospective_2026,all,chronos2_small_ft900_head10y,181.0,0.3701657458563536,1.0816516609748525,1.3515084791317522,2.7206419841128198,108.4167063090194,0.2250686733338514,0.6482707545946248,0.6554197603872353,0.11260064145800704,780,156,1.1262222222222222,0.967741935483871,0.9741935483870968
inspected_retrospective_2026,all,chronos2_small_ft_head10y,175.0,0.44571428571428573,1.3047394381299593,26.494694441951307,23.107862402999924,91.9098059169952,0.21698080537189063,0.6369049919371438,0.6617714698731849,0.0894808704840637,780,156,1.0888888888888888,0.9354838709677419,0.9612903225806452
inspected_retrospective_2026,KZT,baseline_reproduction,33.0,0.36363636363636365,0.9952153110047848,31.50893421802111,18.151243205049322,95.08950750790376,0.23698814647799885,0.6915462211749547,0.6384015594541911,0.1459098270653862,156,156,1.0266666666666666,0.8709677419354839,0.8709677419354839
inspected_retrospective_2026,KZT,basis_train_120m,34.0,0.4411764705882353,1.2074303405572757,31.60429895654539,24.91316675540188,96.84326071695753,0.2349803479118283,0.6823821056094926,0.633351054403686,0.13264708194167982,156,156,1.0577777777777777,0.967741935483871,0.967741935483871
inspected_retrospective_2026,KZT,chronos2_small_ft900_head10y,39.0,0.3333333333333333,0.9122807017543859,-20.55667156727102,-14.901193104432624,132.8269402365286,0.24601562841972952,0.704172973774142,0.5975544922913344,0.15005662209373524,156,156,1.2133333333333332,1.0,1.0
inspected_retrospective_2026,KZT,chronos2_small_ft_head10y,34.0,0.4117647058823529,1.126934984520124,37.85457310159569,29.393275296770394,99.14371023176395,0.2471151139724671,0.7176823719626554,0.5993265993265993,0.14190329976026453,156,156,1.0577777777777777,0.9354838709677419,0.9354838709677419
