stage,scope,config_id,benchmark,delta_brier,delta_brier_ci95_low,delta_brier_ci95_high,repetitions,lift_delta,lift_delta_ci95_low,lift_delta_ci95_high,forward_delta_bps_delta,forward_delta_bps_delta_ci95_low,forward_delta_bps_delta_ci95_high,symmetric_delta_bps_delta,symmetric_delta_bps_delta_ci95_low,symmetric_delta_bps_delta_ci95_high,regret_bps_delta,regret_bps_delta_ci95_low,regret_bps_delta_ci95_high,signals_delta,signals_delta_ci95_low,signals_delta_ci95_high
development_2023_2025,all,baseline_reproduction,basis_train_120m,0.005766182113287813,-0.0001757447089265228,0.011998895411311836,10000,0.06422047750239357,-0.06688472641786437,0.19418627531307445,7.607234415372076,-2.50824593375798,18.074299843284305,0.3908396262634888,-5.812145446262096,7.057815183655272,-0.6321731646043958,-12.603902127529683,11.285972208853774,-60.0,-94.0,-24.975000000000364
development_2023_2025,all,basis_train_120m,baseline_reproduction,-0.005766182113287813,-0.011998895411311838,0.00017574470892652133,10000,-0.06422047750239357,-0.19418627531307445,0.06688472641786436,-7.607234415372076,-18.074299843284305,2.508245933757979,-0.3908396262634888,-7.057815183655273,5.812145446262092,0.6321731646043958,-11.285972208853785,12.603902127529677,60.0,24.975000000000023,94.0
development_2023_2025,all,chronos2_small_ft900_head10y,baseline_reproduction,0.012043767107182718,0.0013490365380478795,0.023029778713366564,10000,-0.3822061795544873,-0.49465976347713037,-0.2715944204014195,-24.680289049335485,-39.47230174219528,-9.867301569960567,-4.737467296573591,-14.038381558023216,4.481275466162333,15.583752914404613,-0.025881707514974032,31.015744350259503,94.0,52.0,135.0
development_2023_2025,all,chronos2_small_ft900_head10y,basis_train_120m,0.01780994922047053,0.008315252566384827,0.02821058701436567,10000,-0.31798570205209375,-0.4418314826844658,-0.19542238734572295,-17.07305463396341,-30.371873064768554,-4.074548819324616,-4.346627670310102,-12.400096329984747,4.063774033754991,14.951579749800217,2.6235906835680174,29.04673418608832,34.0,-1.0,69.0
development_2023_2025,all,chronos2_small_ft900_head10y,chronos2_small_ft_head10y,0.016104911464220228,0.008193215340697044,0.024514252899305793,10000,-0.25961514911980377,-0.36807817990060365,-0.15586611818099103,-13.411498825829632,-23.07423799272594,-3.7859264373782144,-5.692449282972316,-12.082101910482733,1.1685380176488827,13.471050400690629,2.05549143960309,25.6633057165332,3.0,-23.0,29.0
development_2023_2025,all,chronos2_small_ft_head10y,baseline_reproduction,-0.004061144357037507,-0.01330235971196781,0.004326120175609071,10000,-0.12259103043468356,-0.2570173059983669,0.01746437017497371,-11.268790223505853,-25.3467929315715,2.8470631863862716,0.9549819863987246,-8.012809515763172,9.851918487018796,2.112702513713984,-15.65496671435737,19.11195190541299,91.0,54.97500000000002,127.02499999999964
development_2023_2025,all,chronos2_small_ft_head10y,basis_train_120m,0.0017050377562503045,-0.003038514491091932,0.006288322544313271,10000,-0.05837055293228999,-0.1760149694125135,0.0531984544124834,-3.6615558081337767,-15.050459194015778,7.775954242021083,1.3458216126622133,-5.237916657181298,8.7841217050049,1.480529349109588,-13.020854537483052,15.180250093792662,31.0,5.975000000000023,58.0
development_2023_2025,KZT,baseline_reproduction,basis_train_120m,0.0065773255507013215,0.0003781089473593712,0.012979850249211423,10000,0.10967081649418131,-0.12050152620408483,0.32240108992244615,12.06580796191648,-2.9208607036866336,27.16687582298359,2.1029224310355055,-7.590397728170575,11.05202204153556,-6.279819904325208,-23.251067135952724,9.743981510092318,-16.0,-25.0,-6.0
development_2023_2025,KZT,basis_train_120m,baseline_reproduction,-0.0065773255507013215,-0.012979850249211425,-0.00037810894735937237,10000,-0.10967081649418131,-0.3224010899224462,0.12050152620408475,-12.06580796191648,-27.16687582298359,2.9208607036866265,-2.1029224310355055,-11.052022041535563,7.590397728170569,6.279819904325208,-9.743981510092327,23.251067135952724,16.0,6.0,25.0
development_2023_2025,KZT,chronos2_small_ft900_head10y,baseline_reproduction,0.00860768284294807,-0.003184779904932379,0.02096218655276536,10000,-0.6079189720477544,-0.8999333049865349,-0.32049190766118973,-21.14463332301312,-42.364521292441836,0.8685729870081587,-0.12796813929347906,-15.84828350159369,16.562451370636357,12.254541028031753,-8.511573731008296,32.67849319839643,22.0,9.0,35.0
development_2023_2025,KZT,chronos2_small_ft900_head10y,basis_train_120m,0.015185008393649392,0.0052200679110048715,0.02612785556751019,10000,-0.49824815555357305,-0.7737339290189668,-0.23780046257196819,-9.07882536109664,-28.660123498822355,10.669435482287415,1.9749542917420264,-12.043855173115945,16.129776689479485,5.974721123706544,-16.50841298270394,29.370850470476817,6.0,-4.0,16.0
development_2023_2025,KZT,chronos2_small_ft900_head10y,chronos2_small_ft_head10y,0.01166473078682114,0.0035878507375850495,0.020637943494508287,10000,-0.4207998839445869,-0.6899841312737077,-0.1965167086151154,-7.120235686418827,-22.615254272024924,8.859234814184656,-1.3442931523925346,-14.247203795797603,11.803322115242903,1.0072552949370674,-16.58658829909898,17.8284517869402,1.0,-7.0,9.0
development_2023_2025,KZT,chronos2_small_ft_head10y,baseline_reproduction,-0.003057047943873074,-0.01219232233532056,0.005696212583644915,10000,-0.18711908810316746,-0.47206283381198993,0.1230412620135837,-14.024397636594294,-35.5686468670204,7.11523779114643,1.2163250130990555,-12.565590094827922,15.11348557428914,11.247285733094685,-12.635033988255161,35.85345293199735,21.0,10.975000000000023,32.0
development_2023_2025,KZT,chronos2_small_ft_head10y,basis_train_120m,0.003520277606828251,-0.0015821671994753128,0.008583101676143026,10000,-0.07744827160898615,-0.312411462701489,0.16301906136144914,-1.958589674677814,-16.69907647898394,14.005167113542631,3.319247444134561,-6.99900499396463,14.73384373122445,4.967465828769477,-15.929088711976528,23.575830553958085,5.0,-2.0,12.0
inspected_retrospective_2026,all,baseline_reproduction,basis_train_120m,-0.0017791586425529725,-0.01373071791806623,0.010755810387393235,10000,0.03834348932159393,-0.13395720995173635,0.3058553752122477,8.129978714271111,-1.2331058477037402,19.832766735098136,2.120009125139706,-6.4530269609893605,12.076617176108556,-6.011487682963676,-15.457901222889264,1.6832696952703756,-5.0,-13.0,3.0
inspected_retrospective_2026,all,basis_train_120m,baseline_reproduction,0.0017791586425529725,-0.01075581038739324,0.013730717918066227,10000,-0.03834348932159393,-0.3058553752122477,0.1339572099517362,-8.129978714271111,-19.832766735098136,1.2331058477037402,-2.120009125139706,-12.076617176108556,6.453026960989355,6.011487682963676,-1.6832696952703756,15.45790122288926,5.0,-3.0,13.0
