epoch,training_bce
1,0.6159755938478083
2,0.5692375561012952
3,0.564248830987533
4,0.5627676699880754
5,0.5625519103699954
6,0.5581582231924295
7,0.5534186997744691
8,0.5510264246675768
9,0.5482483737312871
10,0.5476248249066733
11,0.5500054380006051
12,0.5484743068434096
13,0.5484415707770179
14,0.5403244935106176
15,0.5370809258095288
16,0.5342493398955234
17,0.531649625088401
18,0.5286554944887909
19,0.5256910832902062
20,0.5225863652867222
21,0.5204764439887358
22,0.5167610929160402
23,0.51424315602035
24,0.5096147632240716
25,0.5074210711431562
26,0.5035693913250496
27,0.5035506252152524
28,0.49747478438014187
29,0.4927222191488844
