feature_restored_to_normal,brier,mean_probability,normal_mean,delayed_mean,normal_train_min,normal_train_max
ret1,0.5121118388639682,0.8002882599830627,-0.0010105495060940576,-0.0010105495060940576,-0.2298862758718918,0.11710347194466109
ret3,0.5121118388639682,0.8002882599830627,-0.0028511261995389763,-0.0028511261995389763,-0.27116922399896515,0.18115930274029202
ret5,0.5121118388639682,0.8002882599830627,-0.0046075928164891105,-0.0046075928164891105,-0.24960568863284216,0.21380407793054457
ret10,0.5121118388639682,0.8002882599830627,-0.009791630725619381,-0.009791630725619381,-0.24968502467833442,0.25186244978516426
ret20,0.5121118388639682,0.8002882599830627,-0.020671780419870014,-0.020671780419870014,-0.39570814753939354,0.3510000042746876
ret60,0.5121118388639682,0.8002882599830627,-0.06786481219357601,-0.06786481219357601,-0.5413681464061353,0.5547367147340584
pr20,0.5121118388639682,0.8002882599830627,0.37303719008264463,0.37303719008264463,0.025,1.0
pr60,0.5121118388639682,0.8002882599830627,0.2911157024793389,0.2911157024793389,0.008333333333333333,0.9916666666666667
pr120,0.5121118388639682,0.8002882599830627,0.2503615702479339,0.2503615702479339,0.004166666666666667,0.9958333333333333
pr252,0.5121118388639682,0.8002882599830627,0.13592909615636886,0.13592909615636886,0.001984126984126984,0.998015873015873
vol5,0.5121118388639682,0.8002882599830627,0.009129093008035135,0.009129093008035135,0.0004902019743573503,0.12698309455184023
vol20,0.5121118388639682,0.8002882599830627,0.01002366686176784,0.01002366686176784,0.002487164159257015,0.06262833905349256
vol60,0.5121118388639682,0.8002882599830627,0.010884550943742223,0.010884550943742223,0.0030322842834324105,0.04079776152453824
volratio,0.5121118388639682,0.8002882599830627,0.8468419468174471,0.8468419468174471,0.07265156131696848,3.5254540746038754
moex_cny_close_minus_fixing_same_session,0.5121118388639682,0.8002882599830627,-0.001005700008715749,-0.001005700008715749,-0.04991554154535249,0.11055027322193611
oxr_log_basis,0.5140263170891617,0.8021323680877686,0.0014290485069243944,0.002555378273695675,-0.095174326386823,0.28644761226976834
oxr_basis_chg1,0.5119850857164031,0.8009732961654663,-0.00015212962513668843,-6.939037259191346e-05,-0.17947562999983857,0.2416308357518242
oxr_basis_chg5,0.510095054131273,0.7983500361442566,-0.00019424245082682548,-0.00011733241323988612,-0.26721438993533253,0.2812760786665516
oxr_basis_z20,0.5123885033685318,0.8003383874893188,-0.05161506873780106,-0.016681712718783256,-3.3375151555909723,4.225534202497614
oxr_available,0.5121118388639682,0.8002882599830627,1.0,1.0,1.0,1.0
oxr_age_days,0.14476953245600202,0.23575857281684875,1.2951947983624121,2.295214789944904,1.2943171296296296,1.3368055555555556
halyk_rub_sell_official_basis,0.5121118388639682,0.8002882599830627,0.04275876285233196,0.04275876285233196,-0.03832906279164083,0.2936433635953233
halyk_rub_personal_legal_gap,0.5121118388639682,0.8002882599830627,-0.02800938745143856,-0.02800938745143856,-0.06833777811272146,0.033006296468170104
halyk_personal_rub_ret1,0.5121118388639682,0.8002882599830627,0.0014460824158301628,0.0014460824158301628,-0.10515128875048285,0.15940729727107872
halyk_personal_rub_ret5,0.5121118388639682,0.8002882599830627,0.006378478936696381,0.006378478936696381,-0.23977861181874194,0.16977599773033902
halyk_personal_usd_ret1,0.5121118388639682,0.8002882599830627,-0.00013496729054214871,-0.00013496729054214871,-0.034540325252176096,0.0679307364959687
halyk_personal_usd_ret5,0.5121118388639682,0.8002882599830627,-6.77178897697154e-05,-6.77178897697154e-05,-0.09316195126603599,0.12450740083788858
treasury_t10yie_stale_level,0.5121118388639682,0.8002882599830627,2.3344628099173557,2.3344628099173557,0.5,3.02
treasury_t10yie_stale_chg5,0.5121118388639682,0.8002882599830627,-0.002396694214876028,-0.002396694214876028,-0.5,0.29999999999999993
treasury_t10yie_stale_chg20,0.5121118388639682,0.8002882599830627,-0.0047933884297520464,-0.0047933884297520464,-1.13,0.56
treasury_t5yifr_stale_level,0.5121118388639682,0.8002882599830627,2.2463636363636366,2.2463636363636366,0.86,2.67
treasury_t5yifr_stale_chg5,0.5121118388639682,0.8002882599830627,-0.002024793388429751,-0.002024793388429751,-0.3500000000000001,0.31999999999999984
treasury_t5yifr_stale_chg20,0.5121118388639682,0.8002882599830627,-0.008884297520661145,-0.008884297520661145,-0.7699999999999999,0.4900000000000001
