config_id,cutoff,year,mode,policy,rows,dates,signals,weeks,weeks_1_2,signals_per_week,silent_weeks,brier,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,bank_delayed,legacy,242,242,45,51,0.7843137254901961,0.8823529411764706,11,0.148344835306973,0.19834710743801653,0.4444444444444444,2.2407407407407405,60.095135717395706,31.8488368296756
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,both_delayed,legacy,242,242,45,51,0.7843137254901961,0.8823529411764706,11,0.14847090003448837,0.19834710743801653,0.4444444444444444,2.2407407407407405,59.119809196760784,30.87351030904068
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,normal,legacy,242,242,43,51,0.7450980392156863,0.8431372549019608,13,0.14296242332308354,0.19834710743801653,0.3953488372093023,1.9932170542635657,67.1616444636604,38.91534557594028
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,oxr_delayed,legacy,242,242,43,51,0.7450980392156863,0.8431372549019608,13,0.14312438800211186,0.19834710743801653,0.3953488372093023,1.9932170542635657,67.1616444636604,38.91534557594028
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,bank_delayed,cadence90_cd3,242,242,47,51,0.8431372549019608,0.9215686274509803,8,0.148344835306973,0.19834710743801653,0.3829787234042553,1.930851063829787,50.85784895897756,22.611550071257454
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,both_delayed,cadence90_cd3,242,242,47,51,0.8431372549019608,0.9215686274509803,8,0.14847090003448837,0.19834710743801653,0.3829787234042553,1.930851063829787,50.85784895897756,22.611550071257454
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,normal,cadence90_cd3,242,242,47,51,0.8431372549019608,0.9215686274509803,8,0.14296242332308354,0.19834710743801653,0.3829787234042553,1.930851063829787,55.03504553629053,26.788746648570424
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,oxr_delayed,cadence90_cd3,242,242,47,51,0.8431372549019608,0.9215686274509803,8,0.14312438800211186,0.19834710743801653,0.3829787234042553,1.930851063829787,57.878789370658346,29.632490482938238
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,bank_delayed,cadence90_cd2,242,242,63,51,0.9215686274509803,1.2352941176470589,4,0.148344835306973,0.19834710743801653,0.36507936507936506,1.8406084656084654,37.052449422858665,8.806150535138558
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,both_delayed,cadence90_cd2,242,242,63,51,0.9215686274509803,1.2352941176470589,4,0.14847090003448837,0.19834710743801653,0.36507936507936506,1.8406084656084654,37.052449422858665,8.806150535138558
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,normal,cadence90_cd2,242,242,60,51,0.9019607843137255,1.1764705882352942,5,0.14296242332308354,0.19834710743801653,0.4,2.0166666666666666,55.96572167810903,27.71942279038892
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,oxr_delayed,cadence90_cd2,242,242,60,51,0.9019607843137255,1.1764705882352942,5,0.14312438800211186,0.19834710743801653,0.4,2.0166666666666666,55.96572167810903,27.71942279038892
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,bank_delayed,cadence85_cd2,242,242,60,51,0.9019607843137255,1.1764705882352942,5,0.148344835306973,0.19834710743801653,0.36666666666666664,1.848611111111111,35.86834706692627,7.622048179206158
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,both_delayed,cadence85_cd2,242,242,60,51,0.9019607843137255,1.1764705882352942,5,0.14847090003448837,0.19834710743801653,0.36666666666666664,1.848611111111111,35.86834706692627,7.622048179206158
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,normal,cadence85_cd2,242,242,59,51,0.8823529411764706,1.1568627450980393,6,0.14296242332308354,0.19834710743801653,0.4067796610169492,2.0508474576271185,58.479279759754846,30.23298087203474
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2025-01-01,2025,oxr_delayed,cadence85_cd2,242,242,59,51,0.8823529411764706,1.1568627450980393,6,0.14312438800211186,0.19834710743801653,0.4067796610169492,2.0508474576271185,58.479279759754846,30.23298087203474
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2026-01-01,2026,bank_delayed,legacy,156,156,33,33,0.8787878787878788,1.0,4,0.23280455874771364,0.36538461538461536,0.42424242424242425,1.1610845295055823,30.748682698388322,67.91325899010744
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2026-01-01,2026,both_delayed,legacy,156,156,33,33,0.8787878787878788,1.0,4,0.2327715912214876,0.36538461538461536,0.3939393939393939,1.0781499202551834,32.74147257875234,69.90604887047145
blend_treasH_tabm_periodic_kzt_120m_s0_allaug_kztcal,2026-01-01,2026,normal,legacy,156,156,33,33,0.9090909090909091,1.0,3,0.2275043958410963,0.36538461538461536,0.45454545454545453,1.244019138755981,42.32806037911749,79.4926366708366
