year,mode,baseline,candidate,bootstrap_repetitions,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
2025,bank_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_bankaug_kztcal,10000,0.0023191217208597898,-0.0026793060647671493,0.007068180497393777,12,0,0.13573717948717978,-0.4926535527900442,0.7558270092277055,7.22117371253902,-2.6263441051445895,18.640587793180256
2025,bank_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_allaug_kztcal,10000,0.0004513143919667912,-0.005774675167159446,0.006477457217642339,12,0,0.605,0.029885154813644357,1.207236136878994,9.064833017313916,-2.9486485248647827,30.05334865831769
2025,bank_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_noage_kztcal,10000,-0.00282906213168161,-0.007187379602028427,0.0011536746784698631,12,1,0.280092592592593,-0.2441058188265632,0.8515127725317732,20.36797410261824,-12.328681666740202,53.82153170720171
2025,both_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_bankaug_kztcal,10000,-0.07102319470800614,-0.08113798699575624,-0.060923408751376036,12,1,0.0,0.0,0.0,0.0,0.0,0.0
2025,both_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_allaug_kztcal,10000,-0.3643278414577114,-0.4092266018840557,-0.3181463129113283,12,1,1.260416666666667,0.7838865150783019,1.804118898004019,36.22862472941108,14.088878524366192,66.08756073005547
2025,both_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_noage_kztcal,10000,-0.36687414448755845,-0.41099692358746415,-0.32144030977402593,12,1,0.7455230496453905,0.07756514169692716,1.407259171814366,38.40723573551281,10.95911393554444,68.13734719895757
2025,normal,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_bankaug_kztcal,10000,-0.00014685210383868388,-0.004351440945066874,0.0035992686020682664,12,1,0.2800925925925928,-0.1879337910241584,0.8641246331443567,14.63962040823466,-3.417066710049007,35.68609850906688
2025,normal,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_allaug_kztcal,10000,-0.0017879270585889606,-0.0076501061191954255,0.004125774671956544,12,1,0.4145370370370367,-0.12062833039661258,0.963399963785138,11.32208197550808,-5.449206156542368,32.93864418329142
2025,normal,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_noage_kztcal,10000,0.0005273471188651143,-0.0035649604171675833,0.004812694115165814,12,0,0.05601851851851847,-0.5168529816827563,0.5682778402029861,10.413083937779387,-8.235123461209707,32.095781540034565
2025,oxr_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_bankaug_kztcal,10000,-0.07375673237744812,-0.08534432260962498,-0.061441785943529975,12,1,0.0,0.0,0.0,0.0,0.0,0.0
2025,oxr_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_allaug_kztcal,10000,-0.3696496985532775,-0.4147790190212503,-0.32414750992446817,12,1,1.0587499999999999,0.5415517380072598,1.6825263000266173,43.84595701104922,21.24482584479145,74.01364443068374
2025,oxr_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_noage_kztcal,10000,-0.36719256333415684,-0.412518089730364,-0.32179871917031316,12,1,0.7455230496453905,0.14847404745352222,1.3856370210339963,32.85630777607569,6.728193256775972,64.12245398593868
2026,bank_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_bankaug_kztcal,10000,0.017545137300397938,-0.0017625825092069558,0.05196200673842737,8,0,0.22807017543859653,0.0,0.6081172154182425,20.0825119798723,1.3359238609824557,40.11472991654301
2026,bank_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_allaug_kztcal,10000,0.033991059108679396,-0.0018360649724745684,0.09157630031852126,8,0,-0.15204678362573099,-0.7455882352941178,0.13752981714524948,3.0316822410205884,-25.874662438740398,36.87254497007716
