year,config_id,mode,scope,rows,dates,brier,signals,lift,forward_delta_bps
2025,tabm_periodic_pooled_120m_s0_pooledcal,oxr_delayed,KZT,242,242,0.1509585222816272,39,2.326923076923076,81.31165660421296
2025,tabm_periodic_pooled_24m_s0_kztcal,bank_delayed,KZT,242,242,0.15089494812749363,53,1.5220125786163528,23.269915871893815
2025,tabm_periodic_pooled_24m_s0_kztcal,both_delayed,KZT,242,242,0.1901933404894489,60,0.6722222222222224,-10.125706903986664
2025,tabm_periodic_pooled_24m_s0_kztcal,normal,KZT,242,242,0.15011933672744596,54,1.587191358024692,16.522525765285085
2025,tabm_periodic_pooled_24m_s0_kztcal,oxr_delayed,KZT,242,242,0.19059334616642515,60,0.6722222222222224,-10.125706903986664
2025,tabm_periodic_pooled_24m_s0_pooledcal,bank_delayed,all,1210,242,0.17184079185495424,259,1.3753956834532373,36.2209255863351
2025,tabm_periodic_pooled_24m_s0_pooledcal,bank_delayed,KZT,242,242,0.1595518719310569,53,1.5220125786163528,23.269915871893815
2025,tabm_periodic_pooled_24m_s0_pooledcal,both_delayed,all,1210,242,0.23714846621835933,300,0.7223880597014926,-6.639932783263872
2025,tabm_periodic_pooled_24m_s0_pooledcal,both_delayed,KZT,242,242,0.23952693770012176,60,0.6722222222222224,-10.125706903986664
2025,tabm_periodic_pooled_24m_s0_pooledcal,normal,all,1210,242,0.16961587836836703,263,1.3028263795423958,27.968708119655297
2025,tabm_periodic_pooled_24m_s0_pooledcal,normal,KZT,242,242,0.15875217264566588,54,1.587191358024692,16.522525765285085
2025,tabm_periodic_pooled_24m_s0_pooledcal,oxr_delayed,all,1210,242,0.23732103168118662,300,0.7524875621890548,-7.199072435707822
2025,tabm_periodic_pooled_24m_s0_pooledcal,oxr_delayed,KZT,242,242,0.2402728687152564,60,0.6722222222222224,-10.125706903986664
2025,tabm_periodic_pooled_60m_s0_kztcal,bank_delayed,KZT,242,242,0.15639789283529282,51,1.3839869281045754,30.552697240314856
2025,tabm_periodic_pooled_60m_s0_kztcal,both_delayed,KZT,242,242,0.15403473349176366,29,2.0862068965517238,40.72992649062726
2025,tabm_periodic_pooled_60m_s0_kztcal,normal,KZT,242,242,0.15813697819074357,55,1.191666666666667,30.74377604441962
2025,tabm_periodic_pooled_60m_s0_kztcal,oxr_delayed,KZT,242,242,0.15595665289480345,28,1.2604166666666665,23.159587370921834
2025,tabm_periodic_pooled_60m_s0_pooledcal,bank_delayed,all,1210,242,0.1744100975249651,248,1.4419972846583193,39.507718558006985
2025,tabm_periodic_pooled_60m_s0_pooledcal,bank_delayed,KZT,242,242,0.16786629195072222,51,1.3839869281045754,30.552697240314856
2025,tabm_periodic_pooled_60m_s0_pooledcal,both_delayed,all,1210,242,0.16563304360172645,131,1.7275641025641026,68.71152625171081
2025,tabm_periodic_pooled_60m_s0_pooledcal,both_delayed,KZT,242,242,0.1556452781521879,29,2.0862068965517238,40.72992649062726
2025,tabm_periodic_pooled_60m_s0_pooledcal,normal,all,1210,242,0.17361912358238668,260,1.2560553633217992,36.132345390700095
2025,tabm_periodic_pooled_60m_s0_pooledcal,normal,KZT,242,242,0.1698787843796652,55,1.191666666666667,30.74377604441962
2025,tabm_periodic_pooled_60m_s0_pooledcal,oxr_delayed,all,1210,242,0.16641091026831464,129,1.4304714053494902,52.09127103548503
2025,tabm_periodic_pooled_60m_s0_pooledcal,oxr_delayed,KZT,242,242,0.15788944441309957,28,1.2604166666666665,23.159587370921834
2026,tabm_periodic_kzt_120m_s0_allaug_kztcal,bank_delayed,KZT,156,156,0.24256067358230465,33,1.0781499202551834,23.743888317760558
2026,tabm_periodic_kzt_120m_s0_allaug_kztcal,both_delayed,KZT,156,156,0.24270410947379986,34,1.2074303405572757,29.70478746028032
2026,tabm_periodic_kzt_120m_s0_allaug_kztcal,normal,KZT,156,156,0.23695702082571066,34,1.4489164086687307,47.001075044210104
2026,tabm_periodic_kzt_120m_s0_allaug_kztcal,oxr_delayed,KZT,156,156,0.23624971195727484,36,1.3684210526315792,49.133712379354755
2026,tabm_periodic_kzt_120m_s0_bankaug_kztcal,bank_delayed,KZT,156,156,0.2261147517740232,35,1.0947368421052632,21.572563720983663
2026,tabm_periodic_kzt_120m_s0_bankaug_kztcal,both_delayed,KZT,156,156,0.22321383610192141,37,0.9615931721194881,20.693390613423773
2026,tabm_periodic_kzt_120m_s0_bankaug_kztcal,normal,KZT,156,156,0.21919157034907408,34,1.5294117647058825,46.56390990122237
2026,tabm_periodic_kzt_120m_s0_bankaug_kztcal,oxr_delayed,KZT,156,156,0.21525770134660732,35,1.4075187969924814,50.40144422676365
2026,tabm_periodic_kzt_120m_s0_kztcal,bank_delayed,KZT,156,156,0.2085696144736253,35,1.0947368421052632,9.980893056463652
2026,tabm_periodic_kzt_120m_s0_kztcal,both_delayed,KZT,156,156,0.2107182971198546,36,1.0643274853801172,26.711659982941992
2026,tabm_periodic_kzt_120m_s0_kztcal,normal,KZT,156,156,0.1933954679077761,34,1.4489164086687307,47.89251900133234
2026,tabm_periodic_kzt_120m_s0_kztcal,oxr_delayed,KZT,156,156,0.19422529401771332,33,1.4098883572567784,50.371230714756656
2026,tabm_periodic_kzt_120m_s0_noage_kztcal,bank_delayed,KZT,156,156,0.20700540848272495,35,1.1729323308270678,27.147822796640984
