epoch,training_bce
1,0.6394999750241595
2,0.6255515349807897
3,0.6202149066191122
4,0.6172504066404183
5,0.608987552215653
6,0.603362940608084
7,0.6011888507910557
8,0.598120059707301
9,0.5956729149504144
10,0.595621566080437
11,0.5902415473013154
12,0.5899004538597201
13,0.5861756929010346
14,0.5838421270748108
15,0.5832666329987507
16,0.57862984907661
17,0.578780286917239
18,0.5759436503095077
19,0.5742035771747313
20,0.5737739713286268
21,0.5766206209620754
22,0.5719127279746499
23,0.5654764210848144
24,0.563967030550288
25,0.558103843880242
26,0.5594580789720344
27,0.556898163690774
28,0.5559454557814935
29,0.5498926708420354
30,0.5485224519536365
31,0.5468236273436252
32,0.5430061687453214
33,0.5426164812036003
34,0.5371935428744848
35,0.5330272689750565
36,0.5306001315131672
37,0.5289069374854265
38,0.5226436457867523
39,0.5208957291490565
40,0.5208683794060552
