epoch,training_bce,inner_brier
1,0.6393456196364935,0.19026583710671185
2,0.6267806282333095,0.18534568415447164
3,0.6184871452217694,0.17308487381955778
4,0.6106925818940824,0.16148278586816797
5,0.6079124427926311,0.16062633466751833
6,0.6086230650877219,0.15989474243652685
7,0.6032183229092576,0.16026769568358476
8,0.6013869793359273,0.15750937445895963
9,0.596592681911974,0.1564714298781804
10,0.5946254297021248,0.1555074846187968
11,0.5925044299990072,0.1561034420504129
12,0.5902501348912512,0.15473903051950955
13,0.5872837007594303,0.15838714232343934
14,0.5837181667857756,0.15306127848184325
15,0.5833440540246264,0.15586559325667268
16,0.5819744495006414,0.15385192627603492
17,0.5803799727168046,0.15530048179466704
18,0.5767290259141092,0.15427422070967503
19,0.5754180751347147,0.14799981982647364
20,0.5738630524410124,0.15812407777440618
21,0.5690699470786086,0.15418763105842595
22,0.5665505861032332,0.15823178722562706
23,0.5611973800002165,0.15293496391726982
24,0.5623076894456952,0.15747857561678558
25,0.558221848801566,0.1500521622745606
26,0.5573943661069858,0.14923970252422433
27,0.5511392868101174,0.14472119541698797
28,0.5462744508703664,0.15342750635918342
29,0.5409841365698855,0.14753933546402484
30,0.5373736918677853,0.14837753853545688
31,0.5343344123025584,0.1586141945525608
32,0.5309850799388519,0.14571875155329742
33,0.5261034789976872,0.1489435966354705
34,0.5200099406385309,0.14662609473617547
35,0.5165163229523037,0.14294851856631963
36,0.5108815765431013,0.15067225308553672
37,0.5085354709261629,0.14745806542330248
38,0.5050864421142706,0.15261173134171824
39,0.5003898722417662,0.14743467775179778
40,0.4950427415494445,0.14148298145709925
41,0.49314829355285505,0.14822406999963178
42,0.4920714133324323,0.14669585979456284
43,0.4865179607468845,0.1544747145589287
44,0.4784252754707196,0.15243506386002836
45,0.47480688719194,0.14638046598714222
46,0.47199074854638867,0.14977309147381884
47,0.46716144458419423,0.14861565365665766
48,0.46261686731601054,0.14411305151944936
49,0.4571612707147967,0.14764419013623406
50,0.4590429080933795,0.14751775259391964
51,0.45582662740256513,0.1431900540124836
52,0.4519065018863763,0.15165923140107251
53,0.4462318391571727,0.1499171288569922
54,0.44294193574324614,0.1429334280304164
55,0.43876777093660635,0.1422578497575102
