model,quarter,rows,dates,signals,weeks,weeks_1_2,signals_per_week,silent_weeks,brier,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps
selected,2026Q1,54,54,15,12,0.9166666666666666,1.25,1,0.21574785726340528,0.3333333333333333,0.4,1.2000000000000002,47.11349597700056,98.87036475694458
selected,2026Q2,62,62,12,14,0.7142857142857143,0.8571428571428571,4,0.16141449998354407,0.25806451612903225,0.5,1.9375,93.60923824662615,77.686286306111
selected,2026Q3,40,40,13,9,0.8888888888888888,1.4444444444444444,1,0.23217543906621776,0.575,0.7692307692307693,1.3377926421404684,32.54910318788016,132.29975338045875
V3,2026Q1,54,54,12,12,0.8333333333333334,1.0,2,0.23229742082341254,0.3333333333333333,0.3333333333333333,1.0,38.418893474179164,90.17576225412319
V3,2026Q2,62,62,14,14,0.9285714285714286,1.0,1,0.18573640763836913,0.25806451612903225,0.42857142857142855,1.6607142857142856,36.0825485237202,20.159596583205055
V3,2026Q3,40,40,8,9,0.8888888888888888,0.8888888888888888,1,0.31493040690505125,0.575,0.625,1.0869565217391306,21.974132210751876,121.72478240333047
